Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1,90.44,CENAPROC,,$11.25/lb,"$32,986.67",Solberg & Hansen AS,CENAPROC (82 farmer lot),1670,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, manual wash, sun dried on cement slabs , also dried using mechanical drum",Typica Caturra,420.0,760.0,Bolivia
1,2,90.06,CENAPROC,,$10.05/lb,"$27,917.14",Maruyama Coffee for Mikatajuku group,Pedro Patana,1650,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, manual wash, sun dried on cement slabs",Typica Caturra,8.0,11.5,Bolivia
2,3,89.75,CENAPROC,,$10.00/lb,"$13,889.12",Time’s Club and C-Coop,"Productores Luis Huayhua, Silberio Cereso, Félix Castro",1700,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, manual wash, sun dried on wooden tables",Caturra,12.0,30.0,Bolivia
3,4,89.22,Cooperativa UNION PROAGRO,,$5.25/lb,"$8,101.99",The Roasterie Inc,Eusebio Marca Cruz,1500,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, manual wash, sun dried on wooden tables",Typica,4.0,10.0,Bolivia
4,5,88.28,CENAPROC,,$8.05/lb,"$11,180.74","Intelligentsia, Coffee Tree Roasters, and The Stumptown","Bernardo Apaza, Lorenzo Choque",1674,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, manual wash, sun dried on cement slabs",Typica,8.0,25.0,Bolivia
5,6,88.25,AGRICABV Caranavi,,$5.55/lb,"$7,708.46","Caravan Coffee Co.,Ltd.","Eugenio Nina, Wilfredo Condori",1390,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, mechanical wash, sun dried , mechanical dryer",Caturra,9.0,19.0,Bolivia
6,7,88.14,Cooperativa UNION PROAGRO,,$5.70/lb,"$7,916.80","Schluter & Maack for Hagen Kaffee, Lloyd Caffee, Laier Kaffeerosterei, Wasserburger Kaffee, mondo del caffÃ¨",Andrea Hilari Condori,1500,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, manual wash, sun dried on wooden tables",Caturra,3.0,10.0,Bolivia
7,8,88.03,Cooperativa CIANA,,$6.01/lb,"$9,274.85",Solberg & Hansen for Kaffebrenneriet AS,Yolanda Lourdes Condori Chura,1500,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, manual wash, sun dried on wooden tables",Typica Caturra,4.0,10.0,Bolivia
8,9,87.67,Valentin Choquehuanca,,$5.10/lb,"$7,083.45","World Coffee Co.,Ltd.",Valentin Choquehuanca,1700,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, mechanical washed, sun dried on cement slabs",Caturra,3.0,12.0,Bolivia
9,10,85.56,AGRICABV CARANAVI,,$5.05/lb,"$10,910.68","Toa Coffee Co.,Ltd.","Policarpio Tarqui, Jacinto Quispe",1400,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, mechanical wash, mechanical dryer",Typica,6.0,20.0,Bolivia
10,11,84.58,Cooperativa CIANA,,$4.80/lb,"$6,666.78",Stumptown,Cooperativa CIANA (22 farmer lot),1356,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, mechanical mucilage removal, manual wash, sun dried on wooden tables",Typica,110.0,570.0,Bolivia
11,12,84.0,Anditrade,,$5.00/lb,"$7,716.18","Coffee Masters, Inc.","Gumercindo Quispe, Rumualdo Álvarez",1561,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, mechanical wash, mechanically dryer",Caturra,7.5,21.0,Bolivia
12,13,84.0,Daniel Colque Villca,,$4.66/lb,"$7,910.63",Katocoffee Inc.,Daniel Colque Villca,1435,Bolivia,2004,Caranavi,La Paz,,,,"Depulped, fermented, manual wash, sun dried on wooden tables",Typica,7.0,9.0,Bolivia
13,1,93.52,Agricabv BV Calama Marka,,$12.55/lb,"$30,988.18","Small Axe Coffee Alliance – Intelligentsia, Coffee Tree Roasters, Coffee Klatch, Paradise Roasters, Caffe Pronto, Sweet Maria’s, PT’s coffee, Gimme Coffee, Barefoot Coffee, Victrola, Groundworks, Alpen Sierra, 49th Parallel, Ecco Caffe, Maruyama Coffee fo",Juan de Dios Blanco,1200,Bolivia,2005,Calama,Calama,,,,"Pulped, Naturally fermented, mechanically washed, sun drying",Typica,4.5,11.0,Bolivia
14,2,93.1,Golondrina,,$5.90/lb,"$18,210.18","Bontain Coffee Co.,Ltd.",Celso Mayta,1600,Bolivia,2005,Copacabana,Caranavi Rural y Entre Rios,,,,"Pulped, Naturally fermented, mechanically washed, sun drying",Typica Caturra,4.0,10.0,Bolivia
15,3,91.5,Cafè Paraiso,,$6.05/lb,"$17,739.50",Time’s Club & C-COOP,Magali Quispe,1600,Bolivia,2005,San Ignacio 5ta zona,Carrasco la Reserva,,,,"Pulped, Naturally fermented, mechanically washed, sun drying",Typica Caturra,15.0,50.0,Bolivia
