Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1a,92.23,Fazenda Paie Filho,396.84,$60.10/lb,"$23,850.08","Maruyama Coffee, Goodboybob Coffee, Harrods",André Luis Aguila Ribeiro,1060 m.a.s.l.,Brazil,2019,"Ibiraci, MG",Sul de Minas,"passion fruit, white nectarine, watermelon, guava, honey, pineapple, tropical, black currant, molasses, dark fruit positive, sweet, cinnamon, anise, black licorice, brown sugar","refined, bright, citric, vibrant, multi-dimensional, expansive, improved on cool","creamy, well balanced, composed, elegant",Natural,Yellow Catuaí,10 ha,10 ha,Brazil
1,1b,92.23,Fazenda Paie Filho,396.84,$50.80/lb,"$20,159.47",TAKAMURA COFFEE ROASTERS,André Luis Aguila Ribeiro,1060 m.a.s.l.,Brazil,2019,"Ibiraci, MG",Sul de Minas,"passion fruit, white nectarine, watermelon, guava, honey, pineapple, tropical, black currant, molasses, dark fruit positive, sweet, cinnamon, anise, black licorice, brown sugar","refined, bright, citric, vibrant, multi-dimensional, expansive, improved on cool","creamy, well balanced, composed, elegant",Natural,Yellow Catuaí,10 ha,10 ha,Brazil
2,2a,92.15,Fazenda Primavera,330.7,$30.50/lb,"$10,086.35","
SAZA COFFEE, Maruyama Coffee, and PROUD MARY COFFEE
",Leonardo Montesanto Tavares,1000 m.a.s.l.,Brazil,2019,"Angelândia, MG",Chapada de Minas,"floral, peach, spicy, strawberries, papaya, ginger, jasmine, orange, yogurt, black tea, blueberries, papaya, mango, guava","bright and lively and complex, sweet lime, green tea, heavy and dense, sparkling","nectar, exotic, silky mouthfeel, everlasting, sweet, honey sweet, very consistent",,Gesha,1027 ha,401 ha,Brazil
3,2b,92.15,Fazenda Primavera,330.7,$25.10/lb,"$8,300.57","Time’s Club,  Coffee Libre, Proud Mary, Coffee Me Up",Leonardo Montesanto Tavares,1000 m.a.s.l.,Brazil,2019,"Angelândia, MG",Chapada de Minas,"floral, peach, spicy, strawberries, papaya, ginger, jasmine, orange, yogurt, black tea, blueberries, papaya, mango, guava","bright and lively and complex, sweet lime, green tea, heavy and dense, sparkling","nectar, exotic, silky mouthfeel, everlasting, sweet, honey sweet, very consistent",,Gesha,1027 ha,401 ha,Brazil
4,3a,91.84,Sítio São Sebastião,396.84,$12.90/lb,"$5,119.24",Wataru for Nozy Coffee,Merce Jordan Araújo Silva,1323 m.a.s.l.,Brazil,2019,"Piatã, BA",Chapada Diamantina,"black tea, caramel, chocolate, floral, honey, sweet milk, sugar cane, jasmine, orange marmalade, honey, spices, jammy, dulce de leche, intense, peach, rhubarb jam, apricot","pleasant, crisp, citric, juicy, complex, sweet lemon","very balanced, transparent",Pulped Natural,Red Catuaí,2 ha,1 ha,Brazil
5,3b,91.84,Sítio São Sebastião,396.84,$13.00/lb,"$5,158.92",Kyokuto Fadie Corporation,Merce Jordan Araújo Silva,1323 m.a.s.l.,Brazil,2019,"Piatã, BA",Chapada Diamantina,"black tea, caramel, chocolate, floral, honey, sweet milk, sugar cane, jasmine, orange marmalade, honey, spices, jammy, dulce de leche, intense, peach, rhubarb jam, apricot","pleasant, crisp, citric, juicy, complex, sweet lemon","very balanced, transparent",Pulped Natural,Red Catuaí,2 ha,1 ha,Brazil
6,4,90.61,Santuário Sul,661.4,$20.30/lb,"$13,426.42","Maruyama Coffee, SAZA COFFEE, Orsir Coffee(Taiwan)",Santuário Sul,1200 m.a.s.l.,Brazil,2019,"Carmo de Minas, MG",Mantiqueira de Minas,"rum, jasmine, strawberry, orange, rich sweet spiced, red wine, perfumed, complex, elegant, pomegranate, rarified","bright, lively","creamy, peach, exotic, elegant, balanced, honey, amber, aged rum, spiced",Natural,Gesha,150 ha,90 ha,Brazil
7,5,90.47,Fazenda Jaguara,793.68,$15.30/lb,"$12,143.30","

Coffee Montage, 304 coffee roasters, Coffee Place, EL CAFE COFFEE ROASTERS, FEBRUARY ROASTERS, Jeju Be Brave

",André Luiz Alvarenga Garcia,1000 m.a.s.l.,Brazil,2019,"São João del Rei, MG",Campo das Vertentes,"jackfruit, mango, winelike, grape, cherry, strawberry, tropical fruit, fig and prune, fresh raisin, passion fruit, cocoa nib, jaboticaba, blackberry"," intense, tartaric, malic, lively","silky, syrupy, long lasting, caraway seed",,Yellow Catuaí,150 ha,120 ha,Brazil
8,6,89.7,Sítio d’Água Limpa,661.4,$10.51/lb,"$6,951.31",Time’s Club & PROUD MARY COFFEE,Marianna Carneiro de Carvalho Junqueira,1255 m.a.s.l.,Brazil,2019,"Virgínia, MG",Sul de Minas,"white wine, strawberry, peach, apple, melon, floral, cherry, honey","delicate, sparkling, consistent"," silky body, smooth, juicy, transparent and clean, delicate and perfumed wine, honey sweet",Natural,Red Catucaí,15 ha,6 ha,Brazil
9,7,89.58,Fazenda Gerais,1322.8,$8.40/lb,"$11,111.52",Terarosa (Haksan Co. Ltd),João Roberto Santana,1339 m.a.s.l.,Brazil,2019,"Piatã, BA",Chapada Diamantina,"sweet spice, coffee flower, floral, vanilla, honey, clean, green apple tangerine, brown sugar, grapefruit","citric, spiced, bright, pleasant","well balanced, well composed, honeydew melon, milk chocolate",Pulped Natural,Catuaí 144,27 ha,2 ha,Brazil
10,8,88.88,Sítio Portella,793.68,$8.50/lb,"$6,746.28","Wataru & Co., Ltd.",Edir José de Carvalho,1250 m.a.s.l.,Brazil,2019,"Caldas, MG",Sul de Minas,"chocolate, creamy, vanilla, floral, honey, sweet lemon, green apple, melon","lively, malic, citric and refined","brown sugar, creamt, well balanced, improved on cool, sugar sweet",Natural,,3.6 ha,3 ha,Brazil
11,9,88.8,Fazenda Santo Antônio,793.68,$7.10/lb,"$5,635.13","

cafe DAZAC, Eungubiro Roasters, Crema Costa

",Raimundo Dimas Santana Filho,1190 m.a.s.l.,Brazil,2019,"Araponga, MG",Matas de Minas,"milk chocolate, elegant, dried blackberry, dried strawberries, floral, sweet lemon, sweet orange, syrupy and dense","sweet, lively, citric, lemon, crisp","transparent, very consistent",Pulped Natural,Yellow Bourbon,360 ha,44 ha,Brazil
12,10,88.61,Fazenda Aterradinho,793.68,$8.10/lb,"$6,428.81",Dabov Specialty Coffee & Ascension Coffee Roasters,Lilian Carrijo,1060 m.a.s.l.,Brazil,2019,"Ibiraci, MG",Sul de Minas,"sugar cane, molasses, orange, cocoa, sweet chocolate, caramel","lactic, fruit cake, silky","smooth, well balanced, savory, rosemary, consistent, well structured",Natural,Catucaí 2SL,30 ha,30 ha,Brazil
