Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1,90.0,Mpanga (I),,$59.10/lb,"$74,288.70","[Brazil 100th International Jury Group] Campos Coffee, Solberg & Hansen, Intelligentsia, Terarosa, Cafes El Magnifico, Cafe Meo, Maruyama Coffee, Orsir Coffee, Coffee Tree",SEGEC,1750 masl,Burundi,2014,"Kabuye, Kayanza",Kayanza,"transparent clean, delicate , round, structured, sweet harmony","pineapple, honey green tea rose dried fruit, dates, plum, apricot figs, raisin, jasmine carob","effervescent, complex, malice, juicy, tartaric",Washed,Bourbón,,-,Burundi
1,2,89.54,Kirema,,$12.40/lb,"$35,265.60",Wataru for TAKAMURA COFFEE ROASTERS,Sogestal Kayanza,1950 masl,Burundi,2014,"Kayanza, Kayanza",Kayanza,"silky* delicate* big round body, syrupy, harmonious","mango* peach* green grape,* fudge, caramel, chocolate, apple cranberry","juicy** crisp* tartaric* apple,* transparent, lively, tangy",Washed,Bourbón,,-,Burundi
2,3,89.39,Mpanga (II),,$25.10/lb,"$26,555.80","Maruyama Coffee for Yamada Coffee, Yokoi Coffee, Sugi Coffee Roasting",SEGEC,1750 masl,Burundi,2014,"Kabuye, Kayanza",Kayanza,"pleasant savory notes, silky","complex floral* chocolate* caramel, passion fruit, green gage plums, lemon white wine mossy floral, apricots, plums","elegant, malic, citric, transparent sparkling, zesty, sweet aftertaste",Washed,Bourbón,,-,Burundi
3,4,89.07,Bwayi (I),,$7.00/lb,"$18,984.00","Terarosa Coffee, Coffeejumbbang (Korea)",Sogestal Kayanza,1760 masl,Burundi,2014,"Matongo, Kayanza",Kayanza,"clean, juicy, syrupy aftertaste, fruity, long pleasant aftertaste","honey** candylike, peach, brown sugar, berry notes current, tea rose, melon currents guava lavender, guava, orange, caramel, cherry, almond, cacao, berries","malic complex, phosphoric ,clean, crystalline, sparkling",Washed,Bourbón,,-,Burundi
4,5,88.89,Ramba,,$6.00/lb,"$16,272.00",Kaffebrenneriet as,Sogestal Kirimiro,1603 masl,Burundi,2014,"Gihogazi, Karusi",Gitega,"butter, very sweet, very clean, long sweet finish, lingering aftertaste","black cherry** peach* honey, chocolate* melon* raspberry, red fruit, green apple, grapefruit, jasmine perfume, trickle","transparent delicate, lively, zesty",Washed,Bourbón,,-,Burundi
5,6,88.71,Mahonda (2014),,$5.60/lb,"$15,926.40","Wataru & Co., Ltd.",Sogestal Kirimiro,1932 masl,Burundi,2014,"Buraza, Gitega",Gitega,"clean and sweet, red apple aftertaste dried fruit aftertaste, well balanced pleasantly dry aftertaste, phosphoric zing","tropical* plum, red apple, rose, flowers, strawberry, honey, grapes, almonds, honey, raspberry, chocolate stone fruit sweet",malic* lime* complex* citrus,Washed,Bourbón,,-,Burundi
6,7,88.5,Gahahe (I),,$5.30/lb,"$15,423.00","Time’s Club, Coffee Libre, TOA COFFEE Co.,Ltd",WEBCOR,1800,Burundi,2014,"Kayanza, Kayanza",Kayanza,"complex*, round creamy body, very clean, green tea aftertaste, structured, multidimensional, viscous","raspberries* ginger* red currents, apple pie, jammy, muscat blueberry, passion fruit, chocolate, brown sugar, maple sugar floral, butter","complex, juicy, complex lively, citric",Washed,Bourbón,,-,Burundi
7,8,88.18,Masha (I),,$7.10/lb,"$18,310.90",Kyokuto Fadie Corporation,WEBCOR,1660 masl,Burundi,2014,"Gatara, Kayanza",Kayanza,"silky* complete* harmonious, long sweet finish, very balanced, refined, glutinous body","rose*, fruit* passion * chocolate, toffee, plums, red apples blackberry floral tea malt honey grape peach cherry, caramel","crisp, juicy* complex* citric* malic, lime",Washed,Bourbón,,-,Burundi
8,9,88.18,Kabumburi,,$5.90/lb,"$6,631.60",Solberg & Hansen AS,Sogestal Mumirwa,1500 masl,Burundi,2014,"Kabumburi, Bururi",Bururi,"creamy body* viscous, lingering aftertaste good structure multi dimensional, sweet after taste complex*","cedar* butterscotch* jasmine* milk chocolate, cherry toffee, grapefruit, red wine, nuts, hazelnuts, cranberry","juicy, citric, tart, lively",Washed,Bourbón,,-,Burundi
9,10,86.19,Gakenke,,$5.45/lb,"$13,695.85",Campos Coffee,WEBCOR,1680 masl,Burundi,2014,"Gatara, Kayanza",Kayanza,"delicate refined, raisin, sweet, clean, honey","brown sugar* juicy* peach aftertaste* raspberry* berry* raisins, chocolate, vanilla dark chocolate, hazelnuts, banana","zesty* phosphoric malic dark cherry, lime acidity, green apple",Washed,Bourbón,,-,Burundi
10,11,85.94,Nemba (2014),,$4.60/lb,"$7,300.20","32cup, Kaffitar, Vivasara, Dutchbarista, Cantata",WEBCOR,1860 masl,Burundi,2014,"Kayanza, Kayanza",Kayanza,"syrupy silky body, juicy, round, tealike finish, candy sweet","cherry* honey* almond* green apples, raspberry, grape, caramel, black berries, honey, tricale","tartaric, sweet",Washed,Bourbón,,-,Burundi
11,12,85.94,Nkondo,,$4.10/lb,"$9,762.10",Caffe Pascucci S.p.A.,Sogestal Kirimiro,1786 masl,Burundi,2014,"Nyarusange, Gitega",Gitega,"citric round buttery body, complex","honey* nuts, chocoalte8 brown sugar caramel cherry vanilla, floral, green apples, *","malice, citric",Washed,Bourbón,,-,Burundi
12,13,85.91,Munyinya,,$4.10/lb,"$10,848.60",Maruyama Coffee,Munyinya Coffee,1760 masl,Burundi,2014,"Butanganzwa, Kayanza",Kayanza,"elegant, sherbet","floral* tea* honey* tea rose, honey, cranberry, stone fruit","citric*, juicy complex lively",Washed,Bourbón,,-,Burundi
13,14,85.84,Bwayi (II),,$5.50/lb,"$14,553.00",Intelligentsia,Sogestal Kayanza,1760 masl,Burundi,2014,"Matongo, Kayanza",Kayanza,"juicy, creamy, fruity aftertaste","plum* cherry*, peach, apricot, minty, honey, chocolate, caramel, milk, black current, passion fruit.","citric* lively, lime crisp",Washed,Bourbón,,-,Burundi
14,15,85.81,Buhorwa,,$4.40/lb,"$7,568.00",Crop To Cup Coffee Importers,Sogestal Kayanza,1820 masl,Burundi,2014,Kayanza,Kayanza,juicy,"dark chocolate* passion fruit, plum, melon, lemonade, pineapple, cassis, coconut, apricot, raspberries, hibiscus, honey","lively, effervescent, vibrant",Washed,Bourbón,,-,Burundi
