Rank,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,country
1,90.85,Gallinacera-El Bado,$22.10/lb,"$51,286.42","Ponpon coffee, Tabei Coffee and Maruyama Coffee",Maria Etelvina Diaz,2040,Colombia,2012,Buesaco,Nariño,"smooth mouthfeel, elegant, refined, caramel, clean finish, transparent, juicy","honey in aroma, sugar cane, caramel, red fruits, jasmine, violet, pineapple, melon, papaya, banana, red wine, Muscat","structured, bright, complex, lime",Washed Coffee,Caturra,Colombia
2,90.43,El Carmen,$18.60/lb,"$45,926.64","Kyokuto Fadie, Time’s Club for C-COOP (Japan) and Coffee Libre (S. Korea)",Enrique Dagua Fernandez,1650,Colombia,2012,Caloto,Cauca,"elegant, consistent, vanilla in finish, refreshing, eucalyptus, cardamom","floral, spearmint, cardamom, apricot, spicy, minty, fennel, floral, Darjeeling tea, Muscat, white wine, pear, perfumed, almond","refined, malic, sparkling",Washed Coffee,Colombia 80% Castillo 20% ,Colombia
3,90.08,El Galpon,$15.10/lb,"$35,041.85",TERAROSA (Korea),Jairo Gomez Acosta,1889,Colombia,2012,Almaguer,Cauca,"blackcurrant in finish, silky, smooth, long, transparent","apricot, guava, mandarin, peach, caramel, lemongrass, mango, pineapple, molasses, walnut, jasmine, toffee, Fuji apple","sparkling, orange, cherry, citric, malic, bright, structured",Washed Coffee,Castillo 50% Caturra 30% Colombia 20% ,Colombia
4,89.58,La Mina,$8.80/lb,"$20,421.74",A Twosome Place at CJ Foodville (Korea),Franco Héctor López,2100,Colombia,2012,Buesaco,Nariño,"rounded, balanced, elegant, chocolate finish, sweet aftertaste, peach and clove in finish","apricot, orange, almond, chocolate, caramel, honey, cherry, melon, blackcurrant, vanilla","lemon, bright, juicy, citrus, delicate",Washed Coffee,Caturra,Colombia
5,89.38,Monte Frio,$8.60/lb,"$20,396.68",Kyokuto Fadie Corporation,Jose Herminzul Ninco Lara,1600,Colombia,2012,Hobo,Huila,"long aftertaste, persistent, creamy, transparent, well structured, complex","honey, cherry, peach, eucalyptus, jasmine, mandarin, tangerine, green apple, preserved lemon, spicy, cinnamon, black tea, tamarind","lively, bright, crisp, citric, refined, complex",Washed Coffee,Colombia 80% Castillo 20% ,Colombia
6,89.15,La Toma,$6.90/lb,"$15,932.44","EL CAFE coffee roasters, Told a Story, Coffee Society, Beansfree, Seo Dongjin’s Coffee Lab (Korea)",Fernando Zemanate Bambague,2000,Colombia,2012,San Sebastian,Cauca,"syrupy, finish, intense, panela, dark chocolate","lychees, molasses, floral, mandarin, peach, jasmine, blackcurrant, milk chocolate, spicy, grape, tart, wine, apricot, melon liqueur, passion fruit","very bright, lime, granadilla",Washed Coffee,Castillo 63% Colombia 37% ,Colombia
7,88.93,Campiña,$8.00/lb,"$20,421.74",Kaffebrenneriet as,Henry Efrain Salas Rueda,1800,Colombia,2012,Pasto,Nariño,"juicy, lingering, pear","passion fruit, sugar cane, mango, cinnamon, green apple, strawberry, plum, tea arose","complex, bright, lemon, citric, strawberry",Washed Coffee,Colombia 25% Caturra 25% Castillo 50% ,Colombia
8,88.7,Chinchal,$6.65/lb,"$15,432.34","Invalsa Coffee® (USA) with Richmond For Specialty Coffee (Korea), Coffee Labs (USA) Rojo’s Roastery (USA) and Haru International (Taiwan)",Carlos Geovany Martinez Yela,1900,Colombia,2012,Samaniego,Nariño,"balanced, well structured, creamy mouthfeel, dense, sweet","blackcurrant, chocolate, peach, tropical fruit, grape, mango, apple, nectarine, red wine","brilliant, lemon, tartaric, complex, bright, grapefruit",Washed Coffee,Caturra 70% Colombia 30% ,Colombia
9,88.18,El Mañana,$8.60/lb,"$21,155.07",Campos Coffee,Carlos Trejo Velasco,1950,Colombia,2012,Pasto,Nariño,"silky mouthfeel, harmonious, juicy, smooth, creamy","red wine, green apple, dark chocolate, sugar cane, passion fruit, vanilla, raspberry, lime, herbal, nuts","delicate, lively, citric, refined, tomato, transparent",Washed Coffee,Caturra 80% Castillo 20% ,Colombia
10,87.73,Guayabo,$5.25/lb,"$24,787.18",Campos Coffee,Amelio Santacruz,1820,Colombia,2012,Buesaco,Nariño,"floral, creamy mouthfeel, violet, black tea, sweet, well balanced","dark chocolate, licorice, grape, jammy, black fruits, blueberry, toffee, prune, sugar cane, plum, grape, sangria","orange, lively, complex, lemon peel, tangerine, bitter chocolate",Washed Coffee,Caturra,Colombia
11,87.53,El Copete,$7.40/lb,"$17,224.35",Wataru for OGAWA COFFEE,Mauro Gomez Urbano,1985,Colombia,2012,El Tablon,Nariño,"transparent, long finish, bergamot in finish","panela, jasmine, mango, tangerine, caramel, melon papaya, green apple, crème brûlée, maple syrup","crisp, balanced, citric, lively, bright",Washed Coffee,Caturra 90% Castillo 10% ,Colombia
