Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1,92.67,La Mesa,,$41.20/lb,"$62,541.60 ","Maruyama Coffee, Sugi Coffee Roasting, Ponpon Coffee, Orsir Coffee (Taiwan)",Luis Enrique Navarro Granados,1825 masl,Costa Rica,2014,La Bandera de Dota,Tarrazú,"complex, well constructed, well designed, crisp juicy, transparent, super, lime zest, lingering finish, pungent, clean","caramel, milk chocolate, vanilla, floral toffee, plum, pear, apricot, spices, blackberries, melon, peach, jasmine, rum, brown sugar, green mango tangerine almonds, sugar cane, grape, candy, lemon","citric, phosphoric, balanced, effervescent, sparkling delicious",Washed,Caturra,4 ha,5 ha,Costa Rica
1,2,90.03,El Alto,,$12.20/lb,"$18,519.60 ","GSC International Co.,Ltd. (KOREA) // Shanghai Borong International Trading Co.,Ltd (CHINA)",Josúe Navarro Porras,1825 masl,Costa Rica,2014,La Bandera de Dota,Tarrazú,"apple, citrus smooth, lime aftertaste, sour orange, dense, round, smooth, velvet","bergamot, dark chocolate vanilla, caramel, honey, raisins, stonefruit jasmine, prune, plum, banana, white grape, honey, chocolate, floral, kiwi","malic, complex, well-rounded, green apple, tangy, juicy, delicate",Washed,Caturra,8 ha,10 ha,Costa Rica
2,3,89.9,Bajo de Celia,,$9.00/lb,"$32,967.00 ","Kyokuto Fadie Corporation, Tashiro Coffee, Time’s Club, Coffee Libre",Alberto Camacho Morera,1500 masl,Costa Rica,2014,Sirri,Valle Occidental,"chocolate finish, balance, juicy, full body, sweet, honey","cognac, winy, pineapple, strawberries, blueberry, melon, dried banana, sugar cane, sweet lemon, mango, cinnamon, apple juice, raisins, papaya, chocolate","tartaric, malic, mango, papaya, blueberry",Natural,Caturra,2 ha,2 ha,Costa Rica
3,4,89.83,El Halcón,,$11.30/lb,"$23,865.60 ","Haru International Corp & Specialty Coffee Inc (Steven Kil), CORE, MQ Coffee-Shanghai",Luis Enrique Navarro Porras,1900 masl,Costa Rica,2014,La Bandera de Dota,Tarrazú,"creamy, lasting, clean, long aftertaste, transparent, delicate, juicy, smooth improved as it cooled","long caramel, mango, apple, green grape, vanilla, strawberry, melon cherry, floral, sweet orange, watermelon, black tea, gumdrops, blueberry","sparkling, crisp, malic, tartaric, light citrus, sweet, lemon citric finish",Washed,Caturra,6 ha,7 ha,Costa Rica
4,5,89.63,Nuestra Herencia,,$11.50/lb,"$26,185.50 ","Peaberry Limited, Food Service Ukraine",Guiselle Porras Vega,1900 masl,Costa Rica,2014,La Bandera de Dota,Tarrazú,"balanced, transparent, very clean, syrupy, smooth, structured","berries vanilla, milk chocolate, red apple, strawberries, blackberries cherries, lemon lime, green tea, spicy chocolate nectarine, pink grapefruit","tartaric* citric* delicate, transparent, juicy, lime",Semi-Washed,Caturra,5 ha,5 ha,Costa Rica
5,6,89.6,El Llano,,$12.10/lb,"$18,367.80 ",Campos Coffee,Hector Bonilla Cruz,1850 masl,Costa Rica,2014,Llano Bonito de León Cortez,Tarrazú,"rich, soft, creamy, mellow super clean, transparent","caramel, stonefruit, apricot, plum, honey vanilla, hibiscus floral blackberries, sweet juicy, raspberry peach, fig","malic, tartaric, phosphoric, citric, sparking red wine, white grapes, complex",Honey,Bourbón,5 ha,5 ha,Costa Rica
6,7,88.8,El Diamante,,$20.10/lb,"$30,511.80 ","Hisashi Yamamoto Coffee, Time’s Club, Coffee Libre",Café de Altura de San Ramón,1350 masl,Costa Rica,2014,San Rafael San Ramón,Valle Occidental,"creamy, soft, velvety, juicy crisp","caramel, cinnamon, sweet, brown sugar, dark caramel, rhubarb crunch, cooked apple, praline, spices, red apples","malic, tartaric, sparkling, apple",Other,Caturra Catuai,5 ha,10 ha,Costa Rica
7,8,88.77,Vara Blanca de Dota,,$8.75/lb,"$19,923.75 ",Campos Coffee,Marco Chacón Madrigal,1900 masl,Costa Rica,2014,"Dota, Santa Maria",Tarrazú,"viscous* lingering aftertaste, dark chocolate, juicy, creamy, amazing mouthfeel, balanced, silky, smooth herbal notes","milk chocolate, spices, almond, berry, floral, black currant, apricot, melon cantaloupe, cherries, fruit, strawberries cranberries, peach, raisins, pineapple sweetness toffee","lively, citric, lemons, tartaric cherry",Semi-Washed,Red Catuai,1 ha,1 ha,Costa Rica
8,9,88.67,La Granadilla,,$8.00/lb,"$18,216.00 ",Kaffebrenneriet as,Luis Ricardo Calderón Madrigal,1800 masl,Costa Rica,2014,"Dota, Santa Maria",Tarrazú,"long aftertaste, full body, creamy, smooth, transparent, beautiful body, sweet finish","cherry, molasses, floral, dark berries dark chocolate, herbal melons, tropical kiwi mango, melon, stone fruits","bright malic, orange citric, lime",Washed,Catuai,1 ha,1 ha,Costa Rica
9,10a,87.6,El Beneficio,,$7.50/lb,"$16,830.00 ","TOA COFFEE Co.,Ltd & ARAB COFFEE Co.,Ltd",Juan Ramón Alvarado,1600 masl,Costa Rica,2014,San Francisco,Valle Central,"chocolate aftertaste* creamy body* round, dense, juicy transparent complex, apple aftertaste long creamy finish","red apple, grapes, red berries, rose hip, melon, chocolate, honey, Mango, blueberry","malic, bright, spicy, juicy",Semi-Washed,Villa Sarchi,35 ha,35 ha,Costa Rica
10,10b,87.6,Santa Lucía La Casa,,$9.00/lb,"$13,662.00 ",Dimattina Coffee,Marlene Mayela Brenes Morera,1650 masl,Costa Rica,2014,Lourdes de Cirri de Naranjo,Valle Occidental,"cocoa aftertaste, juicy, smooth, hefty, jammy, nectarine, peach, transparent, elegant","honey, sugar cane, cherry, lime, cinnamon, molasses, vanilla, honey, bakers cocoa, milk chocolate, floral, sweet","citric, malic, snappy, juicy",Honey,Villa Sarchi,7 ha,7 ha,Costa Rica
11,10c,87.6,La Entrada,,$8.50/lb,"$12,903.00 ",Solberg & Hansen AS,La Pira de Dota,1700 masl,Costa Rica,2014,"Dota, Santa Maria",Tarrazú,"juicy, full bodied aftertaste, lively, smooth finish, chocolate aftertaste","honey, caramel, raspberry, stone fruit, vanilla, toffee, dark jasmine raisin, marmalade, cherry, lemon lime, sugar cane, papaya, banana, chocolate, toffee","structured, citric, lime, pineapple, lemon, phosphoric sparkly",,Typica,1.5 ha,1.5 ha,Costa Rica
12,11,87.5,La Vuelta,,$8.47/lb,"$12,857.46 ","Cafe Imports, Barnie’s CoffeeKitchen, Deeper Roots Coffee",Alejandro Solis Blanco,1900 masl,Costa Rica,2014,San Marcos,Tarrazú,"creamy aftertaste, buttery, caramel, clean, spicy sweet, brown sugar, transparent, juicy","dark berries, red wine, honeydew, papaya, wine, cinnamon, melon, gooseberry, blackberry, herbal, floral, apricot, toffee, coffee fruit","tartaric, orange",,Catuai,36 ha,36 ha,Costa Rica
13,12,87.37,Ortiz 1700,,$8.20/lb,"$12,447.60 ",Wataru for FRESH ROASTER COFFEE TONYA,Omar Calderón Madrigal,1750 masl,Costa Rica,2014,"Dota, Santa Maria",Tarrazú,"syrupy, creamy, silky, dark berries, dark chocolate, sweet milk chocolate, tangerine","toffee, caramel, peach, honey apple, floral grape, jasmine, ,tangerine, dark berries, brown sugar, sugar cane, cumin","orange, juicy, bright, lime, delicate, lively, syrupy",Semi-Washed,Typica,1 ha,1 ha,Costa Rica
14,13,87.27,El Cocobolo,,$7.60/lb,"$11,536.80 ","DILIKAPO Coffee, RYANS COFFEE ROASTERS, Friendy Bean Coffee Roasters (Cafe Hong-si, Sim’s Coffee, 502 Coffee, Cafe Mule, Cafe Nara, Cafe Si-Gom)",La Pira de Dota,1700 masl,Costa Rica,2014,"Dota, Santa Maria",Tarrazú,"creamy, transparent, velvet, excellent body, lingering aftertaste, silky round mouthfeel","lemon zest, floral, sweet almond. orange, caramel, delicate, floral, melon, sugar cane, coffee fruit","delicate, citric, juicy",Semi-Washed,Typica,7 ha,7 ha,Costa Rica
15,14,87.23,Finca Macho – 14,,$7.30/lb,"$11,081.40 ","ALMACIELO (SOUTH KOREA), ROASTING HOUSE, EO-NEU-JO-EUN-NAL (ONE FINE DAY COFFEE KOREA)",Efrain Naranjo Blanco,1900 masl,Costa Rica,2014,León Cortez-Llano Bonito,Tarrazú,"sweet, round, smooth, mouthfeel, rich, balanced, syrupy",", floral, honey, sugar berries, vanilla, plum, floral, chocolate, ,red apple, spice","citric, malic",Semi-Washed,Cauai,9 ha,10 ha,Costa Rica
16,15,87.07,La Trinidad,,$8.00/lb,"$12,144.00 ","Wataru & Co., Ltd.",Luis Alberto Monge Ureña,1550 masl,Costa Rica,2014,San Isidro de León Cortéz,Tarrazú,"creamy, elegant, berries, heavy","blueberries, banana, raisin, black currents, dark chocolate, rose hip, stone fruits, dried fruits, wine","tartaric, malic, winey, pleasant, strawberries, almonds chocolate",Honey,Caturra,5 ha,5 ha,Costa Rica
17,16,86.97,Divino Niño,,$7.05/lb,"$12,795.75 ",honuKATOCOFFEE Inc.,Mauricio Vindas Vargas,1880 masl,Costa Rica,2014,San Pablo de León Cortez,Tarrazú,"mellow, soft silky body, cherry chocolate, berries aftertaste","honey, red fruit, chocolate, almond strawberry brown sugar, peach, kiwi, white grape citric","tartaric, delicate, bright lemon, winy, consistent, zest citric",,Catuai,11 ha,13 ha,Costa Rica
18,17,86.93,Farami Juan Luis,,$7.50/lb,"$20,295.00 ","Linking Coffee Co., Ltd.",Juan Luis Fallas Mata,1750 masl,Costa Rica,2014,"Dota, Santa Maria",Tarrazú,"Juicy, smooth, long aftertaste, viscous, super syrupy","apricot, plum, sugar cane, honey, melon, plum, caramel, lime caramel, cherries caramel, cassis","citric, lemons, pineapple, grapes, bright lively",Semi-Washed,Catuai,2.5 ha,3 ha,Costa Rica
19,18,86.87,La Nena,,$7.30/lb,"$16,381.20 ","Wataru & Co., Ltd.",Juan José Alvarado,1600 masl,Costa Rica,2014,San Francisco,Valle Central,"tropical fruit, floral, mango, creamy, mouthfeel, smooth, elegant, medium body, regal","spicy, hazelnut, spices brown sugar, butter, creamy toffee, plum, honey, prickly pear","tartaric, malic, juicy",Semi-Washed,Villa Sarchi,25 ha,25 ha,Costa Rica
20,19,86.83,El Dragón,,$7.10/lb,"$10,777.80 ","Wataru & Co., Ltd.",Oscar Adolfo Monge Ureña,1600 masl,Costa Rica,2014,Parritilla la Legua de Aserri,Tarrazú,"sweet lemon finish, dry finish, transparent, silky, cinnamon, black currant finish silky","cocoa, sugar cane, hazelnuts, cinnamon, lime, caramel, floral, ,Red fruit, apricot, raspberry, floral, blueberry, kiwi","citric* malic, tart tartaric, complex, bright",Semi-Washed,Typica,8 ha,10 ha,Costa Rica
21,20,86.17,Santa Lucía – {O},,$7.40/lb,"$17,012.60 ",Kyokuto Fadie Corporation,Ricardo Peréz Barrantes,1700 masl,Costa Rica,2014,Llano bonito de Naranjo,Valle Occidental,"viscous, syrupy, juicy, smooth, caramel, pineapple, well balanced, buttery, floral","orange, caramel, sugar cane, spicy, dark chocolate, milk chocolate almonds, grape, floral, lemonade, star fruit","citric, bright, winey, lively, orange, snappy",Semi-Washed,Caturra,11 ha,12 ha,Costa Rica
22,21,85.87,El Aguacate,,$7.10/lb,"$10,777.80 ","Wataru & Co., Ltd.",Alejandro Solis Blanco,1800 masl,Costa Rica,2014,San Marcos,Tarrazú,"juicy, spicy, orange, milk chocolate, sweet, syrupy","caramel, chocolate, berry, honey, sweet dark caramel, chocolate, lemon, vanilla, brown sugar","malic, citric, tart, winey, apple, mango",Semi-Washed,Caturra,36 ha,36 ha,Costa Rica
23,22,85.57,La Plaza,,$7.05/lb,"$10,701.90 ","Wataru & Co., Ltd.",Gelbert Naranjo Vargas,1900 masl,Costa Rica,2014,León Cortez-Llano Bonito,Tarrazú,"round, sweet tobacco smooth mouthfeel, dried tropical fruits","floral, honey, sweet caramel, pink grapefruit, vanilla, red apple, lemon, green apple, brown sugar, cashew","malic, delicate, orange, fruity, lime, lemon citric",Washed,Catuai,14 ha,14 ha,Costa Rica
24,23,85.43,El Beneficio – 14,,$7.00/lb,"$16,170.00 ","BLACK GOLD COFFEE CO.,LTD.",Maria Cecilia Solis Moreno,1650 masl,Costa Rica,2014,Tarrazú El Rodeo,Tarrazú,"hoppy in a good way, cream, dark chocolate finish, creamy body","honey, cherries, blackberry, caramel, peach, almond, cocoa, honey floral","malic, raisin",Washed,Caturra,5 ha,5 ha,Costa Rica
25,1,91.46,Finca Leoncio,,$42.10/lb,"$64,034.10 ","Maruyama Coffee, Cafe Maple, Nagahama Coffee (JAPAN) // Campos Coffee (AUSTRALIA)",Manuel Antonio Barrantes Zuñiga,1600,Costa Rica,2015,"Lourdes, Cirri, Naranjo",Valle Occidental,"Perfect balance, super sweet and fruity, sweet long finish, creamy","Dried fruit, white grapes, date, plum, toffee, vanilla, brown sugar, rose, fig, pineapple , wine, grapefruit, spiced plums","Tartaric, malic, brilliant",Washed,SL-28,4 hectares,4 hectares,Costa Rica
26,2,90.92,Finca Beneficio,,$21.01/lb,"$31,956.21 ","Museo Co., Ltd.​, Coffeejumbbang",Juan Ramon Alvarado,1300,Costa Rica,2015,"San Francisco, San Isidro",Valle Central,"Delicate fruits and flowers, cherry clove finish","Jasmine, cherry, coconut milk, apricot, black currant, black tea, orange zest, lavender, floral, rose apple, tangerine, spice","Citric, tartaric in spades, effervescent",,Gesha,2 hectares,2 hectares,Costa Rica
27,3,89.82,Finca la Trinidad,,$20.10/lb,"$30,572.10 ",HARU International Corp.,"Luis Alberto Monge Ureña, Oscar Monge Ureña",1600,Costa Rica,2015,San Isidro de León Cortéz,Tarrazú,"Elegant, super sweet, well balanced, fruit basket","Jasmine, orange blossom, papaya, strawberry, cinnamon, stone fruit, passion fruit, peach, mango, blueberry, melon","Lactic, tartaric, malic",,Catuai,2 hectares,2 hectares,Costa Rica
28,4,89.56,Finca Diamante,,$15.00/lb,"$33,720.00 ","Hisashi Yamamoto Coffee (Unir), Time’s Club, TOA Coffee (JAPAN) // Coffee Libre (KOREA)",Café de Altura San Ramon,1250-1300,Costa Rica,2015,San Ramon,Valle Occidental,"Super sweet, clove, full body, clean finish","Cinnamon, strawberry, black cherry, stewed apple and vanilla, honey, nutmeg, jasmine","Lactic, acetic, malic, cinnamic",Anaerobic,Catuai Caturra,2 hectares,2 hectares,Costa Rica
29,5,89.44,Finca Pata de Gallo / Finca…,,$11.20/lb,"$32,222.40 ","Wataru & Co., Ltd.","Luis Guillermo Ramirez Rojas, Marco Vinicio Rojas Bolaños",1300,Costa Rica,2015,San Ramon,Valle Occidental,"Creamy, balanced","Ripe tropical fruit, spice, tamarind, black tea, cardamom, lavender, ginger, maple syrup","Phosphoric, tartaric, delicate, complex, citric",Anaerobic,Caturra,4 hectares,4 hectares,Costa Rica
30,6,89.42,Finca El Centro,,$15.10/lb,"$22,967.10 ",TERAROSA (HAKSAN Co.Ltd),Isaias Gomez Viquez,1500,Costa Rica,2015,"Getsemani de San Rafael, Heredia",Valle Central,"Full body, heavy, good body and flavor from beginning to end, lingering mouth feel","Floral, molasses, cinnamon, dark chocolate, rose, black cherry, caramel, mango, green apple, mandarin, tea-like, jasmine, lemon, grape","Lactic and malic, layered",Dark Honey,Gesha,30 hectares,30 hectares,Costa Rica
31,7,89.04,Finca las Casas,,$10.70/lb,"$16,274.70 ","Kean Coffee, Bird Rock Coffee Roasters, Klatch Coffee",Marco Vinicio Arrieta Brenes,1600,Costa Rica,2015,Lourdes de Cirri Naranjo,Valle Occidental,"Well balanced, buttery mouth feel, good body, creamy","Hibiscus, strawberry, dark chocolate, grapefruit, stone fruit, honey comb, mandarin, raisins, palm sugar",Balance of malic and citric,Washed,Caturra,3 hectares,3 hectares,Costa Rica
32,8,88.78,Finca la Montaña,,$10.70/lb,"$16,274.70 ",Sulalat Coffee Trading on behalf of Camel Step Coffee,Marlene Mayela Brenes Morera,1600,Costa Rica,2015,Lourdes de Cirri Naranjo,Valle Occidental,"Good from beginning to end, clean sweet finish","Wild berry, stone fruit, cherries, roasted almond, dark caramel, spice, orange, apricot, strawberries, milk chocolate","Tartaric, malic, citric, complex",Washed,Caturra Villa Sarchi,2.5 hectares,2.5 hectares,Costa Rica
33,9,88.76,Finca Macho (2015),,$10.40/lb,"$15,818.40 ",TERAROSA (HAKSAN Co.Ltd),Efrain Naranjo Blanco,1900,Costa Rica,2015,"Llano Bonito, León Cortés",Tarrazú,"Light rosemary finish, silky","Toffee, nougat, caramel, vanilla, apricot, dark fruits, tangerine, strawberry yogurt, pear, cranberry, lime zest, cherry","Lactic, malic",Semi-Washed,Catuai,9 hectares,11 hectares,Costa Rica
34,10,88.44,Finca Ortiz 1900,,$9.10/lb,"$13,841.10 ",M.I. COFFEE CORPORATION,Johana Calderon Martinez,1972,Costa Rica,2015,"Dota, Santa Maria",Tarrazú,"Light rosemary finish, silky","Toffee, nougat, caramel, vanilla, apricot, dark fruits, tangerine, strawberry yogurt, pear, cranberry, lime zest, cherry","Lactic, malic",Washed,Catuai,5 hectares,5 hectares,Costa Rica
35,11,87.44,Finca Nuestra Herencia,,$7.60/lb,"$13,816.80 ","Coffee TEK, Busan",Maria Grisel Porras Vega,1900,Costa Rica,2015,"Dota, Jardin, Puerto Rico",Tarrazú,"Good balance, round, creamy, silky","Vanilla, orange, peach, tea-like, pear, panela, macadamia, cacao beans, honey, malt","Vanilla, orange, peach, tea-like, pear, panela, macadamia, cacao beans, honey, malt Balance of citric and malic, citric, apple, elegant, complex",Semi-Washed,Caturra,4 hectares,6.7 hectares,Costa Rica
36,12,87.34,Finca Santa Lucia {O},,$8.50/lb,"$12,928.50 ",Sulalat Coffee Trading,Ricardo A. Perez Barrantes,1700,Costa Rica,2015,"Naranjo, Cirri Sur",Valle Occidental,"Juicy, fresh, long and layered finish, champagne-like, lively","Mixed berry, kiwi, tangerine, dried cherry, orange, fruit cocktail, fruit punch, coffee cherry, Chambord, black currants","Acidic, malic",Natural,Catuai Caturra,8 hectares,8.3 hectares,Costa Rica
