Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1a,90.39,Arashi,198.42,$97.10,"$19,266.58",GK Coffee (Taiwan 宜蘭 喝一杯健康的好咖啡/平安居咖啡民宿/海神咖啡）& Terra Bella Fine Roasted Coffee & Haru International Corporation,Abel Salinas Pacheco,1893.0,Ecuador,2021,,,"Overall Sweet (2), Bergamot, Cashew, Complex and aromatics, Floral, Star Fruit, Sweet Aromatics","Floral (3), Jasmine (3), Apricot (2), Berry (2), Black Currant (2), Candy (2), Maple Syrup (2), Peach (2), Raspberry (2), Red Apple (2), Blueberry, Brown Spice, Cherries, Chocolate, Citrus, Coffee cherry, Complex, Cranberries, Cranberry, Earl grey, Hazelnut, Lemonade, Lemongrass, Mandarin Orange, Mint, Orange chocolate, Passion Fruit, Pear, Pineapple, Rum, Star Fruit, Tangerine, Vanilla","Citric Acid (3), Articulated, Berry, Citrus, Green Apple, Lactic, Lemon, Lemon & Lime, Malic, Malic Acid, Orange, Passion Fruit, Red Apple, Strawberry, Sweet",Washed,Typica Mejorado,,,Ecuador
1,1b,90.39,Arashi,183.48,$97.10,"$17,815.91",GK Coffee (Taiwan 宜蘭 喝一杯健康的好咖啡/平安居咖啡民宿/海神咖啡）& Terra Bella Fine Roasted Coffee & Haru International Corporation,Abel Salinas Pacheco,1893.0,Ecuador,2021,,,"Overall Sweet (2), Bergamot, Cashew, Complex and aromatics, Floral, Star Fruit, Sweet Aromatics","Floral (3), Jasmine (3), Apricot (2), Berry (2), Black Currant (2), Candy (2), Maple Syrup (2), Peach (2), Raspberry (2), Red Apple (2), Blueberry, Brown Spice, Cherries, Chocolate, Citrus, Coffee cherry, Complex, Cranberries, Cranberry, Earl grey, Hazelnut, Lemonade, Lemongrass, Mandarin Orange, Mint, Orange chocolate, Passion Fruit, Pear, Pineapple, Rum, Star Fruit, Tangerine, Vanilla","Citric Acid (3), Articulated, Berry, Citrus, Green Apple, Lactic, Lemon, Lemon & Lime, Malic, Malic Acid, Orange, Passion Fruit, Red Apple, Strawberry, Sweet",Washed,Typica Mejorado,,,Ecuador
2,2,90.21,El Aguacate,189.93,$49.20,"$9,344.56",Orsir Coffee (Taiwan),Pablo Andrés Eguiguren Calisto,2100.0,Ecuador,2021,,,"Body/Fullness, Cocoa finish, Floral, Sweet and bright acidity, Tropical Fruit","Brown Sugar (2), Dried Fruit (2), Lemon & Lime (2), Peach (2), Red Apple (2), Red Grape (2), Apple, Berry, Bittersweet Chocolate, Black Tea, Blackberry, Blueberry, Brown Spice, Candis sugar, Cantaloupe, Caramel, Coffee cherry, Dark Chocolate, Floral, Fruit Punch, Grape, Grapefruit, Green Tea, Honeydew, Lemon, Lemongrass, Mandarin Orange, Mango, Orange, Pear, Raspberry, Ruby Grapefruit, Sweet spicy, Tropical Fruit, Vanilla, Watermelon","Citric Acid (2), Malic Acid (2), Berry, Bright, Lemon, Mandarin Orange, pomegranate, Plum, Structure",Natural,Sydra,,,Ecuador
3,3a,90.07,Alaska Del Sur,198.42,$75.10,"$14,901.34",Cometeer & George Howell Coffee,Curt John Madison,1897.0,Ecuador,2021,,,"Brown Sugar, Creamy, Hops, Meyer Lemon, Overall Sweet, Refine and sweet aromatics, Smooth, Soft","Floral (4), Berry (2), Citrus (2), Jasmine (2), Mandarin Orange (2), Red Currant (2), Apple, Brown Sugar, Caramel, Cardamon Caraway, Cherry, Citrus Fruit, Dark Berry, Dark Chocolate, Eucalyptus, Grape, Green Apple, Hazelnut, Honey, Honeydew, Hibiscus, Lemongrass, Lime, Nectarine, Pear, Red orange, Roasted Almond, Stone Fruit, Sweet and mellow, Tangerine, Vanilla, Walnut, Watermelon","Citric Acid (2), Malic Acid (2), Grapefruit, Juicy, Lactic, Lemon, Lemon & Lime, Lime, Mandarin Orange, Pear, Stone Fruit, Strawberry, Tart",Washed,Typica Mejorado,,,Ecuador
4,3b,90.07,Alaska Del Sur,152.92,$76.50,"$11,698.38",HARRODS,Curt John Madison,1897.0,Ecuador,2021,,,"Brown Sugar, Creamy, Hops, Meyer Lemon, Overall Sweet, Refine and sweet aromatics, Smooth, Soft","Floral (4), Berry (2), Citrus (2), Jasmine (2), Mandarin Orange (2), Red Currant (2), Apple, Brown Sugar, Caramel, Cardamon Caraway, Cherry, Citrus Fruit, Dark Berry, Dark Chocolate, Eucalyptus, Grape, Green Apple, Hazelnut, Honey, Honeydew, Hibiscus, Lemongrass, Lime, Nectarine, Pear, Red orange, Roasted Almond, Stone Fruit, Sweet and mellow, Tangerine, Vanilla, Walnut, Watermelon","Citric Acid (2), Malic Acid (2), Grapefruit, Juicy, Lactic, Lemon, Lemon & Lime, Lime, Mandarin Orange, Pear, Stone Fruit, Strawberry, Tart",Washed,Typica Mejorado,,,Ecuador
5,4,89.71,Santa Rita,315.95,$33.40,"$10,552.73",Sarutahiko Coffee Inc.,José Milton Ajila Ajila,1835.0,Ecuador,2021,,,"Black Cherry, Blackberry, Cacao Nibs, Milk Chocolate","Pineapple (3), Cinnamon (2), Fruity (2), Jasmine (2), Mango (2), Winey (2), Apricot, Banana, Berry, Black Tea, Blueberry, Brown Sugar, Cantaloupe, Caramel, Cherries, Citrus, Clove, Cocoa, Cranberries, Cranberry, Cream, Dark Chocolate, Dried Fruit, Dried Mango, Grape, Grapefruit, Green Apple, Jack fruit, Kiwi, Lemon & Lime, Licorice-anise, Lime, Lychee, Maple Syrup, Passion Fruit, Peach, Pithy, Pulpy, Ruby Grapefruit, Sesame, Star Fruit, Strawberry, Watermelon","Citric Acid (2), Malic Acid (2), Grapefruit, Lemon, Mandarin Orange, Red Apple, Red Grape, Structure, Tartaric, Tartaric acid",Natural Anaerobic,Typica Mejorado,,,Ecuador
6,5,89.68,Clara Luz,344.21,$38.50,"$13,252.09",Latorre&Dutch (China) for Fisher Coffee / Cut Hand Group（剁手咖啡群）/ Taster’s Coffee / 啟程拓殖 (Terraform Coffee Roasters) / Small Arms Big Heart 有容乃大,Servio Lennin Gonzalez Jiménez,1720.0,Ecuador,2021,,,"Caramel, Cocoa finish, Molasses, Nutty, Tropical Fruit","Pineapple (3), Brown Sugar (2), Mandarin Orange (2), Mango (2), Maple Syrup (2), Mint (2), Peach (2), Red Currant (2), Apricot, Berry, Caramel, Cherry, Chocolate, Citrus Fruit, Cranberry, Cream, Dark Cherry, Dark Chocolate, Dried Fruit, Fiji apple, Floral, Grape, Melon, Orange, Passion Fruit, Raspberry, Strawberry, Sweet-herb, Tea-like, Tropical Fruit, Vanilla, Winey","Bright (2), Crisp (2), Malic Acid (2), Black Currant, Complex, Grape, Grapefruit, Lemon, Lemon & Lime, Lime, Raspberry, Tangerine, White Grape",Natural Anaerobic,Sydra,,,Ecuador
7,6,89.61,Yamba Mine,261.38,$48.40,"$12,650.79","Coffee Me Up (Korea), Coffee Therapy (Thailand), Cuppingpost",Diana Velez Rodriguez,1600.0,Ecuador,2021,,,"Complex, Cranberry, Honey, Overall Sweet, Sweet and good dimension, Sweet Aromatics","Raspberry (3), Black Tea (2), Grape (2), Peach (2), Red Currant (2), Apricot, Blackberry, Blueberry, Brown Spice, Cacao Nibs, Caramel, Cinnamon, Citrus Fruit, Dried Dates, Floral, Grapefruit, Hibiscus, Honeydew, Jack fruit, Lemonade, Licorice, Lime, Molasses Syrup, Papaya, Pear, Pineapple, Pomegranate, Red Apple, RED Guava, Sour Cherry, Stone Fruit, Strawberry, Sweet spice, Tangerine, Vanilla","Malic Acid (2), Citric Acid, Citrus, Citrus Fruit, Cranberry, Lemon, Lemon & Lime, Mandarin Orange, Pineapple, Tangerine",Natural,Sydra,,,Ecuador
8,7,89.29,Casa Rumisitana,258.01,$30.00,"$7,740.30",Wataru for KARIOMONS COFFEE ROASTER,Wilma Peñaherrera Campaña,1500.0,Ecuador,2021,,,"Chamomile, Floral, Jasmine Honeysuckle, Lemon & Lime, Nougat","Black Tea (2), Brown Sugar (2), Chocolate (2), Floral (2), Hibiscus (2), Almond, Berry, Black Currant, Candy, Cane Sugar, Cherry, Citrus, Complex, Cookies, Grape, Green Apple, Honey, Jasmine Honeysuckle, Lemon, Milk Chocolate, Peach, Pear, Pecan, Pineapple, Red Currant, Red plum, Sour Cherry, Stone Fruit, Sweet & Sugary, Sweet orange, Tangerine, Tea Rose","Lime (2), Blueberry, Bright, Citric Acid, Green Apple, Lemon, Lively, Malic Acid, Mandarin Orange, Red Apple, Red berry, Stone Fruit, Strawberry, Vanilla, White Grape",Washed,Typica Mejorado,,,Ecuador
9,8,89.11,Lugmapata,266.82,$43.10,"$11,499.94",NOZY COFFEE & Intelligentsia,Roberto Vasconez,1916.0,Ecuador,2021,,,"Brown Sugar, Citrus, Pomelo, Soft","Floral (3), Peach (3), Bergamot (2), Black Tea (2), Green Apple (2), Honey (2), Stone Fruit (2), Vanilla (2), Almond, Apple, Apricot, Berry, Blackberry, Brown Sugar, Cherry, Cinnamon, Grapefruit, Licorice-anise, Mango, Molasses, Milk Chocolate, Molasses Syrup, Orange Blossom, Pomegranate, Red Apple, Red berry, Roasted Almond, Roasted Hazelnut, Sour Cherry, Toffee, Very aromatic","Citric Acid (2), Green Apple (2), Grape, Lime, Malic Acid, Orange, Pear, Pineapple, Plum, Sweet lemon, Tangerine",Honey,Sydra,,,Ecuador
