Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1a,90.31,Divina Providencia,637.7,$80.10,"$51,079.77","Maruyama Coffee, Uchida Coffee, Harrods, Difference Coffee, Cometeer, Goodboybob Coffee",Roberto Samuel Ulloa Vilanova,900,El Salvador,2020,PALO DE CAMPANA,Santa Ana,"Tart Cherry, Pear, Almond Butter, Plum, Red Currant, Rhubarb, Cola, Dark Chocolate Covered Cherries, Plum, Prunes, Floral, Fresh Strawberry, Melon, Chocolate, Cherry, Strawberry, Apricot Melon Peach Papaya","Malic, , Citric, Complex, Citric, Malic, Citric Tartaric","Red Apple, Well Balanced, Superb, Intense Sweetness, Mouthcoating, Grape, Long Aftertaste Improved Juicy Peach",Natural Anaerobic,Pacamara,,,El Salvador
1,1b,90.31,Divina Providencia,628.32,$60.10,"$37,762.03",AL QAHWA AL ARABIAH,Roberto Samuel Ulloa Vilanova,900,El Salvador,2020,PALO DE CAMPANA,Santa Ana,"Tart Cherry, Pear, Almond Butter, Plum, Red Currant, Rhubarb, Cola, Dark Chocolate Covered Cherries, Plum, Prunes, Floral, Fresh Strawberry, Melon, Chocolate, Cherry, Strawberry, Apricot Melon Peach Papaya","Malic, , Citric, Complex, Citric, Malic, Citric Tartaric","Red Apple, Well Balanced, Superb, Intense Sweetness, Mouthcoating, Grape, Long Aftertaste Improved Juicy Peach",Natural Anaerobic,Pacamara,,,El Salvador
2,2,89.91,La Bonita,911,$30.50,"$27,785.50","Kyokuto Fadie Corporation & ARAB COFFEE CO., LTD.",Norelvia Angelica Elias De Diaz,1950,El Salvador,2020,JOCOTAN,Chalatenango,"Honeydew, Bergamot, Papaya, Blackcurrant, Red Grape, Licorice Anise, Caramel, Red Currants, Cranberries, Grape, Apple, Blueberry, Juicy, Brown Sugar, Prune, Citric Floral Honey Brown Sugar Tea-Like","Lime Acidity, Tartaric Acidity, Citric, Tartaric And Malic, Complex, Crisp And Complex","Long Sweet Finish, Well Balanced, Smooth, Well Balanced, Creamy, Bright, Elegant, Creamy, Long Aftertaste, Brown Sugar Caramel, Delicate Clean",Washed,Pacamara,,,El Salvador
3,3,89.53,Mileydi,"1,020.00",$26.80,"$27,336.00","Time’s Club, Coffee Libre, Valley Coffee(China), EL CAFE coffee roasters, Coffee Montage, 304 roasters, Coffee Place, FEBRUARY ROASTERS",Ever Leonel Diaz Perez,1250,El Salvador,2020,SAN JOSE SACARE,Chalatenango,"Pomegranate, Orange Marmalade, Nectarine, Blackcurrant, Chocolate Sauce, Dried Fruits, Cherries, Cranberries, Toffee, Plum, Cherry, Strawberry, Fruits Juice, Peach, Molasses, Citric Peach Watermelon","Lemon Acidity, Phosphoric Acid, Orange, Complex Fruit Acidity, Citric, Crisp Tartaric","Clean, Long Finish, Creamy, Lively, Long Aftertaste, Bitter Chocolate,",Washed,Pacamara,,,El Salvador
4,4,89.16,La Pacaya,886,$48.60,"$43,059.60",Fisher Coffee / M2M Coffee Roasters / 广州犀咖烘焙有限公司 / 啟程拓殖 / 芦田家咖啡研习社 / Captain George Coffee Roaster / Latorre & Dutch Coffee (China),"Mav, S.A. De C.V.",1700,El Salvador,2020,PORTEZUELOS,Sonsonate,"Floral, Guava, Plum, Big Tropical, Lychee, Pineapple, Passion Fruit, Chocolate, Berries, Jasmine, Lychee, Melon, Floral, Rose, Raisin, Black Currant, Cinnamon Bergamot, Grape, Violet","Complex Fruit Acidity, Citric, Sweet, Bright Citric","Hibiscus, Cedar, Berry, Sweet, Juicy, Long Sweet Aftertaste, Velvety Mouthfeel, Round, Soft, Well Balanced, Long Aftertaste Smooth Tea-Like",Natural,Gesha,,,El Salvador
5,5,89.06,Los Angeles,"1,095.00",$22.50,"$24,637.50",Cypher Roastery LLC,"Los Naranjos Cafe, S.A. De C.V.",1400,El Salvador,2020,TALTAPANCA,Ahuachapan,"Lemon, Lime, Orange Candy, Blackcurrant, Fig, Rose, Coconut, Strawberry, Dark Chocolate, Kiwi, Strawberry, Watermelon, Kiwi, Minty, Orange, Cranberry, Melon Apricot Mango,","Lemon Acidity, Lime, Lively, Juicy, Complex Fruit Acidity, Sparkling Acidity, Citric, Bright Crisp","Guava, Peach, Orange Liqueur, Creamy, Round, Round Grape Syrup Sweet Juicy",Natural Anaerobic,Pacamara,,,El Salvador
6,6,88.81,El Amel,595,$20.30,"$12,078.50",BLACKUP COFFEE COMPANY,Ariz Y Compañia,1200,El Salvador,2020,LOS HUATALES,Ahuachapan,"Floral, Orange, Raspberry, Dark Berries, Rhubarb, Blood Orange, Water Melon, Coco, Honey, Jasmine, Plum, Cooked Apple, Juicy, Honey, Candy, Apple, Caramel, Brown Sugar, Tea-Like Sweet Orange","Lime Acidity, Red Orange, Malic, Citric Bright, Complex","Grape, Floral, Balanced, Big Body, Depth, Improved Over Time, Very Sweet, Round, Delicate Sweet Candy-Like, Lingering Transparent",Honey,SL34,,,El Salvador
7,7,88.75,El Aguila,888,$17.60,"$15,628.80",Campos Coffee,Primos Ariz Valdivieso Y Compañia,1400,El Salvador,2020,OJO DE AGUA,Santa Ana,"Berry, Hibiscus, Boysenberry, Plum, Caramel, Grape, Red Currants, Blueberries, Melon, Hibiscus, Pineapple, Cacao Nibs, Cocoa, Black Tea, Fruity, Chocolate , Strawberry, Pineapple Melon Apricot","Tartaric Acid, Citric, Lime, Malic, Bright, Bright White Grape Fruits Green Apple","Cocoa, Rounded, Well Balanced, Well Balanced, Long Aftertaste, Syrup Long Aftertaste Improved Cherry, Well Ripen",Natural,SL34,,,El Salvador
8,8,88.69,La Bendicion 2,"1,578.00",$17.20,"$27,141.60",Sarutahiko Coffee Inc.,Roberto Samuel Ulloa Rusconi,1400,El Salvador,2020,CALZONTES ARRIBA,Santa Ana,"Black Cherry, Pomegranate, Hibiscus, Tiramisu, Mango, Cranberry, Lime, Plums, Vanilla, Red Currants, Guava, Grape, Orange, Sweet, Apricot, Cherry, Blue Berry, Melon","Transparent Acidity, Complex Fruit Acidity, Sparkling Lemon Acidity, Citric Bright","Syrupy Body, Berry, Long Sweet Aftertaste, Peach, Smooth, Papaya",Natural Anaerobic,SL28,,,El Salvador
9,9,88.69,Benasque,888,$19.10,"$16,960.80",M.I.COFFEE CORPORATION,Exportadora Agricola Comercial S.A. De C.V.,1300,El Salvador,2020,SAN JUAN LOMA ALTA,Usulutan,"Jasmine, Floral, Hibiscus, Grape, Red Grape, Brown Spice, Cola, Blackcurrant, Orange Peel, Red Fruit, Milk Chocolate, Jasmine, Peach, Brown Sugar, Chocolate, Minty, Caramel, Floral","Lime Citrus, Phosphoric Acid, Citric, Tartaric, Citric, Malic, Crisp Bright","Candy Like Sweetness, Lingering, Long Bright Finish, Long Finish, Syrup, Delicate, Brown Sugar, Cherry, Long Aftertaste",Honey,Pacamara,,,El Salvador
10,10,88.5,Santa Rosa,542,$19.90,"$10,785.80",Kyokuto Fadie Corporation,J. Raul Rivera S.A. De C.V.,1550,El Salvador,2020,SANTA ROSA,Chalatenango,"Wine-Like, Nectarine, Peach, Molasses, Dried Dates, Peanut, Red Apple, Peach, Mango, Jasmine, Mango, Peach, Honey, Jam, Cocoa, Raspberry, Apricot, Strawberry, Fruity","Tartaric Acid, Citric, Malic, Complex Fruit Acidity, Malic, Tartaric, Bright Citric","Watermelon, Juicy, Layered, Well Balanced, Lingering, Fruits Basket, Mellow, Sweet Lime, Floral, Syrup, Smooth",Honey,Pacamara,,,El Salvador
11,11,88.38,Las Palmas,949,$14.00,"$13,286.00","Bohemian (An-am), ESCUDO Coffee","Agricafe, S.A. De C.V.",1425,El Salvador,2020,SAN JOSE,Usulutan,"Cherry, Plum, Strawberry, Vanilla, Panela, Grape, Melon, Melon, Floral, Marzipan, Strawberry, Grape, Jasmine, Peach, Honey, Fruity, Caramel Peach Passion Fruits","Lemon, Orange, Tartaric, Citric, Crisp Vivid Citric","Delicate, Herbal, Sweet, Smooth, Sweet, Syrupy Mouthfeel, Creamy And Smooth Long Aftertaste, Sweet Finish Mellow",Natural,Pacamara,,,El Salvador
12,12,88.31,El Derrumbo,"1,224.00",$19.70,"$24,112.80",TAKAMURA COFFEE ROASTERS,Vicente Rafael Diaz Vasquez,1100,El Salvador,2020,SAN JOSE SACARE,Chalatenango,"Almond Butter, Guava, Grapefruit, Blackcurrant, Dried Dates, Brown Sugar, Dark Chocolate, Cherries, Chocolate, Red Stone Fruit, Floral, Tropical, Floral, Honey, Cocoa, Green Apple, Brown Sugar Chocolate Blueberry Grape","Structured, Phosphoric Acidity, Crisp, Citric, Citric, Tartaric, Malic, Citric Bright","Pear, Well Balanced, Floral, Big Body, Clean, Transparent, Well Balanced, Sweet, Thick Body, Sweet Finish, Smooth Creamy Mouthfeel Sweet And Juicy",Washed,Pacamara,,,El Salvador
13,13,87.88,La Campanula,671,$20.20,"$13,554.20",Orsir Coffee(Taiwan),"Zapotal, Sociedad Anonima De Capital Variable.",1800,El Salvador,2020,PALO DE CAMPANA,Santa Ana,"Berry, Guava, Concord Grape, Blood Orange, Jaffa, Lemon, Kiwi, Brown Sugar, White Peach, Plum, Jasmine, Caramel, Strawberry, Apricot, Honey, Juicy, Floral, Cinnamon, Green Apple,","Plush, Citric Acidity, Citric, Citric, Citric, Orange, Bright","Bergamot, Very Sweet, Sweet, Long, Elegant, Well Balanced, Sugarcane , Violet, Long Aftertaste",Washed,Gesha,,,El Salvador
14,14,87.75,Las Duanas,400,$23.10,"$9,240.00",Sulalat Coffee Trading,J. Raul Rivera S.A. De C.V.,1000,El Salvador,2020,SANTA ROSA,Chalatenango,"Cherry, Toffee, Dark Chocolate, Caramel, Fruit Cake, Honeycomb, Apricot, Yellow Raisin, Strawberries, Blueberries, Apple, Mango, Cinnamon, Pineapple, Peach, Watermelon, Mint, Strawberry, Melon, Green Apple","Citric, Lemon, Orange, Malic, Citric, Malic, Crispy Bright","Amber Honey, Sweet, Candy-Like, Smooth",Natural,Pacamara,,,El Salvador
15,15,87.75,Noruega,644,$33.20,"$21,380.80",Sulalat Coffee Trading,"Los Naranjos Cafe, S.A. De C.V.",1400,El Salvador,2020,QUEZALAPA,Ahuachapan,"Cherry, Pear, Plum, Savory, Roasted Almond, Cola, Piña Colada, Molasses, Black Currants, Black Berry, Vanilla, Banana, Persimmon, Bergamot, Cherry, Strawberry Papaya, Mandarin Orange,","Complex, Citric And Tartaric, Citric, Malic, Bright Citric Malic","Blackberry, Transparent, Round, Cedar, Grape",Natural Anaerobic,Bourbon,,,El Salvador
16,16,87.63,Las Ventanas,"1,663.00",$12.65,"$21,036.95",Honu Kato Coffee Inc.,Elisa Beatriz Aguilar Landaverde,1200,El Salvador,2020,EL TUNEL,Chalatenango,"Brown Sugar, Nougat, Cocoa, Green Apple, Red Currant, Caramel, Chocolate, Lemon, Melon, Orange, Apple, Brown Sugar, Tea-Like, Sweet, Honey Caramel Floral Grapefruits","Balanced, Tartaric Acidity, Juicy, Citric, Malic, Bright Citric Tartaric","Syrupy, Structured, Juicy, Smooth, Lingering, Well Balanced, Creamy, Round, Bitter Choco Round Mouthfeel Improved",Washed,Pacamara,,,El Salvador
17,17,87.63,Roxanita,673,$13.10,"$8,816.30","COFFEE COUNTY, RIO COFFEE, KARIOMONS COFFEE ROASTER",Ignacio Gutierrez Solis,1400,El Salvador,2020,EL TUNEL,Chalatenango,"Tart Charry, Bittersweet Chocolate, Red Currant, Plum, Hazelnut, Lemon Curd, Cinnamon, Peach, Floral, Grape, Mango, Plum, Chocolate, Brown Sugar Dark Cherry, Green Apple","Complex Fruit Acidity, Orange, Red Apple, Tropical Acidity, Citric, Crisp Bright","Cherry Juice, Balanced, Creamy, Sweet, Syrup, Candy-Like, Floral",Natural,Pacamara,,,El Salvador
18,18,87.5,Las Brumas,990,$14.10,"$13,959.00","Wataru & Co., Ltd.",Juan Jose Ernesto Menendez Arguello,1900,El Salvador,2020,TUNALMILES,Sonsonate,"Jasmine, Honeysuckle, Floral, Cola, Panela, Grape, Strawberry, Cloudberry, Caramel, Red Fruit, Floral, Peach, Mango, Fruity, Raisin, Dried Fruits, , Apricot Sweet Spicy Lime","Sparkling Acidity, Complex Fruit Acidity, Lime, Complex Fruit Acidity, Bright Acidity, Bright Citric","Black Tea, Berry, Smooth, Clean, Long Finish, Silky, Nuts Herb Sugarcane",Lavado Anaerobic,SL28,,,El Salvador
19,19,87.44,El Topacio,728,$12.70,"$9,245.60",Wataru for Nozy Coffee,Maria Elena Avila De Muyshondt,1300,El Salvador,2020,JUAN DE DIOS,Sonsonate,"Cocoa, Hazelnut, Honey, Stewed Strawberry, Cranberry, Red Apple, Mandarin, Bergamot, White Chocolate, Honey, Orange, Strawberry, Yellow Peach, Honey, Berry, Lychee, Brown Sugar Floral White Peach","Complex Fruit Acidity, Lime, Citric, Bright, Malic, Crisp Vivid Citric Sparkling","Cocoa, Sweet, Juicy, Lingering, Sweet Finish, Smooth, Tea Like Long Aftertaste Improved Exotic",Natural,Pacamara,,,El Salvador
20,20,87.25,San Andres,"2,046.00",$12.10,"$24,756.60","Wataru & Co., Ltd.",Jose Alfredo Recinos Diaz,1600,El Salvador,2020,EL TUNEL,Chalatenango,"Grape, Fig, Cherry, Cola, Cherry, Brown Spice, Dark Fruit, Cherry, Cantaloupe, Orange, Cherry, Peach, Cocoa, Caramel, Tea-Like, Apricot Strawberry, Caramel Papaya Lemon Lime","Lemon Lime Acidity, Malic Acid, Lime, Citric And Tartaric","Heavy Body, Layered, Long Finish, Smooth, Syrup Round ,Chocolate",Natural,Pacamara,,,El Salvador
21,21,87.25,Don Octavio,906,$12.20,"$11,053.20",Dabov Specialty Coffee & Ascension Coffee Roasters,Jose Octavio Umaña Valdivieso,1650,El Salvador,2020,TALQUEZALAR,Chalatenango,"Sweet Raisins, Molasses, Papaya, Brown Spice, Orange Chocolate, Cherry, Vanilla, Orange, Coco, Caramel, Peach, Grapefruit, Plum, Juicy, Molasses, Chocolate Peach, Pineapple","Lime Acidity, Citric, Crisp Bright Citric","Guava, Smooth, Lingering, Smooth Long Aftertaste Well Balanced",Honey,Pacamara,,,El Salvador
22,22,87.25,Los Pirineos,551,$19.80,"$10,909.80",Saza Coffee,"Agricafe, S.A. De C.V.",1400,El Salvador,2020,SAN JOSE,Usulutan,"Cherry Juice, Cranberry, Woody, Grain, Blackcurrant, Red Apple, Cinnamon, Orange, Tropical Fruit, Caramel, Cinnamon, Not Clean, Astringent, Brown Sugar Chocolate, Tea","Malic, Phosphoric Acid, Citric, Malic, Bright","Sweet Cream, Lingering, Orange",Natural,Bourbon Pink,,,El Salvador
23,1a,91.68,Mileydi,538.07,$70.00,"$37,664.90",BIGFACE,Ever Leonel Diaz Perez,"1,350 MASL",El Salvador,2021,,,"Banana, Bergamot, Complex, Floral, Grapefruit, Heavry, Lingering and lively sweet acidity, Mandarin Orange, Mango, Overall Sweet, Papaya, Strawberry, Sweet Aromatics","Floral , Peach , Passion Fruit , Stone Fruit , Blackberry , Brown Spice , Cranberry , Grapefruit , Strawberry , Sweet & Sugary , Bakers Chocolate, Black Cherry, Black Currant, Black Tea, Caramel, Dry mango, Fragrant, Lingering aftertaste, Mandarin Orange, Molasses Syrup, Nice balance, Orange juice, Overall Sweet, Red Apple, Red Currant, Sharp, Tropical Fruit, Umami, Very sweet, Watermelon","Complex , Lemon & Lime , Bergamot, Black Currant, Bright, Crisp, Hibiscus, Lively, Malic Acid, Passion Fruit, Red Currant, Strawberry, Tartaric, Well balanced",Semi-Washed,Pacamara,,,El Salvador
