Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1a,91.04,Niguse Gemeda Mude,595.25,$185.10 ,"$110,180.78 ","Maruyama Coffee, Saza Coffee, Cometeer, Goodboybob Coffee, Difference Coffee, Harrods, Orsir Coffee(Taiwan), The Hub Coffee Malaysia",Niguse Gemeda Mude,,Ethiopia,2020,Bura,Sidama,"Blueberry, jammy, big round juicy mouthfeel, red wine, tangerine, butter creamy body, consistent, intense in flavor but balanced, very well structured, honey dew, very clean aftertaste","Blueberry, pepper, white peach, blackberry, apricot, pineapple, floral, jasmine, red currant, apple, prune, raspberry, violet, mango, red fruit tangerine, creamy, long, smooth, dried bananas","Silky acidity fruit acidity, wine, citric, bright, acetic",Natural,74158,,,Ethiopia
1,1b,91.04,Niguse Gemeda Mude,595.25,$185.10 ,"$110,180.78 ",Sarutahiko Coffee Inc.,Niguse Gemeda Mude,,Ethiopia,2020,Bura,Sidama,"Blueberry, jammy, big round juicy mouthfeel, red wine, tangerine, butter creamy body, consistent, intense in flavor but balanced, very well structured, honey dew, very clean aftertaste","Blueberry, pepper, white peach, blackberry, apricot, pineapple, floral, jasmine, red currant, apple, prune, raspberry, violet, mango, red fruit tangerine, creamy, long, smooth, dried bananas","Silky acidity fruit acidity, wine, citric, bright, acetic",Natural,74158,,,Ethiopia
2,2a,90.89,Rumudamo Coffee Industry Trade PLC,959.01,$108.00 ,"$103,573.08 ","MUSEO Co., Ltd., Intelligentsia Coffee (USA), Coffee Collective (Denmark), Single O (Australia), La Boheme Cafe (Czech Republic), Upstream Imports/ Reverence/ Sprociety (Australia ), Dutch Barista Coffee (Holland), Beanbox (USA), Songdo Coffee (South Korea), Pebble Coffee (Taiwan), Simple Kaffa (Taiwan), Kakalove (Taiwan)",Rumudamo Coffee Industry Trade PLC,,Ethiopia,2020,Arbegona,Sidama,"Floral, honey suckle, structured, long-lasting, consistent, unique acidity, real clean, coriander, stone fruit","Strawberry jam, lavender, peach, brown sugar, sugar cane, floral notes, maple syrup, orange, peach jasmine, spices white peach, jasmine silky, long, caramel, roasted nuts","Complex citric, juicy, syrupy, tartaric",Washed,74110,,,Ethiopia
3,2b,90.89,Rumudamo Coffee Industry Trade PLC,925.94,$107.10 ,"$99,168.17 ","Maruyama Coffee, Snow Beans Coffee, Cometeer, George Howell Coffee, BLESSBEAN CO. LTD (South Korea), Hermoso Coffee Roasters",Rumudamo Coffee Industry Trade PLC,,Ethiopia,2020,Arbegona,Sidama,"Floral, honey suckle, structured, long-lasting, consistent, unique acidity, real clean, coriander, stone fruit","Strawberry jam, lavender, peach, brown sugar, sugar cane, floral notes, maple syrup, orange, peach jasmine, spices white peach, jasmine silky, long, caramel, roasted nuts","Complex citric, juicy, syrupy, tartaric",Washed,74110,,,Ethiopia
4,3a,90.25,RumuDamo PLC,959.01,$47.16 ,"$45,226.91 ","Kyokuto Fadie Corporation & ARAB COFFEE CO., LTD.",RumuDamo PLC,,Ethiopia,2020,Arbegona,Sidama,"Sweet, tart cherry, white nectarine, long finish round body, creamy body, consistent, coriander, sugar cane juice, cherry","Stewed plums, jasmine, papaya, brown sugar, chocolate, cherry, prune, berries, molasses, stone fruit, sugar cane juice, black currant, peach, black currant, molasses, silk mouthfeel, pineapple jams, brown sugar, cacau, lingering finish","Complex, sparkling juicy, bright, lively, tartaric",Washed,74110,,,Ethiopia
5,3b,90.25,RumuDamo PLC,925.94,$49.10 ,"$45,463.65 ","Orsir Coffee(Taiwan), TRN(Taiwan Roasters Network)",RumuDamo PLC,,Ethiopia,2020,Arbegona,Sidama,"Sweet, tart cherry, white nectarine, long finish round body, creamy body, consistent, coriander, sugar cane juice, cherry","Stewed plums, jasmine, papaya, brown sugar, chocolate, cherry, prune, berries, molasses, stone fruit, sugar cane juice, black currant, peach, black currant, molasses, silk mouthfeel, pineapple jams, brown sugar, cacau, lingering finish","Complex, sparkling juicy, bright, lively, tartaric",Washed,74110,,,Ethiopia
6,4,89.86,Birhanu Teklu Meribo,1322.77,$40.40 ,"$53,439.91 ","Time’s Club, Coffee Libre, Valley Coffee(China), 396CoffeeCompany, El Cafe Coffee Roasters, Coffee Montage, MUSEO Co.,LTD, liike coffee, Cygnus Coffee, ABRI COFFEE FACTORY",Birhanu Tekelu Meribo,,Ethiopia,2020,Kokosa,West Arsi,"Honeysuckle, sweet lemon full, satisfying from beginning to end","Cranberry, ginger, clove, honeycomb, apricot, plum, starfruits, clove, malty, peach, strawberry red berries, blueberry, peach violet, guava, peach, blueberry persistent, long, refined, citric acidity, tartaric","Complex, sharp lemon grass, citric",Natural,Typica,,,Ethiopia
7,5,89.43,Gare Ware Jilo,2182.57,$21.00 ,"$45,833.97 ",ONYX COFFEE LAB,Gare Ware Jilo,,Ethiopia,2020,Hara Welabo,West Guji,"Cranberry, juicy, dates, nectarine, mango, long sweet aftertaste juicy. sugary, clean, fruity finish","Green grape, cranberry, nectarine, red apple, juicy, green apple, molasses, roasted hazelnuts, nutmeg sweet, blueberry brown spice, blueberry dense, structured, sweet","Sparkling acidity, malic, juicy, crisp, acetic",Natural,Kurme,,,Ethiopia
8,6,89.21,Eshetu Mergiya Teklegiorgis,2248.71,$19.52 ,"$43,894.82 ","Artisan Roast Ltd (Scotland), Gold Box Roastery, Elbgold Röstkaffee GmbH, Upstream Coffee Imports",Eshetu Mergiya Tekele Gorgis,,Ethiopia,2020,Nansebo,West Arsi,"Peach, spice, caramel complex, clean finish","Orange marmalade, pomegranate, fig, red apple, honey, watermelon lemon, berry, molasses chocolate black pepper, caramel, caramel, raspberry, orange citrus aroma flower, berries, berries flavor, raspberries, complex, dimensional, honey, brown sugars","Rounded and sparkling acidity elegant, juicy, sirup, sugary",Natural,Typica,4.7,5,Ethiopia
9,7,89.21,Assefa Dukamo Korma,1818.81,$23.10 ,"$42,014.51 ",M.I. Coffee Corporation,Asefa Dukamo Orma,,Ethiopia,2020,Bonsa,Sidama,"Tropical, velvety, syrupy, sweet, intense round body, syrupy body,","Lemon lime, lychee, quince, guava, papaya, tropical cinnamon, orange, prune blueberry, cinnamon, spices blueberry, orange, red fruit sweet, creamy, dulce de leche, brown sugar","Tartaric complex acidity, fruit acidity.",Natural,74158,1.161,2.61,Ethiopia
10,8,89.07,RumuDamo PLC,1752.67,$35.10 ,"$61,518.72 ",BLESSBEAN CO. LTD & 1KG COFFEE,RumuDamo PLC,,Ethiopia,2020,Arebegona,Sidama,"Quince, clean, long aftertaste tea like","Orange, lemon, black currant, caramel, minty, chocolate, grape, apple jasmine, very sweet, berries fresh ginger, white peach, jasmine brown sugar, tamara dry fruit, long, caramel","Citric, complex citric, lemongrass, juicy,",Washed,74110,,,Ethiopia
11,9,89,Kemer Ibrahim Usman,2116.44,$18.21 ,"$38,540.37 ",Sulalat Coffee Trading,Kemer Ibrahim Usman,,Ethiopia,2020,Nansebo,West Arsi,"Intense, long lasting thick and buttery body, consistent,","Sweet raisin, verbena, hibiscus, butterscotch, cacao, clove, floral, berries, lime, jasmine, blueberry, red fruit wide finishing, honey, caramel, citric, lingering finish","Complex acidity well balanced, red apple,",Natural,Typica,3,3,Ethiopia
12,10,88.89,Tadele Demise Tola,2149.5,$19.30 ,"$41,485.35 ",Wataru for COFFEE TONYA,Tadele Demse Tola,,Ethiopia,2020,Nansebo,West Arsi,"Black tea, nectarine, round balanced, round body","Sweet cherry, amber honey, mix citrus peel, cacao, dark chocolate, brown sugar, peach, tropical fruit black cherries black fruit bright acidity refined, fruits, improving hot to cold, caramel","Silky acidity, structured green grape, malic, tartaric",Natural,Typica,4,4.901,Ethiopia
13,11,88.75,Nareware Chemba,1951.09,$25.60 ,"$49,947.90 ",Sulalat Coffee Trading,Nareware Chemba,,Ethiopia,2020,Bona,Sidama,"Bergamot, grapefruit, lemon lime complex, very ripe fruits.","Cherry cola, cranberry, grape soda, ripe, chocolate, plum, dark fruits, tangerine, blueberry, chocolate, blueberry, nectarine, cocoa nib, natural fruits, red wine, solid","Bright, juicy bright, green tea.",Natural,74158,2.5,3,Ethiopia
14,12,88.64,Testi Trading Plc,429.9,$66.60 ,"$28,631.34 ","SHANGHAI BOJIN TRADING CO., LTD. / BLACK GOLD COFFEE CO., LTD. / OKLAO SPECIALTY COFFEE",Testi Trading Plc,,Ethiopia,2020,Benra,Sidama,"Orange marmalade, raspberry complex, unique, pink wine","Cherry cola, peach, apricot, strawberry, blackberry, cinnamon, pulpy, process barley, alcoholic, memorable fruits (fresh and dry)","Structured, strawberry like, tartaric, winey acidity",,,,,Ethiopia
15,13,88.57,Shiferaw Kursu,562.18,$39.60 ,"$22,262.33 ",Bigblackbox,Sheferaw Kurse Roba,,Ethiopia,2020,Yirgacheffe,Gedio,"Cherry, strawberry jam, orange","Chocolate syrup, melon, clove, floral, sugary, sugar cane, floral, grape rose tea, cherry rose, strawberry, blueberry not uniformed cups, sweet, clean","Citric, malic, juicy",Natural,Kurme,3,3,Ethiopia
16,14,88.43,Buku Sayisa coffee plc,2017.23,$16.40 ,"$33,082.57 ","Maruyama Coffee Co., Ltd.",Buku Sayisa coffee plc,,Ethiopia,2020,Hanbela,Guji,"Meyer lemon, maraschino cherry, blueberry, brown spice","Dark chocolate, apricot, watermelon, dark chocolate, ripe, plum peach, black cherry, blueberry, maraschino cherry, blueberry, brown spice dried fruits, sweet with acidity, peach jam, refined","Citric, juicy acidity, malic, tartaric, little dry.",Natural,Typica,,,Ethiopia
