Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1,91.47,Kalibus La Sierra,,$42.40/lb,"$65,211.20 ","GSC International Co.,Ltd. (KOREA) // Shanghai Borong International Trading Co.,Ltd (CHINA)","Castillo Cerezo, Pompeyo",1578-1950 masl,Guatemala,2014,San Cristobal Acasaguastlan,El Progreso,"crisp, juicy, transparent, delicate well balanced, maraschino cherries.Body: syrup, silky, velvety, creamy","blueberry, coffee blossom, mango, hazel, minty, honey, jasmine, tangerine, rose","bright, complex, fruit, spine, refined",,Gesha,,141 ha,Guatemala
1,2,90.08,El Injerto I – 14,,$20.30/lb,"$48,517.00 ","GSC International Co.,Ltd. (KOREA) // Shanghai Borong International Trading Co.,Ltd (CHINA)","El Injerto, S.A.",,Guatemala,2014,La Libertad,Huehuetenango,"transparent, zesty, linger taste.Body: round, smooth, mouth expanding, lively coating","vanilla, jasmine, super sweet, sugar cane, gooseberry, molasses","juicy, lively, bright, syrupy",,Pacamara,1524-2438,447 ha,Guatemala
2,3,89.11,El Morito I,,$16.60/lb,"$37,798.20 ","Kyokuto Fadie Corporation, Tashiro Coffee, Time’s Club, Coffee Libre","Monterroso Pineda, José Roberto",1372-2042 masl,Guatemala,2014,Mataquescuintla,Jalapa,"elegant, well balanced, integrated, toffee.Body: silky, round, creamy, consistent","floral, plums, orange, peach, cola, peach, jasmine, black current, viscous","complex, tartaric, lovely green apple, white wine",,Pacamara Pache,,23 ha,Guatemala
3,4,88.08,La Florida,,$17.09/lb,"$35,940.27 ","Maruyama Coffee, Uchida Coffee, Yamada Coffee, Orsir Coffee(Taiwan)","Xilate, S.A.",1585-1829 masl,Guatemala,2014,San Agustin Aguascatlan,El Progreso,"peach, lemonade tea.Body: juicy, silky, round","lemon, vanilla, dark chocolate, dark choc, pine-y","lively, juicy, green apple",,Pacamara,,71 ha,Guatemala
4,5,87.69,Santa Clara,,$13.50/lb,"$28,687.50 ","Nippon Coffee Trading Co.,Ltd for Doi Coffee",AGRISAR,1676-2134 masl,Guatemala,2014,Acatenango,Chimaltenango,"strawberry, lingering well balanced after taste, malic, earl grey, red wine, dynamic, smooth and sparkling aftertaste. Body: creamy round, bright","grape, floral, plum, red apple, butterscotch, caramel, brown sugar, black tea","balanced, citric, malic, lively","Washed , Sun",Caturra,,180 ha,Guatemala
5,6,87.47,La Joya,,$7.30/lb,"$31,733.10 ","M.I. COFFEE CO.,LTD.","Agricola Santa Calatina, S.A.",1615-1951 masl,Guatemala,2014,San Miguel Dueñas,Sacatepequez,"transparent, juicy, lingering aftertaste.Body: dense, creamy, complete","honey, jasmine, grapefruit, and honey suckle, berries","citric, mandarin, picante, refined",,Bourbón,,27 ha,Guatemala
6,7,87.22,Las Macadamias – 14,,$12.10/lb,"$26,281.20 ",Terarosa Coffee (South Korea),"Las Macadamias, S.A.",1524-2286 masl,Guatemala,2014,La Libertad,Huehuetenango,"consistent.Body: buttery, silky, round expanding","floral, caramel, choc, dense, honey, tangerine","lively, orange, fruity, kiwi",,Bourbón,,182 ha,Guatemala
7,8,87.14,Rosma – 14,,$11.35/lb,"$28,522.55 ","Kean Coffee, Willoughbys Coffee, Augies Coffeehouse, Birdrock Coffee Roasters, Klatch Coffee Roasters","Morales Mérida, Fredy Milton",1494-1829,Guatemala,2014,San Pedro Necta,Huehuetenango,"well balanced, nice aromas.Body: round, smooth, sticky, dense","chocolate, vanilla, floral, pear, plum, pineapple","vanilla, Green apple, orange",,Caturra,,13 ha,Guatemala
8,9,87.08,La Maravilla – 14,,$10.30/lb,"$27,130.20 ","Mercanta Ltd on behalf of Ozone Coffee Roasters, Rocket Coffee, Caffè Cataldi, Šviežia Kava, Kaffeespezialitaet, Boot Koffie, Murnauer Kaffeerösterei // Melbourne Coffee Merchants on behalf of Monk Bodhi Dharma, Ministry Grounds, Double Roasters and Market Lane Coffee","Rosales Vásquez, Mauricio",,Guatemala,2014,La Libertad,Huehuetenango,"delicious, black cherry.Body: dense, smooth, round","vanilla, floral, orange, cinnamon, caramel, brown sugar, green tea, very sweet, sugar cane honey","citric, orange, lively",,Bourbón,1646-1798,24 ha,Guatemala
9,10,86.97,Montecristo,,$12.10/lb,"$22,493.90 ","TOA COFFEE Co.,Ltd & ARAB COFFEE Co.,Ltd","Villatoro Gómez, Jorge Heberto",771-1219 masl,Guatemala,2014,La Libertad,Huehuetenango,"juicy, lively, balanced, cashew.Body: round","brown sugar, caramel, honey cedar, plum, blueberry, strawberry, Swiss choc","complex fruit, malic, green grape, round, dense",,Bourbón,,39 ha,Guatemala
