Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1,92.15,Mi Esperanza,,$35.10/lb,"$46,332.00 ","M.I. COFFEE CO.,LTD.",Lucinda Vasquez Romero,1573 masl,Honduras,2014,San Elena,La Paz,"very sweet, clean all the way through from start to finish, fragrant, consistent, rosehip, hibiscus","cherry, jasmine, rose petal, lavender, spicy, persimmon, floral, juicy lime, passionfruit, elegant, candied sweetness","complex fruit, tartaric, citric malic big, fresh fruits",,Villa Sarchi,10.58 ha,10.58 ha,Honduras
1,2,90.81,Moreno – 14,,$15.00/lb,"$33,660.00 ","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)",Pedro Moreno,1610 masl,Honduras,2014,Las Vegas,Santa Barbara,"lingering aftertaste, fresh, balanced, buttery, round complex","asaam tea, ripe passionfruit, oolong tea, watermelon, clover honey, floral, coconut, jasmine, complex, vanilla","juicy, mouthwatering, effervescent, tangerine, citric elegant",,Bourbón,4.9 ha,4.9 ha,Honduras
2,3,90.58,Los Pinos,,$20.10/lb,"$27,858.60 ","Maruyama Coffee, Yamada Coffee",Armando Bautista,1300 masl,Honduras,2014,Chinacla,La Paz,"fresh lime, toffee, very sweet, pleasing texture, complex","muscat grape, floral, lavender, honey, plum, peach, berry mango, hibiscus pineapple","citric, tartaric, structured",,Catuai,8.46 ha,8.46 ha,Honduras
3,4,89.88,Las Moras,,$20.40/lb,"$24,235.20 ",Wataru for NOZY COFFEE,Antonio Dominguez Gonzales,1733 masl,Honduras,2014,Masaguara,Intibuca,"tea-like, pristine finish transparent","plum, sweet herbs, mulberry, marzipan, strawberry, ripe fruits, peach, honey, candied citrus, cinnamon","malic, citric, red apple",,Catuai,3.52 ha,3.52 ha,Honduras
4,5,89.38,Pino de Oro – 14,,$15.20/lb,"$27,086.40 ","Time’s Club, Coffee Libre, Proud Mary Coffee, Equator Coffee & teas, TASHIRO COFFEE Co., Ltd., TOA COFFEE Co.,Ltd.",Oscar Edgardo Tinoco,17.5 ha,Honduras,2014,Concepción Sur,Santa Barbara,"lush, balanced, malty finish creamy","cherry, dark chocolate, red wine, black cherry, honey, cranberry, dark fruit, plum, lactic","tartaric, grape-like, lime",,Pacas,17.5 ha,,Honduras
5,6,89.23,Miraflores,,$10.70/lb,"$24,010.80 ",Single Origin Roasters,Paulo Roberto Sabillon Fernandez,1500 masl,Honduras,2014,Santa Barbara,Santa Barbara,"beautiful, crisp clean finish, velvety mouthfeel","cardamom, buttery, cherry, raspberry, cranberry, blueberry, nectarine, red fruits","tart, citric, snappy, orange, blood orange, refined",,Pacas,3.17 ha,3.17 ha,Honduras
6,7,89.15,La Patepluma,,$11.90/lb,"$16,493.40 ","Coffee Factory, NAGAHAMA COFFEE, St.Berry Coffee, KASAI COFFEE, VOILA Coffee",Franklin Adonis Madrid,1600 masl,Honduras,2014,Santa Barbara,Santa Barbara,"sweet corn, creamy body, great balance long-lasting finish, syrupy","stewed stone fruit, lime tangerine, raspberry, lavender, red peppercorn, chocolate, honey, peach, apricot","citric, tangy, complex",,Pacas,2.5 ha,2.5 ha,Honduras
7,8a,88.62,La Peña,,$10.70/lb,"$20,479.80 ",Kyokuto Fadie Corporation,Yojany Vanessa Meija Ferrera,1650 masl,Honduras,2014,Santa Barbara,Santa Barbara,"clean finish, velvety, delicate mouthfeel","red apple, lemon, lime, walnut, toasted marshmallow, passionfruit, pineapple, coconut, nectarine, caramel, red fruits","sparkling, citric, malic",,Pacas,1.76 ha,1.76 ha,Honduras
8,8b,88.62,Flor de Café – 14,,$9.50/lb,"$17,556.00 ","ALMACIELO (SOUTH KOREA), CAFE DAZAC, ROASTING HOUSE, EO-NEU-JO-EUN-NAL (ONE FINE DAY COFFEE KOREA)",Claudio Lenin Madrid,1550 masl,Honduras,2014,Santa Barbara,Santa Barbara,"exotic, juicy sweet finish, berry, creamy mouthfeel, chewy jammy","watermelon, grapefruit, passionfruit, honeydew, blackberry, caramel, apple, raspberry","bright, well-structured",,Pacas,4.23,4.23 ha,Honduras
9,10,87.88,Linda Vista,,$9.30/lb,"$12,276.00 ",Food Service Ukraine,Edwin Enrique Zavala Armijo,1550 masl,Honduras,2014,Yoro,Yoro,"creamy, silky mouthfeel, honey aftertaste","rose, lemon, graham, floral, vanilla, sweet herbs, tangerine, lychee","green apple, citric tartaric, big",,Typica,12.69 ha,12.69 ha,Honduras
10,11,87.46,Mi Paz,,$10.30/lb,"$14,275.80 ","MOMOS COFFEE, Coffee Libre, BUSAN GROUP",Olvin Esmelin Fernandez Paz,1550 masl,Honduras,2014,Santa Barbara,Santa Barbara,"creamy, pillowy, dense","papaya, vanilla tart cherry, tropical fruit, grapefruit, tangerine, honey, nougat, soft orange, cinnamon, caramel","complex, citrus, juicy",,Pacas,3.5 ha,3.5 ha,Honduras
11,12,87.27,La Montañita,,$9.10/lb,"$13,813.80 ","TASHIRO COFFEE Co.,Ltd",Jose Rumaldo Moreno Reyes,1600 masl,Honduras,2014,Las Vegas,Santa Barbara,"sugarplum, vanilla, complex, floral","apple, peach, white grape, caramel, sweet, vanilla","tartaric, grape, citric",,Pacas,1.41 ha,1.41 ha,Honduras
12,13,87,La Quebrada,,$9.10/lb,"$12,012.00 ",Orsir Coffee (Taiwan),Daniel Moreno,1540 masl,Honduras,2014,Las Vegas,Santa Barbara,"clean, round, billowy, structured, good balance, full aftertaste","orange, floral, complex aromatics, apricot, green apple, grape, caramel, red fruits","effervescent, juicy, delicate",,Catuai,3.5 ha,3.5 ha,Honduras
13,14,86.5,La Colmena – 14,,$9.35/lb,"$14,193.30 ",Campos Coffee,Angel Arturo Paz Ramirez,1700 masl,Honduras,2014,Santa Barbara,Santa Barbara,"body, great balance, viscous, clean finish, blood orange, big sweetness","pineapple, lemon, lime, pastry, chocolate, caramel, banana, orange peel, honey","refined, lemon, delicate, citric, grapefruit",,Catuai,4.2 ha,4.2 ha,Honduras
14,15,86.46,El Milagrito,,$9.20/lb,"$12,144.00 ","Wataru & Co., Ltd.",Pedro Erazo,1550 masl,Honduras,2014,Las Vegas,Santa Barbara,"sweet aftertaste, clean","cinnamon, butter, almond, chocolate, plum, cranberry, citrus, peach, brown sugar, cardamom","tartaric, mild, plum-like, citric, complex",,Pacas,1.41 ha,1.41 ha,Honduras
15,16,86.27,El Filo – 14,,$9.40/lb,"$13,648.80 ","KAFFA as, Oslo",Miguel Moreno Leiva,1550 masl,Honduras,2014,Las Vegas,Santa Barbara,"sweet finish, clean finish, good body, rich body","nuts, gingersnap, roasted nuts, vanilla, orange, lemon meringue, grape","citric, malic",,Pacas,2.45 ha,2.45 ha,Honduras
16,17,86.15,El Sauce – 14,,$9.16/lb,"$12,695.76 ",Kaffebrenneriet as,Esteban Madrid Chavez,1550 masl,Honduras,2014,Santa Barbara,Santa Barbara,"transparent, improved as cooled, nicely balanced","marzipan almonds, nuts, lemon, cherry, chestnut, caramel, apple red","malic, citric",,Pacas,20 ha,20 ha,Honduras
17,18,86.08,El Aguacate – 14,,$8.60/lb,"$12,487.20 ","Wataru & Co., Ltd.",Javier Antonio Santos Bonilla,1650 masl,Honduras,2014,Santiago Puringla,La Paz,"lactic, wet mouthfeel","dark chocolate, sweet, ripe peach, papaya, apricot, sugar cane, tamarind, red apple, citric","malic, punchy, tartaric, citric",,Catuai,7.05 ha,7.05 ha,Honduras
18,19,85.92,Cristal – 14,,$7.80/lb,"$9,266.40 ","Wataru & Co., Ltd.",Jose Esteban Madrid Millanueva,1550 masl,Honduras,2014,Santa Barbara,Santa Barbara,good balance,"cherry, mango, honey, pear, nectarine, cantaloupe, papaya, peach","delicate, tartaric, citric, multiple",,Pacas,2.45 ha,2.45 ha,Honduras
19,20,85.77,Los Agapantos – 14,,$7.50/lb,"$9,405.00 ","Wataru & Co., Ltd.",Rafael de Jesús Chinchilla,1640 masl,Honduras,2014,Valle de Ángeles,FCO Morazán,"elegant, dry fruit aftertaste","jasmine, lime zest, ginger, vanilla, peaches, mandarin, coffee blossom","complex, pineapple, lemon tartaric, citric",,Catuai,7.5 ha,7.5 ha,Honduras
20,21,85.58,La Gran Manzana,,$7.30/lb,"$10,117.80 ",honuKATOCOFFEE Inc.,Danny Gabril Moreno Leiva,1550 masl,Honduras,2014,Las Vegas,Santa Barbara,"sweet, creamy, balanced","mandarin, nougat, baking spice, butter, caramel, cherries, milk choc, honey","citric, reserved",,Catuai,3.5 ha,3.5 ha,Honduras
21,22,85.23,Integral El Cipres,,$9.40/lb,"$13,028.40 ","Wataru & Co., Ltd.",Catalino Vasquez Hernandez,1650 masl,Honduras,2014,Santiago Puringla,La Paz,"well-balanced, good structure","roasted almonds, hops, bitter chocolate, vanilla, black sugar","big chocolate, cherry juice, delicate",,Catuai,2.8 ha,2.8 ha,Honduras
22,23,85.08,El Cipres,,$7.20/lb,"$8,553.60 ",JuBean coffee,Esteban Leiva Enamorado,1400 masl,Honduras,2014,San Francisco de Ojuera,Santa Barbara,"malic - fig, pulpy","green tea, clove, cherry, plum, cinnamon, black current, floral, honey, tobacco","intense, pink grapefruit, complex",,Lempira,3.5 ha,3.5 ha,Honduras
23,1,91.19,Los Yoyos,,$23.30/lb,"$29,218.20 ","Maruyama Coffee, Yamada Coffee, Yokoi Coffee, Adachi Coffee, Saza Coffee, Nagahama Coffee, Saza Coffee",Eulogio Martinez,,Honduras,2015,Santa Bárbara,Santa Bárbara,"Rich, lush body, multi-dimensional","Orange blossom, tea rose, earl grey tea, citrus peel, peach, mandarin, red berries, spice, cinnamon, black current, cloves, vanilla, honey, lemonade","Complex, brilliant, bright, vibrant, winey acidity, rounded",,Parainema,,-,Honduras
24,2,90.81,Buena Vista,,$23.10/lb,"$32,016.60 ",TERAROSA(HAKSAN Co.Ltd),Hernán Gómez Reyes,"1,815",Honduras,2015,Masaguara,Intibuca,"Great structure and balance, very sweet and juicy","Perfume, caramel, mango, peach, winey, custard, black grapes, dates, nectarine, jasmine, white grape, spicy","Crisp, malic, tartaric",,Catuai,,-,Honduras
25,3,90.65,El Durazno,,$23.10/lb,"$36,590.40 ","UCC Ueshima Coffee Co., Ltd.",Marcelo Olvan Ventura,,Honduras,2015,Jesus de Otoro,Intibuca,"Lush body, well balanced, juicy","Red berries, caramel, cherries, red and green apple, butter, chocolate, peanuts, Reeses Peanut Butter Cup","Lively, complex",,Pacamara,,-,Honduras
26,4,90.42,El Espejo,,$10.60/lb,"$14,691.60 ",CAFFE PASCUCCI S.p.A.,Fredy Leonel Castellanos Hernandez,,Honduras,2015,Las Vegas,Santa Bárbara,"Multi-dimensional, layered, silky, sweet finish, clarity","Honey, blackberry, dried fruit, apricot, jasmine, guava, elderberry, grape, grapefruit","Complex, vibrant, juicy, sparkling",,Pacas,,-,Honduras
27,5,89.5,Moreno (2015),,$6.20/lb,"$16,777.20 ",M.I. COFFEE CORPORATION,Pedro Moreno,,Honduras,2015,Las Vegas,Santa Bárbara,"Luscious, transparent, mouthwatering, floral finish, velvet mouthfeel","Chocolate, black current, red wine, marmalade, mango, honey, cassias, cherry","Complex, lively, citric, delicate, juicy",,Pacas,,-,Honduras
28,6,89.27,El Liquidambar,,$7.80/lb,"$9,266.40 ","Almacielo, De Ballon",Maria Nery Marquez Granados,,Honduras,2015,Marcala,La Paz,"Long finish, integrated sweetness","Tea rose, mandarin, cranberry, berry, melon, tropical, sugary white grape, caramel","Juicy, bright",,Catuai,,-,Honduras
29,7,88.85,Las Moras,,$11.10/lb,"$10,989.00 ","TOA COFFEE Co.,Ltd.",Angel Daniel Rodriguez Funez,,Honduras,2015,La Paz,La Paz,"Good structure, viscous","Blackberry, chocolate, sweet lemon, strawberry jam, apricot, pineapple, cherries","Multi-fruit, juicy, nice clarity",,Catuai,,-,Honduras
30,8,88.27,Liquidambar,,$8.60/lb,"$13,054.80 ",MOMOS COFFEE,Guadalupe Rodriguez,,Honduras,2015,Masaguara,Intibuca,"Transparent and juicy, long, lingers, consistent hot to cold","Toasted almonds, honey, caramel, plum, dark chocolate, nectarine, apricot, vanilla, cinnamon","Great clarity and structure, bright",,Catuai,,-,Honduras
31,9,88.08,Las Flores,,$6.30/lb,"$11,226.60 ","Time’s Club, Tashiro Coffee (JAPAN) // Proud Mary (AUSTRALIA) // Coffee Libre (KOREA)",Maria de Jesus Lontero Montoya,,Honduras,2015,Santa Bárbara,Santa Bárbara,"Creamy body, well resolved","Tea rose, mango, peach pineapple jasmine, caramel citrus, orange marmalade, orange juice, papaya, panella, lavender","Complex, intricate, black tea",,IHCAFE 90,,-,Honduras
32,10,87.88,Mi Esperanza,,$5.10/lb,"$6,732.00 ",MOKKA SPECIALITY COFFEE,Dunia Aracely Sanchez Vasques,,Honduras,2015,Santa Elena,La Paz,"Cooled with strong florals, floral rose","Fresh citrus, lemon grass, green grape, pineapple, spice, sweet tea, minty","Malic and effervescent, green apple, citric, complex, snappy, zingy",,Pache,,-,Honduras
33,11,87.83,El Aguacate,,$5.40/lb,"$8,197.20 ",Campos Coffee,Selvin Javier Castillo,,Honduras,2015,La Paz,Comayagua,"Transparent, velvet body, strawberry ice cream, multi-dimensional","Floral, honey, toffee, stone fruit, honey waste, red apple, jasmine, winey, passion fruit, sugar cane, pineapple, tea rose","Bright, crisp, nice clean black tea",,IHCAFE 90,,-,Honduras
34,12,87.58,Mi Paz (2015),,$5.10/lb,"$6,732.00 ",Kyokuto Fadie Corporation,Olvin Esmelin Fernandez Paz,,Honduras,2015,Santa Bárbara,Santa Bárbara,"Sweet, transparent, green macha tea","Almond, sugar cane, red grape, wine, spicy, cherry, nectarine, butterscotch, chocolate, hazelnut","Juicy, champagne",,Pacas,,-,Honduras
35,13a,87.46,Santa Lucia (2015),,$7.10/lb,"$8,903.40 ",Campos Coffee,Café Azul Meambar,,Honduras,2015,Siguatepeque,Comayagua,"Thick, syrupy mouthfeel","Papaya, apricot, perfume, lavender, wild flowers, rose","Lively, tart, intricate, refined, very sophisticated, transparent",,Catuai,,-,Honduras
36,13b,87.46,El Retoño (2015),,$5.10/lb,"$6,732.00 ","Linking Coffee Co., Ltd.",Suyapa Leticia Argueta Suazo,,Honduras,2015,San Sebastian,Comayagua,"Very sweet, juicy, big mouthfeel, long aftertaste, velvet","Florals, cake, pineapple, lime dipped with honey, fruit punch, plum, peach, strawberry, mango",Lactic,,Catuai,,-,Honduras
37,15,87.33,El Nacimiento,,$5.00/lb,"$6,600.00 ",NAGAHAMA COFFEE Inc.,Job Neel Cáceres Diaz,,Honduras,2015,Santa Bárbara,Santa Bárbara,"Soft and mellow, cinnamon, custard apple, mulberries, everlasting after taste","Caramel, chocolate, cocoa, melon, creamy caramel, toffee, red apple, peach apricot, crème brule","Malic, tartaric, shiny, mandarin",,Pacas,,-,Honduras
38,16a,87.29,La Quebrada,,$5.10/lb,"$6,395.40 ","KAFFA as, Oslo",Dolmin Josue Moreno Alvarado,,Honduras,2015,Las Vegas,Santa Bárbara,"Opened up as it chilled down, long rich finish","Caramel, raspberry jam, ripe cherries, passion fruit, juicy orange, red grape","Bright, citric",,Pacas,,-,Honduras
39,16b,87.29,El Guayabo,,$6.20/lb,"$8,184.00 ","WATARU for Matsuya Coffee Bu, SHRUB",Mario Alexis Moreno Leiva,,Honduras,2015,Las Vegas,Santa Bárbara,"Juicy, very elegant and structured","Honey, sweet almond, black currant, cherries, blackberries, mango",Malic,,Pacas,,-,Honduras
40,16c,87.29,La Montañitas,,$5.10/lb,"$9,761.40 ","TASHIRO COFFEE Co.,Ltd",Evin Joel Moreno Reyes,,Honduras,2015,Las Vegas,Santa Bárbara,"Sweet peach finish, structured","Honey, spice, bakers chocolate, nectarine, floral, orange juice, black pepper, caramel, tangerine, gumdrops, green apple","Citric lime, lively, malic",,Pacas,,-,Honduras
41,19,87.17,La Colmena (2015),,$5.40/lb,"$11,048.40 ","KAFFA as, Oslo",Angel Arturo Paz Ramirez,,Honduras,2015,Santa Bárbara,Santa Bárbara,"Thick viscous body, bush honey, floral, plum, fresh tobacco finish","Peach, floral, tangerine, molasses, milk chocolate, caramel, watermelon, earl gray tea, cinnamon, melted butter, sweet rock candy","Malic, wine notes, bright and crisp",,Catuai,,-,Honduras
42,20,87.13,Los Manzanas,,$5.10/lb,"$8,078.40 ",Orsir Coffee (Taiwan),Dely Suyapa Matute Ramirez,,Honduras,2015,Masaguara,Intibuca,"Clear, clean finish, balanced","Caramel, melon, nuts, pear, black tea, honey, floral, pastry dough","Citric, malic, bright",,Catuai,,-,Honduras
43,21,86.96,La Mora (2105),,$4.70/lb,"$6,204.00 ","Wataru & Co., Ltd.",Servando Galo Rodriguez,,Honduras,2015,Santiago,La Paz,"Pleasant tart finish, dry","Mango, tropical fruit, spices, cinnamon, floral notes, chocolate, caramel, green grape, cherry, pine touch","Citric, bright, juicy, mouthwatering",,Catuai,,-,Honduras
44,22,86.92,Nueva Vision,,$4.90/lb,"$7,114.80 ","Wataru & Co., Ltd.",Juan Vitalino Perez Murillo,,Honduras,2015,Yorito,Yoro,"creamy, sweet finish","almond, chocolate, cocoa, herbs, sugar cane, vanilla, cantaloupe, watermelon, spicy, caramel",soft malic,,Catuai,,-,Honduras
45,23a,86.79,Los Pinos,,$5.00/lb,"$5,280.00 ","Almacielo, De Ballon",Juaquina Montoya Alvarado,,Honduras,2015,Masaguara,Intibuca,"Elegant body, hot chocolate/mellow, sweet lush syrupy body, buoyant","Complex citrus, lime, tangerine, mandarin orange, plums, raisin, figs, cherry, berry","Citric, bright",,Catuai,,-,Honduras
46,23b,86.79,El Matazano,,$4.70/lb,"$8,065.20 ",Kaffebrenneriet as,Roberto Rene Ventura,,Honduras,2015,Santa Elena,La Paz,"Long clear finish, transparent","Caramel, milk chocolate, orange marmalade, black tea, cocoa powder, cooked peach","Crisp, malic, bright, granny smith apple",,Catuai,,-,Honduras
47,25,86.63,La Moras,,$4.60/lb,"$6,982.80 ",MOMOS COFFEE,Antonio Dominguez Gonzales,,Honduras,2015,Masaguara,Intibuca,"Well structured, delicate, mandarin, transparent","Vanilla, peach, pear, fresh bamboo, passion fruit, caramel, pineapple, strawberry, berry","Great acidity, brilliant, bright and articulate",,Catuai,,-,Honduras
48,26,86.54,Azabache,,$4.60/lb,"$6,072.00 ","NAGAHAMA COFFEE, COFFEE FACTORY, COFFEE ROAST, MAGNOLIA COFFEE ROASTERS, ISHII Corporation",Miguel Alonzo Muñoz,,Honduras,2015,Danli,El Paraiso,"Herbal, multi-dimensional","Mango, peach, jasmine, sugar cane, black tea, perfume notes, rose tea",Juicy,,Lempira,,-,Honduras
