Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1a,93.0,Finca Santa Cruz,330.69,$92.00,"$30,423.48","Fisher coffee 啡舍 /青岛李想珈 /东方国际商业（集团）有限公司/CoffeeBuff/SHANGHAI CARMO TRADING CO. ,LTD(珈露梦咖啡) / trunk coffee / T.O精品咖啡 / Low-profile International Green Bean Trade Bargaining Association / +trunk coffee",Cruz Jose Argüello Enriquez,1700,México,2022,,,"Good balance, so clean，huge taste, lively, jasmine, peach, raspberry, maple, brown sugar, lemon lime, tasty","Jasmine , Bergamot , Floral , Passion Fruit , Cherry , Orange , Black Tea , Butter , Elegant , Milk Chocolate , Peach , Perfume , Strawberry , White Grape , Apple mango, Apricot, Black Cherry, Blueberry, Butterscotch candy, Casisu, Citrus, Cocoa, Complex, Cotton candy, Elder flower, Marshmallow, Melon, Papaya, Pear, Pineapple, Soda candy, Sparkling, Sugar cane, Suger honey, Super complexed, Sweet pineapple","Citric Acid , Malic Acid , Apple, Bright",Natural,Gesha,,250.0,México
1,1b,93.0,Finca Santa Cruz,264.55,$90.10,"$23,835.96","ACCIO BEANS COFFEE, Cut Hand Group (剁手咖啡群) & Encore Coffee（云南谙客咖啡), Kinglo Coffee (轻乐咖), mute roaster (macau), 田珈琲",Cruz Jose Argüello Enriquez,1700,México,2022,,,"Good balance, so clean，huge taste, lively, jasmine, peach, raspberry, maple, brown sugar, lemon lime, tasty","Jasmine , Bergamot , Floral , Passion Fruit , Cherry , Orange , Black Tea , Butter , Elegant , Milk Chocolate , Peach , Perfume , Strawberry , White Grape , Apple mango, Apricot, Black Cherry, Blueberry, Butterscotch candy, Casisu, Citrus, Cocoa, Complex, Cotton candy, Elder flower, Marshmallow, Melon, Papaya, Pear, Pineapple, Soda candy, Sparkling, Sugar cane, Suger honey, Super complexed, Sweet pineapple","Citric Acid , Malic Acid , Apple, Bright",Natural,Gesha,,250.0,México
2,2a,91.4,Finca el Izote,264.55,$60.30,"$15,952.37",Boqueron Coffee 火萨 for M1咖啡奇幻工场 M1 Coffee Dream Factory,Carlos Hugo Loeza Sánchez,1475,México,2022,,,"Dimentional flavor, super sweet, brown sugar, all attributes structured working together","Honey , Floral , Peach , Apricot , Rose , Tropical Fruit , Apple, Bergamot, BIG Green Apple, Black Cherry, Black Currant, Black Tea, Brown Sugar, Candied yam, Cantaloupe, Cashewnut, Cherry, Chocolate,Cinnamon, Cocoa Powder, Cranberry, Dark red apple, Earlgrey, Fig jam, Maple Syrup, Marmalade, Marshmallow, Milk Chocolate, Mint, Mixed spices, Molasses, Perfume, Pomegranate, Red Apple, Roasted Hazelnut, Strawberry, Sugarcane, Sweet, Sweet pineapple,","Citric Acid , Malic Acid , Apple, Bright, Complex acidity, Delicate, Structured",Washed,Marsellesa & Gesha,,4.0,México
3,2b,91.4,Finca el Izote,264.55,$60.60,"$16,031.73",ONYX COFFEE LAB,Carlos Hugo Loeza Sánchez,1475,México,2022,,,"Dimentional flavor, super sweet, brown sugar, all attributes structured working together","Honey , Floral , Peach , Apricot , Rose , Tropical Fruit , Apple, Bergamot, BIG Green Apple, Black Cherry, Black Currant, Black Tea, Brown Sugar, Candied yam, Cantaloupe, Cashewnut, Cherry, Chocolate,Cinnamon, Cocoa Powder, Cranberry, Dark red apple, Earlgrey, Fig jam, Maple Syrup, Marmalade, Marshmallow, Milk Chocolate, Mint, Mixed spices, Molasses, Perfume, Pomegranate, Red Apple, Roasted Hazelnut, Strawberry, Sugarcane, Sweet, Sweet pineapple,","Citric Acid , Malic Acid , Apple, Bright, Complex acidity, Delicate, Structured",Washed,Marsellesa & Gesha,,4.0,México
4,3a,91.37,El Rio,264.55,$43.20,"$11,428.56",Orsir Coffee,Gema Magali Posadas Manzano,1200,México,2022,,,"Fresh, Overall Sweet, Tropical Fruit, Brilliant, lively, sweet, brown sugar","Raspberry ,Cherry, Cognac, Cranberry, Dark Chocolate, Durazno, Ez melon, Floral, Grape, Green Tea, Heavy mixed berries, Hibiscus, Honey, Honeydew, Hops, Lemon honey tea, Liquare, Lychee, Mandarin Orange, Molasses, Orange, Orange peel, Peach, Prune, Raspberry framboise, Red cherry, Red current, Red Grape, Rose, Spices, Spicy, Strawberry, Vanilla, Winey","Citric Acid , Malic Acid , Complex , Bright,Lively, Malic, Sparkling, Tatarlic",Washed,Marsellesa & Typica,,3.0,México
5,3b,91.37,El Rio,264.55,$43.20,"$11,428.56",GONGGAM,Gema Magali Posadas Manzano,1200,México,2022,,,"Fresh, Overall Sweet, Tropical Fruit, Brilliant, lively, sweet, brown sugar","Raspberry ,Cherry, Cognac, Cranberry, Dark Chocolate, Durazno, Ez melon, Floral, Grape, Green Tea, Heavy mixed berries, Hibiscus, Honey, Honeydew, Hops, Lemon honey tea, Liquare, Lychee, Mandarin Orange, Molasses, Orange, Orange peel, Peach, Prune, Raspberry framboise, Red cherry, Red current, Red Grape, Rose, Spices, Spicy, Strawberry, Vanilla, Winey","Citric Acid , Malic Acid , Complex , Bright,Lively, Malic, Sparkling, Tatarlic",Washed,Marsellesa & Typica,,3.0,México
6,4,91.13,Geisha,2248.71,$40.70,"$91,522.50",意可坊咖啡 for 啟程拓殖 TerraformCoffee/ Fisher Coffee/ Gee Coffee/ 有容乃大 SmallArmsBigHeart/ 芦田家中岛英男/ Taster’s Coffee/ 丢丢小忙/ 咖乐乐KOLAKOLA COFFEE,Silvia Carolina Herrera Hernandez,1535,México,2022,,,"Elegant, Jucy, Overall Sweet, Tropical Fruit","Cherry , Floral , Jasmine , Caramel , Honeydew , Apple , Bergamot , Black Tea , Honey , Orange , Peach , Syrupy , Apricot, Black Cherry, Blueberry, Butter, Cacao Nibs, Cantaloupe, Caramelized pineapple, Casisu, Cinnamon, Concord Grape, Nougat, Papaya, Passion Fruit, Pear, Raspberry, Red fruits, Roasted Hazelnut, Strawberry, Sugarcane,White peach","Citric Acid , Malic Acid , Approachable, Bright, Citrus, Floral, Structured",Natural,Gesha,,6.0,México
7,5,90.37,Finca Sinai,1058.22,$24.10,"$25,503.10",Kyokuto Fadie Corporation,Diego Manuel Woolrich Ramirez,1600,México,2022,,,"Elegant, Fruity, Overall Sweet, Delicate attributes working together","Orange ,Florar , Watermelon , Caramel , Honey , Lime , Milk Chocolate , Orange Blossom , Pear , Stone Fruit , Sweet spice , Bakers Chocolate, Bergamot, Berry, Black Cherry, Candied jam, Cardamon, Green Tea, Hazelnut, Honeysuckle, Lemongrass, Lychee, Mango, Maple Syrup, Milk, Peach, Pine, Plum, Rose, Sugarcane, Sweet & Sugary, Rose Tea","Malic Acid , Citric Acid , Citrus, Clean, Velvety",Washed,Gesha,,120.0,México
8,6,89.63,Finca Huehuetepan,462.97,$27.10,"$12,546.49",Decameron coffee,Maria Del Rosario Irais Valdivia Ortiz,1350,México,2022,,,"Complex, Diferent, Juicy, Exotic","Black Tea , Blueberry , Cacao Nibs , Rum , Black Cherry , Blackberry , Dark Chocolate , Grape Cinnamon, Citrus, Clove, Coco sugar, Concord Grape, Dark dark red apple, Dried Fig, Dried Fruit, Guava, Jackfruit, Leathery, Lychee, Mango, Mascut,Molasses Syrup, Orange, Orange peel, Prune, Raisin, Red Apple, Red fruit, Red wine, Ripe kiwi, Riped guava, Rose","Malic Acid , Tartaric , Citric Acid , Juicy , Acetic Acid",Natural,Typica,,23.0,México
9,7,89.53,Cafetal el Equimite,595.25,$30.20,"$17,976.55","L’escargot d’or cosmetocafe, Studio Caffeine, Sky Top Coffee, Noble Coffee",Gibran Leonardo Cervantes Covarrubias,1300,México,2022,,,"Heavy, Overall Sweet, Syrupy, Sparkling sweet, pleasant, delicately strawberry notes","Black Tea , Red Apple , Cherry , Cinnamon , Almond butter, Apricot, Black Cherry, Brown Sugar, Butter, Cacao Nibs, Caramel, Caramelized, Citrus Fruit, Dried Dates, Dried Fruit, Floral, Green Tea, Hibiscus, Jasmine, Kiwi, Lemon, Lemongrass, Mandarin Orange, Melting caramel, Menthol, Pecan, Pineapple, Rose Hips, Rosted tea, Sugarcane, Super sweet, Tropical Fruit, Vanilla, Walnut, White peach","Citric Acid , Malic Acid , Bright , Sparkling",Natural,Gesha,,32.0,México
