Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1,92.43,Las Golondrinas,,$22.40/lb,"$48,889.12","Busan Group – Momos Coffee, In Earth Coffee, Coffee Gongjang, People n Talk",Rodrigo Peralta Paguaga,1600 masl,Nicaragua,2012,Mozonte,Nueva Segovia,"super clean and sweet, complete, balanced","AROMA: floral, orange, coffee blossom, butter, caramel,FLAVOR: spices, sweet lime, nutmeg, tangerine, pineapple, cherry, sugar cane, honey",distinctly tartaric,"Washed, Sun",Caturra,38 ha,167 ha,Nicaragua
1,2,90.4,La Divina Providencia,,$15.00/lb,"$35,714.85","Maruyama Coffee, Cafe Maple (Japan) and Orsir Coffee (Taiwan)",Misael Sauceda Olivera,1300,Nicaragua,2012,Dipilto-Las Manos,Nueva Segovia,"floral finish, round body, very clean","AROMA: mandarin, clove, pineapple, vanilla, apricot, rose,FLAVOR: honeycomb, milk chocolate, red apple, vanilla, sweet citrus",citric and malic,Washed,Maragogype,8.39,8.39,Nicaragua
2,3,90.2,El Farallón/ El Naranjo,,$10.00/lb,"$23,809.90",TERAROSA(HAKSAN Co.Ltd),Rómulo Victor Paguaga Lanzas/ Pedro Pablo Paguaga Nuñez,1300,Nicaragua,2012,Dipilto-La Laguna,Nueva Segovia,"very sweet, delicate, crystal clean, full and creamy mouthfeel","AROMA: jasmine, peach, honey, almond, coriander,FLAVOR: black tea, apricot, nougat","delicate, lime, green grape","Washed, Sun",Caturra,2.1,2.1,Nicaragua
3,4,89.97,La Marcela,,$8.60/lb,"$19,907.71",Time’s Club for C-COOP. Your Coffee (Japan) Coffee Libre (South Korea),Mario Martin Lovo Sotomayor,1100,Nicaragua,2012,Macuelizo-Brujil,Nueva Segovia,"silky mouthfeel, sweet and clean, short finish","AROMA: melon, raisins,FLAVOR: mango, tropical fruits, tobacco leaf, tamarind, honeydew melon, vanilla",mild citric,"Washed, Sun",Maracaturra,27.96,34.94,Nicaragua
4,5,89.93,La Carolina,,$7.70/lb,"$20,370.74",Mayorga Coffee,Andrés Figueroa Lópes,1318,Nicaragua,2012,Dipilto-Las Nubes,Nueva Segovia,"creamy lingering aftertaste, balanced, full bodied","AROMA: floral, tropical fruits, cocoa, melon, lemon, raisins,FLAVOR: tropical fruits, herbal, bergamot, molasses, cinnamon, melon","citric, lemon, grapefruit",Washed,Maragogype,10.48,11.18,Nicaragua
5,6,89.67,El Recodo,,$6.81/lb,"$16,214.54","Tashiro Coffee Co.,Ltd",Manuel Raúl Gonzáles Gonzáles,1230,Nicaragua,2012,Macuelizo-Suyatal,Nueva Segovia,"very consistent, sweet lingering finish","AROMA: lemon zest, mace, jasmine, hazelnut, corn syrup, maple,FLAVOR: sour cherry, caramel, molasses, peach, butter",moderate grape citric,Washed,Bourbón Caturra Maragogype,6.99,6.99,Nicaragua
6,7,89.57,Santa Elena,,$6.78/lb,"$16,591.54",Mocoway Specialty Coffee (China),Santos Filomena Grádiz Amaya,1200,Nicaragua,2012,Dipilto-El Volcán,Nueva Segovia,"extra sweet, clean, long finish, balanced, caramel","AROMA: strawberry, peach, fresh cut chives, clove, ginger,FLAVOR: red grapes, plum, raisins, lime, mandarin","citric, plum-like, complex fruit acidity, lively","Washed, Sun",Maracaturra,4.89,4.89,Nicaragua
7,8,88.83,Ojo De Agua,,$6.70/lb,"$16,395.77","ECOM Japan Limited for Bontain Coffee, VOILA Coffee, NOZY COFFEE, Ocami Coffee Roasters, Kasai Coffee",Luis Emilio Valladarez,1600 masl,Nicaragua,2012,Dipilto-Los Mares,Nueva Segovia,"balanced, clean","AROMA: caramelized butter, red berries, floral, baked apple,FLAVOR: macadamia nut, chocolate, molasses, plum, caramel, brown sugar, panela, red apple","crisp, mild citric","Washed, Sun",Maracaturra,15 ha,20 ha,Nicaragua
8,9,88.53,San Francisco/ El Ayote,,$6.41/lb,"$16,957.98","Wataru & Co., Ltd.",Fausto Alberto Averruz Ponce/Fausto Alberto Averrauz González,1250,Nicaragua,2012,Macuelizo-Suyatal,Nueva Segovia,medium body,"AROMA: honey, cherry, almond, molasses, dark chocolate, jammy,FLAVOR: dried fruit, passion fruit, pomelo, dark chocolate, raisin, brown sugar","distinctly citric, tartaric",Washed,Maragogype,8.39,8.39,Nicaragua
9,10,88.13,Casa Blanca,,$7.92/lb,"$18,857.44",Kyokuto Fadie Corporation,Sergio Noé Ortez Ortez,1300,Nicaragua,2012,Dipilto-Los Planes,Nueva Segovia,long aftertaste,"AROMA: jasmine, chocolate, black cherry, spice, cinnamon, dark fruits ,FLAVOR: ripe fruits, pineapple, peach, black tea, passion fruit, sweet tobacco, sugar cane sweetness",tartaric,"Washed, Sun",Pacamara,41.93,63.6,Nicaragua
