Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1A,92.25,La Flor 2017 – {ORG},,$100.09/lb,"$37,512.73","Maruyama Coffee, Campos Coffee, TOA Coffee, Sarutahiko Coffee",Juan Heredia Sanchez,1800,Perú,2017,Jaén,Cajamarca,"Silky body, creamy, lingering sweetness, balanced, juicy, persimmon, mouthcoating, emotional coffee, harmonious, multidimensional.","Green apple, pineapple, pear, rose, tropical fruit, strawberry, raspberry, dried fruits, orange candy, kumquat, apricot, melon, fig, sweet cheesecake, red jelly, improved on cool.","Complex, sparkling, orange, acidity, intense, 8+ elegant, apple cider, star fruit.",Washed,Caturra Bourbón,,-,Perú
1,1B,92.25,La Flor 2017 – {ORG},,$100.10/lb,"$33,102.07","Time’s Club, Coffee Libre, Tashiro Coffee, Cafe Verde (Peru)",Juan Heredia Sanchez,1800,Perú,2017,Jaén,Cajamarca,"Silky body, creamy, lingering sweetness, balanced, juicy, persimmon, mouthcoating, emotional coffee, harmonious, multidimensional.","Green apple, pineapple, pear, rose, tropical fruit, strawberry, raspberry, dried fruits, orange candy, kumquat, apricot, melon, fig, sweet cheesecake, red jelly, improved on cool.","Complex, sparkling, orange, acidity, intense, 8+ elegant, apple cider, star fruit",Washed,Caturra Bourbón,,-,Perú
2,2A,90.61,El Cerro 2017 – {ORG},,$51.40/lb,"$19,264.21","MadCap, George Howell Coffee, Intelligentsia, Single O, Terarosa, Maruyama",Efrain Carhuallocllo Salvador,1900,Perú,2017,San Ignacio,Cajamarca,"Marmalade, dense, compact, honey sweet, smooth mouthfeel, harmonious, integrated, spiced, character.","Red fruit, candied, plums, mandarin, floral, coffee flower, dates, berry jam, complex, swiss choc, vanilla, yellow apple, crystalline, berry jam.","Citric, malic, bright, crisp, juicy, syrupy, sparkling, silky, peach.",Washed,Caturra,,-,Perú
3,2B,90.61,El Cerro 2017 – {ORG},,$50.30/lb,"$16,633.71",Kyokuto Fadie Corporation,Efrain Carhuallocllo Salvador,1900,Perú,2017,San Ignacio,Cajamarca,"Marmalade, dense, compact, honey sweet, smooth mouthfeel, harmonious, integrated, spiced, character.","Red fruit, candied, plums, mandarin, floral, coffee flower, dates, berry jam, complex, swiss choc, vanilla, yellow apple, crystalline, berry jam.","Citric, malic, bright, crisp, juicy, syrupy, sparkling, silky, peach.",Washed,Caturra,,-,Perú
4,3A,90.48,San Pedro – El Shimir 2017 -…,,$35.20/lb,"$13,968.42",MATSUMOTO COFFEE,Fredy Bermeo Guevara,1800,Perú,2017,San Ignacio,Cajamarca,"Silky, transparent, lemon peel, buttery, velvety, juicy, orange, orange, candy, lemon juice, round body, caramel.","Peach, vanilla, red fruits, cola, cherry coke, grape, white wine, fig, dark chocolate, red wine, Muscat, strawberry, stewed fruit, lychee, peach, nectarine, pineapple, black currant.","Lime, malic, crisp, sweet acidity, bright.",Washed,Caturra Bourbón,,-,Perú
5,3B,90.48,San Pedro – El Shimir 2017 -…,,$35.20/lb,"$12,416.45",Caffe’ Pascucci Torrefazione S.P.A.,Fredy Bermeo Guevara,1800,Perú,2017,San Ignacio,Cajamarca,"Silky, transparent, lemon peel, buttery, velvety, juicy, orange, orange, candy, lemon juice, round body, caramel.","Peach, vanilla, red fruits, cola, cherry coke, grape, white wine, fig, dark chocolate, red wine, Muscat, strawberry, stewed fruit, lychee, peach, nectarine, pineapple, black currant.","Lime, malic, crisp, sweet acidity, bright.",Washed,Caturra Bourbón,,-,Perú
6,4A,90.41,San Antonio 2017,,$18.70/lb,"$7,297.11",MOMOS COFFEE,Marco Antonio Montes Damiano,1500,Perú,2017,Chanchamayo,Junin,"Green tea, first flush bergamot, elegant, exotic, multidimensional.","Sweet lime, vanilla, wildflower honey, rose, jasmine, bergamot, floral, white grape, lime blossom, blueberry, chamomile, verbena, peach, plum rose tea, coffee blossom, passionfruit.","Tartaric, crisp, complex, refreshing, white grape.",Washed,Gesha,,-,Perú
7,4B,90.41,San Antonio 2017,,$19.09/lb,"$6,312.87","Orsir Coffee Co., Ltd.",Marco Antonio Montes Damiano,1500,Perú,2017,Chanchamayo,Junin,"Green tea, first flush bergamot, elegant, exotic, multidimensional.","Sweet lime, vanilla, wildflower honey, rose, jasmine, bergamot, floral, white grape, lime blossom, blueberry, chamomile, verbena, peach, plum rose tea, coffee blossom, passionfruit.","Tartaric, crisp, complex, refreshing, white grape.",Washed,Gesha,,-,Perú
8,5A,90.11,Las Orquideas 2017 – {ORG},,$18.20/lb,"$7,342.79","UCC Ueshima Coffee Co., Ltd.",Tito Huamán Salon,1950,Perú,2017,Chachapoyas,Amazonas,"Juicy, consistent, centered, brown sugar, well structured.","Umami, passionfruit, sweet pepper, raisin, golden raisin, chili sweet Peru, tropical fruit, vanilla, honey, refined, cherry, guava, wildflower, blueberry and blackberry, white grape, physalis, orange tart.","Malic, tartic, winey, complex, sparkling, effervescent, snappy.",Washed,Caturra,,-,Perú
9,5B,90.11,Las Orquideas 2017 – {ORG},,$18.13/lb,"$7,194.53",Ascension Coffee Roasters,Tito Huamán Salon,1950,Perú,2017,Chachapoyas,Amazonas,"Juicy, consistent, centered, brown sugar, well structured.","Umami, passionfruit, sweet pepper, raisin, golden raisin, chili sweet Peru, tropical fruit, vanilla, honey, refined, cherry, guava, wildflower, blueberry and blackberry, white grape, physalis, orange tart.","Malic, tartic, winey, complex, sparkling, effervescent, snappy.",Washed,Caturra,,-,Perú
10,6,89.77,Finca Ecológica Agua Colorada…,,$49.60/lb,"$37,178.67","Café Imports, Namusairo Coffee, Roast House Coffee, & Passenger Coffee.",Filadelpo Córdova Mejia,1850,Perú,2017,Jaén,Cajamarca,"Deep body, balanced, very, very sweet!!, aromatic, mint, anise, lemon verbana, elegant, fine.","Floral, peach, blackberry, vanilla, jasmine, Meyer lemon, strawberry, rose tea, apricot, raisin, nashy, clean, mandarin, peach, effervescent, honey, coconut, toffee.","Lime, sparkling, bright, tartaric, complex, elegant.",Washed,Caturra,,-,Perú
11,7,89.27,Mandor 2017 – {ORG},,$17.30/lb,"$9,687.48",Campos Coffee,Gerardo Quispe Carrasco,2150,Perú,2017,La Covencion,Cusco,"Silkly texture, perfumed, red grape, balanced, melon, hefty body, balanced and consistent, salko, Amazonas.","Jasmine, peach, green grape, orange cherry, blackberry, red wine, black pepper, maple syrup, fig, fresh tobacco, vanilla, tamarind, red apple, honey crisp, flowery.","Complex, phosphoric, tartaric, tangy, malic, citric.",Washed,Bourbón Typica,,-,Perú
12,8,88.7,Oropesa 2017,,$12.10/lb,"$9,683.39",Coffee Supreme,Cruz Rodriguez Ortiz,1665,Perú,2017,Satipo,Junin,"Balanced, complex, creamy, silken, consistent, cherry, cocoa, bittersweet choc, lime.","Peach, blackberry, cranberry, papaya, red grape, orange and honey, pear, apple and cocoa, blackcurrant, rhubarb, cherry, orange peel, lychee.","Citric, tartaric, malic, crisp, bright, viscous.",Washed,Caturra,,-,Perú
13,9,88.68,Kukipata 2017 – {ORG},,$10.89/lb,"$7,130.55",Terarosa (Haksan Co.Ltd),Cristobal Palomino Castro,2100,Perú,2017,La Convencion,Cusco,"Clear, crystal, consistent, balanced, milky sweet.","Mandarin, cocoa, honey, winy, juicy, rosehip, peach, plumb, vanilla, macadamia, toffee, gum drops, sugar cane, hazelnut.","Citric, phosphoric, orange, kiwi, refined, structured, sugar sweet, rich, round acidity, mouthfeel.",Washed,Typica Bourbón,,-,Perú
14,10,88.52,Palmachayucc 2017 – {ORG},,$14.01/lb,"$10,038.31",Caravela Coffee,Américo Palomino Alanya,2100,Perú,2017,La Convencion,Cusco,"Improved on cool, syrupy mouthfeel, passionfruit, pineapple, Naranja.","Vanilla, honey, blackberry, melon, jasmine, mandarin, orange, poached pear, rhubarb, loganberry, lychee, nectar, plum.","Citric, tartaric, red currant, malic, fresh.",Washed,Typica Bourbón,,-,Perú
15,11,87.43,El Roble 2017,,$10.40/lb,"$7,566.31","Tashiro Coffee Co., Ltd",Mario Jesús Rufasto Zulueta,2200,Perú,2017,Chota,Cajamarca,"Complex, crystal clear.","Floral, blackberry, pear, papaya, mandarine, blackcurrant, toffee, muscovado, caramel, chamomile, apple, peach, pineapple.","Fine, crispy, sparkling, citric, consistent.",Washed,Caturra Pache,,-,Perú
16,12,87.3,Vista Hermosa 2017 – {FTO/RAO},,$13.10/lb,"$7,220.20",Kyokuto Fadie Corporation,Alfonso Tejada Iberico,1820,Perú,2017,Rodriguez De Mendoza,Amazonas,"Silky mouthfeel, transparent, juicy, delicate, crisp.","Jasmine, Muscat, black currant, red grape, red apple, apricot, peach, plumbs, cacao.","Tartaric, tartaric, bright, juicy refreshing, phosphoric.",Washed,Typica Caturra,,-,Perú
17,13,87.27,Don Juan 2017,,$9.00/lb,"$7,539.84","Wataru & Co., Ltd.",Juan Manuel Diaz Muñoz,1800,Perú,2017,Jaén,Cajamarca,"Smooth mouthfeel, caramel, buttery, creamy body, anise, perfumed.","Vanilla, floral, chocolate, mandarin, cinnamon, black currant, pomegranate, caramel, complete, panela, pear, coconut, cocoa butter, passion fruit, lime tart, tea like finish, permission, naranjia, perfumed aromatics.","Tartaric, malic.",Washed,Caturra Bourbón,,-,Perú
18,14,87.18,La Palma 2017 – {ORG},,$16.30/lb,"$11,499.32",Kyokuto Fadie Corporation,Charles Marlon Arbildo Parra,1900,Perú,2017,San Ignacio,Cajamarca,"Juicy, dense body, balanced, crispy, creamy.","Apple, cranberry, chocolate yes, milk chocolate, apple, molasses, honey, plumb, florals, sugarcane sweet.","Apple, cranberry, chocolate yes, milk chocolate, apple, molasses, honey, plumb, florals, sugarcane sweet.",Washed,Caturra Pache,,-,Perú
19,15,87.09,Las Pircas 2017,,$9.30/lb,"$6,684.00","Wataru & Co., Ltd.",Nerio Collantes Herrera,1673,Perú,2017,Moyobamba,San Martin,"Awesome, rich mouthfeel, brown sugar, well balanced.","Raspberry, pomegranate, plumb, red fruits, passionfruit, green apple, blueberry, malt, Mandarin.","Citric acid, malic, refreshing acidity, refined.",Washed,Caturra Pache,,-,Perú
20,16,86.55,El Shimir 2017 – {RAO},,$10.10/lb,"$7,125.35",UCC Coffee UK,Marvin Charles Ramos Chinc,1550,Perú,2017,San Ignacio,Cajamarca,"Complex, balanced, strong body.","Black cherry, Muscat, dark chocolate, caramel, peach, lemon, green apple, green grape, milk chocolate.","Crisp, mandarin, citric, malic, refreshing.",Washed,Caturra Bourbón,,-,Perú
21,17,86.34,Santa Sofia 2017,,$12.30/lb,"$11,009.48","WATARU FOR St.berry Coffee, Marumi Coffee, COFFEE FACTORY, AMAMERIA ESPRESSO, Philocoffea",Eluterio Bolaños Torrecillas,1800,Perú,2017,Satipo,Junin,"Well balanced, smooth mouthfeel.","Red currants, red apple, sweet orange, black currant, chocolate, cocoa, mandarines, blackberries, caramel, granny smith apple.","Crisp, citric, complex, fine.",Washed,Caturra,,-,Perú
22,18,86.16,Monte Rey 2017,,$9.00/lb,"$17,559.90",UCC Coffee UK,Felix Cachay Cueva,1750,Perú,2017,Chanchamayo,Junin,,"Blueberry, pomegranate, red grape, mandarin, black current passionfruit, Cedro, papaya, sweetest obacco, maple syrup.",,Washed,Caturra,,-,Perú
23,19,86.0,Finca Rojas 2017,,$9.90/lb,"$8,621.22","Wataru & Co., Ltd.",Saúl Rojas Malpartida,1550,Perú,2017,Satipo,Junin,,"Apple, grape, hard candy, cinnamon, licorice, port wine, strawberry cheesecake.",,Natural,Red Yellow Caturra,,-,Perú
24,1a,91.08,Dwigth Aguilkar Masias,,$45.10/lb,"$19,388.49","Maruyama Coffee, Sarutahiko Coffee, Thoth Coffee, GoodBoyBob Coffee (USA)",Dwigth Aguilar Masias,1820 m.a.s.l.,Perú,2018,Cusco,,"peach, juicy, jammy, syrupy, peach","raspberry, pomegranate, stewed fruit, peaches, apple, almond, ginger, lemon, grapefruit, caramel, graham cracker,","citrus, malic, moderate, balanced, subtle, well balanced, tartaric",Washed,Gesha,,,Perú
25,1b,91.08,Dwigth Aguilkar Masias,,$45.10/lb,"$17,897.03",Taf Coffee,Dwigth Aguilar Masias,1820 m.a.s.l.,Perú,2018,Cusco,,"peach, juicy, jammy, syrupy, peach","raspberry, pomegranate, stewed fruit, peaches, apple, almond, ginger, lemon, grapefruit, caramel, graham cracker,","citrus, malic, moderate, balanced, subtle, well balanced, tartaric",Washed,Gesha,,,Perú
26,2,89.85,Damian Espinoza Garcia,,$20.30/lb,"$17,552.40",Kyokuto Fadie Corporation,Damian Espinoza Garcia,1900 m.a.s.l,Perú,2018,,Cajamarca,"syrupy, polarizing, controversial, ","peach, white choc, vanilla, hibiscus, molasses, rum raisin, hazelnut, cinnamon, apple, pomegranate, deep dark fruit, peach, black cherry, blood orange, papaya,","tartaric, white grape, ",Washed,Yellow Caturra,,,Perú
27,3,89.58,Franklin Chinguel Morales,,$21.10/lb,"$18,420.93",Campos Coffee,Franklin Chinguel Morales,1850 m.a.s.l.,Perú,2018,,Cajamarca,"rose, floral, chocolate milk, creamy, complex sugars, toffee, pear, cherry cola, bergamot,","molasses, floral and spice, chamomile, rose, lemon, spicy, chai, lychee, raspberry, red currant, green tea, jasmine, lime, strawberry, sweet spice, ","very complex, citric, sparkling, full mouth coating, ",Washed,Bourbón,,,Perú
28,4,89.43,Florencia Mamani Calcina,,$21.10/lb,"$18,374.51","COFFEE COUNTY / NOZY COFFEE CO.,Ltd,  / Taniguchi Coffee, / NAGAHAMA COFFEE .Inc. / Huracan Coffee",Florencia Mamani Calcina,"1909 m,a.s.l.",Perú,2018,,Cajamarca,"spicy, tamarind, well rounded, clove, ","blueberry and honey, chocolatey, vicious, blackberry, rose and plum, green apple, orange and watermelon, caramel, ","citric, sweet, sparkling and lively, bright, ",Washed,Bourbón Red Caturra,,,Perú
29,5,89.28,Eleuterio Bolaños Torrecillas,,$9.50/lb,"$7,539.77","Dutch Barista Coffee Company, Single O",Eleuterio Bolaños Torrecillas,"1700m,a.s.l.",Perú,2018,,Junín,"creamy, syrupy, balanced, honey, ginger, ","black forest cake, apricot, pineapple, candied, condensed milk, stewed fruit, lime, melon, almond, walnut, ","citric, lemon-lime, crisp, mild, ",Washed,Bourbón Caturra,,,Perú
30,6,89.2,Roxana Rangel Granda,,$9.30/lb,"$7,114.50","MOMOS COFFEE, BLACKUP COFFEE, IN EARTH COFFEE, MAVIS COFFEE, VUENUS COFFEE",Roxana Rangel Granda,1850 m.a.s.l.,Perú,2018,,Cajamarca,"white wine, complex, pronounced, lemon, lavender, chamomile, lime custard,","black currant, chocolate, jasmine, passionfruit, molasses, red apple,. Cardamom, orange blossom, rose, jasmine, popurri, very floral, ","citric, white grape, tartaric, ",Washed,Mundo Novo,,,Perú
