Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
0,1,92.07,Buremera Mig,,$18.00/lb,"$52,381.83",Solberg & Hansen AS,Uwimana Rose,-1,Rwanda,2008,Huye,South,,"Aroma  wild honey (10), fruit candy (6), caramel (6), sweet vanilla (6), jasmine (5), orange (3), floral (7), cherry (5), cane sugar (3), toffee (4), lemon (5). Flavor  cane sugar (11), green orange (9), peach(10), green apple (5), caramel (5), white peach (7), orange blossom (4), myer lemon (3), sweet lemon (4), grapes (6). Mouthfeel  syrupy (19), long finish (15), buttery (9), juicy (7), creamy (4), delicate (3).","complex (17), very sweet (16), clean (16), well balanced (14), tartaric (8), sparkling (4). Massively sweet, graceful","Rw, a fully washed Arabica",Bourbón,-1.0,-1,Rwanda
1,2,90.84,Fakco-Rulindo,,$16.05/lb,"$38,214.93","Maruyama Coffee for Mikatajuku Group, Itoya Coffee, Orsir Coffee",Nsengumuremyi Jean,-1,Rwanda,2008,Rulindo,North,,"Aroma- sweet citric (12), jasmine (12), floral (12), orange blossom (4), apricot (6), peach (4), winey note, spicy. Flavor- black fruit (17), black currant (10), bergamot (9), mandarin (3), apricot (3), raisin (2), black plum (7), black berry (8), caramel (3), coffee fruit, jammy, strawberry(3), black tea (6), cedar, peach (8). Mouthfeel  juicy (14), creamy (7), buttery, heavy (6), good clarity(5), cooled well.","well balanced (19), complex fruit (20), elegant (9), transparent (7), refined (4). Cooled well (11)","Rw, a fully washed Arabica",Bourbón,-1.0,-1,Rwanda
2,3,89.41,Buremera Mig,,$8.02/lb,"$21,217.29","Mercanta – The Coffee Hunters for Origin Coffee Roasting Cc South Africa, Has Bean Coffee UK, Sviezia Kava Lithuania, Cafes El Magnifico Barcelona Spain, James Gourmet UK, La Boheme Café Czech Republic, Twoday Roasters UK and Seven Seeds Melbourne Austra",Nzirorera Lanouard,-1,Rwanda,2008,Huye,South,,"Aroma- sweet cream (11), honey (4), malty (5), stone fruit (4), grapes floral (6), caramel (4), spicy (2). Flavor- cherry (13), green grape (5), red currant (6), red apple (4), white grape (5), passions fruit floral (6), lime (5), brown sugar (5), green apple (2), lemon (2). Mouthfeel- big phat cup (11), mouth coating (12), intense (7), syrupy (9), luscious (7), silky (2).","very sweet (12), complex (12), gentle (8), delicate (3), lactic (2)","Rw, a fully washed Arabica",Bourbón,-1.0,-1,Rwanda
3,4,89.07,Sdl Minazi Abakundakawa,,$8.55/lb,"$18,095.54",Bewleys Ltd,Ribarimana Jean Baptiste,-1,Rwanda,2008,Gakenke,North,,"Aroma- caramel (19), honey (8), lemon grass (4), chocolate (12), orange blossom (9), toffee (2), vanilla (3) . Flavor- caramel (11), floral (8), orange (13), green grape (4), plum (5), black berry (6), green apple (2), orange honey (6), pear (3). Mouth Feel- smooth (14), creamy (12), syrupy (5), buttery (2), clear (7).","citric (19), sweet (12), sparkling (6), bright and crisp (2).","Rw, a fully washed Arabica",Bourbón,-1.0,-1,Rwanda
4,5,89.0,SDL Muyongwe,,$15.00/lb,"$33,730.73",Saza Coffee Co Ltd,Hagumagutuma,-1,Rwanda,2008,Gakenke,North,,"Aroma - floral (8), ripe cherries (8), perfume (4), honey (5), spice (3), orange (4), mango (2), chocolate (4), toffee (4). Flavor- red apple (11), orange (6), cherry (8), plum (2), honey drops (7), grapes (2). Mouthfeel- syrupy (10), luscious (4), round (7), rich (7), big (4), viscous (3).","tartaric (7), complex (7), citric (6), well composed (5), crisp (5)","Rw, a fully washed Arabica",Bourbón,-1.0,-1,Rwanda
5,6,88.95,Kabuye/Maraba Ii/Abahuza,,$12.05/lb,"$30,284.90","Allegro Coffee Company, Terroir Coffee, Invalsa Coffee",Dusangiyumwami Pascal,-1,Rwanda,2008,Huye,South,,"Aroma- caramel (11), honey (9), orange peel (5), tangerine (2), red apple (3), caramel almond (2), floral (7), complex (9). Flavor cherry (12), apple (11), black currant (6), tangerine (8), red fruits (9), hibiscous (4), jasmine (2), blackberry (4), fruit basket (7), passion fruit (2). Mouthfeel  juicy (12), big (8), syrupy (6).","vibrant (11), sweet citrus (8), well structured (9), transparent (9)","Rw, a fully washed Arabica",Bourbón,-1.0,-1,Rwanda
6,7,88.36,Bufcoffee Remera,,$6.40/lb,"$15,238.35",Solberg & Hansen AS,Gakwaya Fillipe,-1,Rwanda,2008,Nyamagabe,South,,"Aroma- floral (14), black currant (5), jasmine (5), black cherry (5), floral, walnut (5), honey (4), chocolate (5) . Flavor black cherry (11), black currant (6), caramel (4), passion fruit (2), peach (2), grape (5). Mouthfeel- soft (3), rounded (4), viscous (4), complex (5).","citric (8), sweet (6)","Rw, a fully washed Arabica",Bourbón,-1.0,-1,Rwanda
7,8,88.07,Coopac Kabirizi,,$9.15/lb,"$18,155.07",The Coffee Company,Mvunabandi Bernard,-1,Rwanda,2008,Rubavu,Western,,"Aroma- milk chocolate (8), flowery (8), maple (3), caramel (3), marzipan, tea (2), basmati rice (2), herbal (2), orange (3) . Flavor- orange (8), green grape (7), red currant (7), flowery (6), ylang ylang (3) . Mouthfeel supple (6), creamy (4), silky (3).",tartaric (9),"Rw, a fully washed Arabica",Bourbón,-1.0,-1,Rwanda
8,9,87.98,Buremera Mig,,$6.05/lb,"$16,805.84","Wataru & Co., Ltd.",Nzirorera Lanouard,-1,Rwanda,2008,Huye,South,,"Aroma- vanilla (6), soft floral (5), praline (5), candied (5), light honey (5), cocoa (2), sugar (4). Flavor red apple (11), orange (6), dark fruits (3), chocolate (6), dark grape (2) . Mouthfeel- smooth (13), lingering (3), round (5) .","citric (14), malic (3), vibrant (5)","Rw, a fully washed Arabica",Bourbón,-1.0,-1,Rwanda
9,10,87.09,Horizon Nyamyumba,,$6.00/lb,"$15,873.28",Black Cat Kaffe og Tehus AS,Siborurema Joseph,-1,Rwanda,2008,Rubavu,Western,,"Aroma- delicate floral (8), toffee (6), spice (5), walnut (3), citrus (6), fresh butter (2), red apple (2). Flavor- cocoa (7), black cherry (4), peach (5), butter toffee (4), dark honey (7), honeydew (2), lemon (2), sweet honey tea (3). Mouthfeel smooth (14), velvety (3) .","sweet (8), citric (4), orange (3)","Rw, a fully washed Arabica",Bourbón,-1.0,-1,Rwanda
