,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Bolivia,2004,90.44,CENAPROC,11.25,32986.67,Solberg & Hansen AS,CENAPROC (82 farmer lot),1670,Caranavi,La Paz,wet hulled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,2,Bolivia,2004,90.06,CENAPROC,10.05,27917.14,Maruyama Coffee for Mikatajuku group,Pedro Patana,1650,Caranavi,La Paz,wet hulled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
2,3,Bolivia,2004,89.75,CENAPROC,10.0,13889.12,Time’s Club and C-Coop,"Productores Luis Huayhua, Silberio Cereso, Félix Castro",1700,Caranavi,La Paz,wet hulled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,4,Bolivia,2004,89.22,Cooperativa UNION PROAGRO,5.25,8101.99,The Roasterie Inc,Eusebio Marca Cruz,1500,Caranavi,La Paz,wet hulled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,5,Bolivia,2004,88.28,CENAPROC,8.05,11180.74,"Intelligentsia, Coffee Tree Roasters, and The Stumptown","Bernardo Apaza, Lorenzo Choque",1674,Caranavi,La Paz,wet hulled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,6,Bolivia,2004,88.25,AGRICABV Caranavi,5.55,7708.46,"Caravan Coffee Co.,Ltd.","Eugenio Nina, Wilfredo Condori",1390,Caranavi,La Paz,wet hulled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,7,Bolivia,2004,88.14,Cooperativa UNION PROAGRO,5.7,7916.8,"Schluter & Maack for Hagen Kaffee, Lloyd Caffee, Laier Kaffeerosterei, Wasserburger Kaffee, mondo del caffÃ¨",Andrea Hilari Condori,1500,Caranavi,La Paz,wet hulled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,8,Bolivia,2004,88.03,Cooperativa CIANA,6.01,9274.85,Solberg & Hansen for Kaffebrenneriet AS,Yolanda Lourdes Condori Chura,1500,Caranavi,La Paz,wet hulled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
8,9,Bolivia,2004,87.67,Valentin Choquehuanca,5.1,7083.45,"World Coffee Co.,Ltd.",Valentin Choquehuanca,1700,Caranavi,La Paz,wet hulled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,10,Bolivia,2004,85.56,AGRICABV CARANAVI,5.05,10910.68,"Toa Coffee Co.,Ltd.","Policarpio Tarqui, Jacinto Quispe",1400,Caranavi,La Paz,wet hulled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
