,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Brazil,2019,92.23,Fazenda Paie Filho,60.1,23850.08,"Maruyama Coffee, Goodboybob Coffee, Harrods",André Luis Aguila Ribeiro,1060.0,"Ibiraci, MG",Sul de Minas,natural,0,0,0,0,0,0,0,2,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,Brazil,2019,92.23,Fazenda Paie Filho,50.8,20159.47,TAKAMURA COFFEE ROASTERS,André Luis Aguila Ribeiro,1060.0,"Ibiraci, MG",Sul de Minas,natural,0,0,0,0,0,0,0,2,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,Brazil,2019,92.15,Fazenda Primavera,30.5,10086.35,"
SAZA COFFEE, Maruyama Coffee, and PROUD MARY COFFEE
",Leonardo Montesanto Tavares,1000.0,"Angelândia, MG",Chapada de Minas,others_process,0,0,0,0,0,0,0,0,0,1,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,2,Brazil,2019,92.15,Fazenda Primavera,25.1,8300.57,"Time’s Club,  Coffee Libre, Proud Mary, Coffee Me Up",Leonardo Montesanto Tavares,1000.0,"Angelândia, MG",Chapada de Minas,others_process,0,0,0,0,0,0,0,0,0,1,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3,Brazil,2019,91.84,Sítio São Sebastião,12.9,5119.24,Wataru for Nozy Coffee,Merce Jordan Araújo Silva,1323.0,"Piatã, BA",Chapada Diamantina,others_process,0,0,0,0,0,0,0,1,2,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,3,Brazil,2019,91.84,Sítio São Sebastião,13.0,5158.92,Kyokuto Fadie Corporation,Merce Jordan Araújo Silva,1323.0,"Piatã, BA",Chapada Diamantina,others_process,0,0,0,0,0,0,0,1,2,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,4,Brazil,2019,90.61,Santuário Sul,20.3,13426.42,"Maruyama Coffee, SAZA COFFEE, Orsir Coffee(Taiwan)",Santuário Sul,1200.0,"Carmo de Minas, MG",Mantiqueira de Minas,natural,0,0,0,0,0,0,0,1,0,1,1,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,5,Brazil,2019,90.47,Fazenda Jaguara,15.3,12143.3,"

Coffee Montage, 304 coffee roasters, Coffee Place, EL CAFE COFFEE ROASTERS, FEBRUARY ROASTERS, Jeju Be Brave

",André Luiz Alvarenga Garcia,1000.0,"São João del Rei, MG",Campo das Vertentes,others_process,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,6,Brazil,2019,89.7,Sítio d’Água Limpa,10.51,6951.31,Time’s Club & PROUD MARY COFFEE,Marianna Carneiro de Carvalho Junqueira,1255.0,"Virgínia, MG",Sul de Minas,natural,0,0,0,0,0,0,0,0,0,1,1,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,7,Brazil,2019,89.58,Fazenda Gerais,8.4,11111.52,Terarosa (Haksan Co. Ltd),João Roberto Santana,1339.0,"Piatã, BA",Chapada Diamantina,others_process,1,0,0,0,0,0,0,2,0,3,2,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,8,Brazil,2019,88.88,Sítio Portella,8.5,6746.28,"Wataru & Co., Ltd.",Edir José de Carvalho,1250.0,"Caldas, MG",Sul de Minas,natural,0,0,0,1,0,0,0,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,9,Brazil,2019,88.8,Fazenda Santo Antônio,7.1,5635.13,"

cafe DAZAC, Eungubiro Roasters, Crema Costa

",Raimundo Dimas Santana Filho,1190.0,"Araponga, MG",Matas de Minas,others_process,0,0,0,0,1,0,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,10,Brazil,2019,88.61,Fazenda Aterradinho,8.1,6428.81,Dabov Specialty Coffee & Ascension Coffee Roasters,Lilian Carrijo,1060.0,"Ibiraci, MG",Sul de Minas,natural,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,11,Brazil,2019,88.5,Fazenda Volta da Serra,8.9,8241.04,BEANBROTHERS,Agnaldo Martins de Assunção,1337.0,"Piatã, BA",Chapada Diamantina,others_process,0,0,0,1,0,0,1,0,3,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,12,Brazil,2019,88.46,Ecoagrícola Café Ltda,16.0,12698.88,Sarutahiko Coffee Inc.,Ecoagrícola Café Ltda,1100.0,"Francisco Dumont, MG",Chapada de Minas,natural,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,13,Brazil,2019,88.36,Sítio Lagoa II,7.0,5092.78,"Wataru & Co., Ltd.",José Wanderley Viana,1395.0,"Pedralva, MG",Mantiqueira de Minas,natural,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,14,Brazil,2019,88.29,Sítio dos Colis,7.0,5092.78,"Wataru & Co., Ltd.",Adila Pereira Coli,1175.0,"Carmo de Minas, MG",Mantiqueira de Minas,others_process,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,15,Brazil,2019,88.14,Fazenda Mantissa,9.1,6620.61,Mercanta Ltd,Mauro Billi,1150.0,"Campestre, MG",Sul de Minas,natural,0,0,0,0,0,0,0,1,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,16,Brazil,2019,88.04,Fazenda Sertãozinho,10.6,9815.18,Ecom Japan Limited,Fazenda Sertãozinho,1275.0,"Botelhos, MG",Sul de Minas,natural,0,0,0,0,0,0,0,0,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,17,Brazil,2019,88.02,Fazenda Paraíso,11.9,9444.79,TAKAMURA COFFEE ROASTERS,Jorge Barakat,1000.0,"João Pinheiro, MG",Cerrado Mineiro,others_process,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,18,Brazil,2019,87.8,Fazenda Dona Neném,8.4,6666.91,Kaffebrenneriet As,Eduardo Pinheiro Campos,1080.0,"Presidente Olegário, MG",Cerrado Mineiro,natural,0,0,0,0,0,0,0,1,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,19,Brazil,2019,87.69,Fazenda Zaroca,9.0,9524.16,"Wataru & Co., Ltd.",Gilberto Augusto Cainelli Basilio,1100.0,"Três Pontas, MG",Sul de Minas,natural,1,1,0,0,0,0,1,0,3,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,20,Brazil,2019,87.68,Fazenda Fortaleza,10.1,8016.17,"TOA COFFEE Co.,Ltd.",Alessandro Alves Hervaz,1500.0,"São Goncaço do Sapucaí, MG",Mantiqueira de Minas,natural,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
23,21,Brazil,2019,87.68,Fazenda Camocim,8.0,6349.44,Kyokuto Fadie Corporation,Henrique Leivas Sloper de Araújo,980.0,"Domingos Martins, ES",Montanhas do Espírito Santo,others_process,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
24,22,Brazil,2019,87.54,Sítio Santa Terezinha,7.7,7639.17,Honu Kato Coffee Inc.,Edson Rosa Garcia,1115.0,"Carmo de Minas, MG",Mantiqueira de Minas,natural,0,0,0,0,0,0,0,0,2,2,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,23,Brazil,2019,87.52,Fazenda Barreiro,7.1,5635.13,"Wataru & Co., Ltd.",Francisco Otávio Lotufo,1100.0,"Poços de Caldas, MG",Sul de Minas,others_process,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,24,Brazil,2019,87.48,Sítio Fortaleza,8.0,5820.32,cosmetocafe,Júlio Cesar Ferreira,1020.0,"São Gonçalo do Sapucaí, MG",Mantiqueira de Minas,natural,0,0,0,0,0,0,0,1,0,1,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
