,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Burundi,2014,90.0,Mpanga (I),59.1,74288.7,"[Brazil 100th International Jury Group] Campos Coffee, Solberg & Hansen, Intelligentsia, Terarosa, Cafes El Magnifico, Cafe Meo, Maruyama Coffee, Orsir Coffee, Coffee Tree",SEGEC,1750.0,"Kabuye, Kayanza",Kayanza,washed,1,0,1,0,0,0,0,0,0,2,2,5,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,Burundi,2014,89.54,Kirema,12.4,35265.6,Wataru for TAKAMURA COFFEE ROASTERS,Sogestal Kayanza,1950.0,"Kayanza, Kayanza",Kayanza,washed,0,0,0,0,1,0,0,0,2,2,0,5,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,3,Burundi,2014,89.39,Mpanga (II),25.1,26555.8,"Maruyama Coffee for Yamada Coffee, Yokoi Coffee, Sugi Coffee Roasting",SEGEC,1750.0,"Kabuye, Kayanza",Kayanza,washed,0,0,0,0,0,0,0,0,2,1,2,5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,4,Burundi,2014,89.07,Bwayi (I),7.0,18984.0,"Terarosa Coffee, Coffeejumbbang (Korea)",Sogestal Kayanza,1760.0,"Matongo, Kayanza",Kayanza,washed,1,0,0,0,0,1,0,0,3,4,2,6,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4,5,Burundi,2014,88.89,Ramba,6.0,16272.0,Kaffebrenneriet as,Sogestal Kirimiro,1603.0,"Gihogazi, Karusi",Gitega,washed,1,0,0,1,0,1,0,0,1,3,1,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,6,Burundi,2014,88.71,Mahonda (2014),5.6,15926.4,"Wataru & Co., Ltd.",Sogestal Kirimiro,1932.0,"Buraza, Gitega",Gitega,washed,1,1,0,0,0,0,0,0,2,4,2,8,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6,7,Burundi,2014,88.5,Gahahe (I),5.3,15423.0,"Time’s Club, Coffee Libre, TOA COFFEE Co.,Ltd",WEBCOR,1800.0,"Kayanza, Kayanza",Kayanza,washed,1,0,0,1,0,0,0,0,1,3,1,3,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
7,8,Burundi,2014,88.18,Masha (I),7.1,18310.9,Kyokuto Fadie Corporation,WEBCOR,1660.0,"Gatara, Kayanza",Kayanza,washed,0,1,0,0,0,1,0,0,3,4,2,7,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8,9,Burundi,2014,88.18,Kabumburi,5.9,6631.6,Solberg & Hansen AS,Sogestal Mumirwa,1500.0,"Kabumburi, Bururi",Bururi,washed,0,0,0,1,0,1,0,0,5,1,1,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,10,Burundi,2014,86.19,Gakenke,5.45,13695.85,Campos Coffee,WEBCOR,1680.0,"Gatara, Kayanza",Kayanza,washed,1,0,0,0,0,0,0,0,3,3,0,6,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,11,Burundi,2014,85.94,Nemba (2014),4.6,7300.2,"32cup, Kaffitar, Vivasara, Dutchbarista, Cantata",WEBCOR,1860.0,"Kayanza, Kayanza",Kayanza,washed,0,0,0,0,0,0,0,0,2,5,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,12,Burundi,2014,85.94,Nkondo,4.1,9762.1,Caffe Pascucci S.p.A.,Sogestal Kirimiro,1786.0,"Nyarusange, Gitega",Gitega,washed,0,0,0,1,0,0,0,0,2,3,1,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,13,Burundi,2014,85.91,Munyinya,4.1,10848.6,Maruyama Coffee,Munyinya Coffee,1760.0,"Butanganzwa, Kayanza",Kayanza,washed,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
13,14,Burundi,2014,85.84,Bwayi (II),5.5,14553.0,Intelligentsia,Sogestal Kayanza,1760.0,"Matongo, Kayanza",Kayanza,washed,0,0,0,1,0,0,0,0,2,2,0,6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,15,Burundi,2014,85.81,Buhorwa,4.4,7568.0,Crop To Cup Coffee Importers,Sogestal Kayanza,1820.0,Kayanza,Kayanza,washed,0,0,0,0,0,0,0,0,2,1,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,16,Burundi,2014,85.78,Butegana (I),4.1,10032.7,Coffee Bean International on behalf of Nordstrom Specialty Coffee,WEBCOR,1610.0,"Kayanza, Kayanza",Kayanza,washed,0,0,1,1,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,17,Burundi,2014,85.72,Masha (II),4.0,16932.0,Orsir Coffee (Taiwan),WEBCOR,1660.0,"Gatara, Kayanza",Kayanza,washed,0,1,0,0,0,0,0,0,3,0,4,6,2,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
17,18,Burundi,2014,85.56,Gitaba,4.0,10848.0,"honuKATOCOFFEE, Inc.",Sogestal Kirimiro,1557.0,"Gitaba, Rutana",Rutana,washed,0,0,0,0,0,0,0,0,1,1,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,19,Burundi,2014,85.38,Yandaro,4.2,8887.2,"Wataru & Co., Ltd.",WEBCOR,,"Kabarore, Kayanza",Kayanza,washed,0,0,1,0,0,0,0,0,1,4,3,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,20,Burundi,2014,85.34,Karehe,4.2,7501.2,"GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)",Sogestal Kayanza,1750.0,"Busiga, Kayanza",Kayanza,washed,0,0,0,0,0,0,0,0,4,4,0,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20,21,Burundi,2014,85.31,Kigobe,4.2,5833.8,Nagahama Coffee Inc.,KALICO,1500.0,Kirundo,Kirundo,washed,0,0,0,1,0,0,0,0,3,1,0,2,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
21,22,Burundi,2014,85.09,Ruvubu,4.0,12432.0,honuKATOCOFFEE Inc.,Sogestal Kirimiro,1748.0,"Shombo, Karusi",Karusi,washed,0,1,1,0,0,1,0,0,3,2,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,23,Burundi,2014,85.06,Kibuye,4.1,11389.8,Imperator SRL,Sogestal Kirimiro,1986.0,"Bukirasazi, Gitega",Gitega,washed,0,0,0,0,0,0,0,0,2,5,1,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,24,Burundi,2014,85.06,Gatare (2014),4.2,11113.2,Mecca,Sogestal Kayanza,1680.0,"Rango, Kayanza",Kayanza,washed,0,0,0,1,0,0,0,0,3,3,1,2,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24,25,Burundi,2014,85.03,Butegana (II),6.1,6051.2,"Tres Cabezas Berlin Stock Spittel GbR, List & Beisler GmbH, Doubleshot s.r.o.",WEBCOR,1610.0,"Kayanza, Kayanza",Kayanza,washed,1,0,0,0,0,1,0,0,1,2,1,6,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
25,26,Burundi,2014,85.03,Nzewe,4.0,7672.0,Oren’s Daily Roast,ICOCOGE,1760.0,"Kayanza, Kayanza",Kayanza,washed,0,0,0,0,0,0,0,0,1,0,0,7,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,27,Burundi,2014,85.0,Gahahe (II),4.0,8996.0,Wataru for NOZY COFFEE,WEBCOR,1800.0,"Kayanza, Kayanza",Kayanza,washed,0,0,0,0,0,1,0,0,1,2,0,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,1,Burundi,2015,91.09,Nemba (Greenco Burundi),28.7,55363.16,"UCC Ueshima Coffee Co., Ltd.",Javénal Bizimana,,Kayanza,Kayanza,others_process,0,0,0,0,0,1,0,0,1,3,1,5,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,Burundi,2015,89.8,Kiryama (Sogestal Kayanza),10.9,20305.61,"Maruyama Coffee, Adachi Coffee (JAPAN) // Orsir Coffee (TAIWAN)",Viateur Niyirera,,Butaganzwa,Kayanza,others_process,0,0,0,0,0,0,0,0,1,3,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,Burundi,2015,89.32,Heza (CCC),16.1,21829.02,TERAROSA(HAKSAN Co.Ltd),Zéphirin Bucumi,,Matongo,Kayanza,others_process,0,0,0,1,0,1,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
