,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Ecuador,2021,90.39,Arashi,97.1,19266.58,GK Coffee (Taiwan 宜蘭 喝一杯健康的好咖啡/平安居咖啡民宿/海神咖啡）& Terra Bella Fine Roasted Coffee & Haru International Corporation,Abel Salinas Pacheco,1893.0,,,washed,0,0,0,0,0,0,0,1,3,4,3,17,1,1,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,Ecuador,2021,90.39,Arashi,97.1,17815.91,GK Coffee (Taiwan 宜蘭 喝一杯健康的好咖啡/平安居咖啡民宿/海神咖啡）& Terra Bella Fine Roasted Coffee & Haru International Corporation,Abel Salinas Pacheco,1893.0,,,washed,0,0,0,0,0,0,0,1,3,4,3,17,1,1,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,Ecuador,2021,90.21,El Aguacate,49.2,9344.56,Orsir Coffee (Taiwan),Pablo Andrés Eguiguren Calisto,2100.0,,,natural,0,0,0,0,1,0,0,1,4,7,2,26,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Ecuador,2021,90.07,Alaska Del Sur,75.1,14901.34,Cometeer & George Howell Coffee,Curt John Madison,1897.0,,,washed,0,0,0,1,0,0,1,0,5,8,3,15,2,0,1,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,3,Ecuador,2021,90.07,Alaska Del Sur,76.5,11698.38,HARRODS,Curt John Madison,1897.0,,,washed,0,0,0,1,0,0,1,0,5,8,3,15,2,0,1,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,4,Ecuador,2021,89.71,Santa Rita,33.4,10552.73,Sarutahiko Coffee Inc.,José Milton Ajila Ajila,1835.0,,,anaerobic,0,0,0,0,0,0,0,3,5,4,1,28,1,1,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,5,Ecuador,2021,89.68,Clara Luz,38.5,13252.09,Latorre&Dutch (China) for Fisher Coffee / Cut Hand Group（剁手咖啡群）/ Taster’s Coffee / 啟程拓殖 (Terraform Coffee Roasters) / Small Arms Big Heart 有容乃大,Servio Lennin Gonzalez Jiménez,1720.0,,,anaerobic,0,0,0,0,0,0,0,0,6,6,1,20,1,1,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,Ecuador,2021,89.61,Yamba Mine,48.4,12650.79,"Coffee Me Up (Korea), Coffee Therapy (Thailand), Cuppingpost",Diana Velez Rodriguez,1600.0,,,natural,0,0,0,0,0,0,0,3,2,8,2,20,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,Ecuador,2021,89.29,Casa Rumisitana,30.0,7740.3,Wataru for KARIOMONS COFFEE ROASTER,Wilma Peñaherrera Campaña,1500.0,,,washed,0,0,0,0,0,0,0,0,3,8,9,14,1,0,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,8,Ecuador,2021,89.11,Lugmapata,43.1,11499.94,NOZY COFFEE & Intelligentsia,Roberto Vasconez,1916.0,,,honey,0,0,0,0,0,0,2,2,5,4,2,15,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
