,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,El Salvador,2020,90.31,Divina Providencia,80.1,51079.77,"Maruyama Coffee, Uchida Coffee, Harrods, Difference Coffee, Cometeer, Goodboybob Coffee",Roberto Samuel Ulloa Vilanova,900.0,PALO DE CAMPANA,Santa Ana,anaerobic,0,0,0,1,0,0,0,0,3,0,1,12,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,El Salvador,2020,90.31,Divina Providencia,60.1,37762.03,AL QAHWA AL ARABIAH,Roberto Samuel Ulloa Vilanova,900.0,PALO DE CAMPANA,Santa Ana,anaerobic,0,0,0,1,0,0,0,0,3,0,1,12,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2,El Salvador,2020,89.91,La Bonita,30.5,27785.5,"Kyokuto Fadie Corporation & ARAB COFFEE CO., LTD.",Norelvia Angelica Elias De Diaz,1950.0,JOCOTAN,Chalatenango,washed,0,0,0,0,0,0,0,1,1,5,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,3,El Salvador,2020,89.53,Mileydi,26.8,27336.0,"Time’s Club, Coffee Libre, Valley Coffee(China), EL CAFE coffee roasters, Coffee Montage, 304 roasters, Coffee Place, FEBRUARY ROASTERS",Ever Leonel Diaz Perez,1250.0,SAN JOSE SACARE,Chalatenango,washed,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4,El Salvador,2020,89.16,La Pacaya,48.6,43059.6,Fisher Coffee / M2M Coffee Roasters / 广州犀咖烘焙有限公司 / 啟程拓殖 / 芦田家咖啡研习社 / Captain George Coffee Roaster / Latorre & Dutch Coffee (China),"Mav, S.A. De C.V.",1700.0,PORTEZUELOS,Sonsonate,natural,0,0,0,0,1,0,0,1,1,1,4,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,El Salvador,2020,89.06,Los Angeles,22.5,24637.5,Cypher Roastery LLC,"Los Naranjos Cafe, S.A. De C.V.",1400.0,TALTAPANCA,Ahuachapan,anaerobic,0,0,0,0,0,0,0,0,2,0,1,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,6,El Salvador,2020,88.81,El Amel,20.3,12078.5,BLACKUP COFFEE COMPANY,Ariz Y Compañia,1200.0,LOS HUATALES,Ahuachapan,honey,0,0,0,0,0,0,0,0,1,5,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,7,El Salvador,2020,88.75,El Aguila,17.6,15628.8,Campos Coffee,Primos Ariz Valdivieso Y Compañia,1400.0,OJO DE AGUA,Santa Ana,natural,0,0,0,0,0,0,0,0,4,1,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,8,El Salvador,2020,88.69,La Bendicion 2,17.2,27141.6,Sarutahiko Coffee Inc.,Roberto Samuel Ulloa Rusconi,1400.0,CALZONTES ARRIBA,Santa Ana,anaerobic,0,0,0,0,0,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,9,El Salvador,2020,88.69,Benasque,19.1,16960.8,M.I.COFFEE CORPORATION,Exportadora Agricola Comercial S.A. De C.V.,1300.0,SAN JUAN LOMA ALTA,Usulutan,honey,0,0,0,0,0,0,0,1,3,2,5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
