,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Ethiopia,2020,91.04,Niguse Gemeda Mude,185.1,110180.78,"Maruyama Coffee, Saza Coffee, Cometeer, Goodboybob Coffee, Difference Coffee, Harrods, Orsir Coffee(Taiwan), The Hub Coffee Malaysia",Niguse Gemeda Mude,,Bura,Sidama,natural,1,1,0,1,1,0,0,1,0,1,2,14,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,Ethiopia,2020,91.04,Niguse Gemeda Mude,185.1,110180.78,Sarutahiko Coffee Inc.,Niguse Gemeda Mude,,Bura,Sidama,natural,1,1,0,1,1,0,0,1,0,1,2,14,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,Ethiopia,2020,90.89,Rumudamo Coffee Industry Trade PLC,108.0,103573.08,"MUSEO Co., Ltd., Intelligentsia Coffee (USA), Coffee Collective (Denmark), Single O (Australia), La Boheme Cafe (Czech Republic), Upstream Imports/ Reverence/ Sprociety (Australia ), Dutch Barista Coffee (Holland), Beanbox (USA), Songdo Coffee (South Korea), Pebble Coffee (Taiwan), Simple Kaffa (Taiwan), Kakalove (Taiwan)",Rumudamo Coffee Industry Trade PLC,,Arbegona,Sidama,washed,1,0,0,0,0,1,1,1,2,6,5,6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2,Ethiopia,2020,90.89,Rumudamo Coffee Industry Trade PLC,107.1,99168.17,"Maruyama Coffee, Snow Beans Coffee, Cometeer, George Howell Coffee, BLESSBEAN CO. LTD (South Korea), Hermoso Coffee Roasters",Rumudamo Coffee Industry Trade PLC,,Arbegona,Sidama,washed,1,0,0,0,0,1,1,1,2,6,5,6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,3,Ethiopia,2020,90.25,RumuDamo PLC,47.16,45226.91,"Kyokuto Fadie Corporation & ARAB COFFEE CO., LTD.",RumuDamo PLC,,Arbegona,Sidama,washed,0,0,0,1,0,1,0,0,1,5,1,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,3,Ethiopia,2020,90.25,RumuDamo PLC,49.1,45463.65,"Orsir Coffee(Taiwan), TRN(Taiwan Roasters Network)",RumuDamo PLC,,Arbegona,Sidama,washed,0,0,0,1,0,1,0,0,1,5,1,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,4,Ethiopia,2020,89.86,Birhanu Teklu Meribo,40.4,53439.91,"Time’s Club, Coffee Libre, Valley Coffee(China), 396CoffeeCompany, El Cafe Coffee Roasters, Coffee Montage, MUSEO Co.,LTD, liike coffee, Cygnus Coffee, ABRI COFFEE FACTORY",Birhanu Tekelu Meribo,,Kokosa,West Arsi,natural,0,0,0,0,1,0,0,2,0,4,1,11,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7,5,Ethiopia,2020,89.43,Gare Ware Jilo,21.0,45833.97,ONYX COFFEE LAB,Gare Ware Jilo,,Hara Welabo,West Guji,natural,1,0,0,0,0,1,1,2,2,4,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,Ethiopia,2020,89.21,Eshetu Mergiya Teklegiorgis,19.52,43894.82,"Artisan Roast Ltd (Scotland), Gold Box Roastery, Elbgold Röstkaffee GmbH, Upstream Coffee Imports",Eshetu Mergiya Tekele Gorgis,,Nansebo,West Arsi,natural,1,0,0,0,0,0,0,2,4,6,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,7,Ethiopia,2020,89.21,Assefa Dukamo Korma,23.1,42014.51,M.I. Coffee Corporation,Asefa Dukamo Orma,,Bonsa,Sidama,natural,0,0,0,0,0,0,0,3,0,5,0,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
