,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Guatemala,2014,91.47,Kalibus La Sierra,42.4,65211.2,"GSC International Co.,Ltd. (KOREA) // Shanghai Borong International Trading Co.,Ltd (CHINA)","Castillo Cerezo, Pompeyo",1950.0,San Cristobal Acasaguastlan,El Progreso,others_process,0,1,1,1,0,0,0,0,0,2,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,Guatemala,2014,90.08,El Injerto I – 14,20.3,48517.0,"GSC International Co.,Ltd. (KOREA) // Shanghai Borong International Trading Co.,Ltd (CHINA)","El Injerto, S.A.",,La Libertad,Huehuetenango,others_process,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,3,Guatemala,2014,89.11,El Morito I,16.6,37798.2,"Kyokuto Fadie Corporation, Tashiro Coffee, Time’s Club, Coffee Libre","Monterroso Pineda, José Roberto",2042.0,Mataquescuintla,Jalapa,others_process,0,1,0,1,0,0,0,0,1,0,2,4,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,4,Guatemala,2014,88.08,La Florida,17.09,35940.27,"Maruyama Coffee, Uchida Coffee, Yamada Coffee, Orsir Coffee(Taiwan)","Xilate, S.A.",1829.0,San Agustin Aguascatlan,El Progreso,others_process,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5,Guatemala,2014,87.69,Santa Clara,13.5,28687.5,"Nippon Coffee Trading Co.,Ltd for Doi Coffee",AGRISAR,2134.0,Acatenango,Chimaltenango,others_process,0,1,0,1,0,1,0,0,2,2,1,4,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,6,Guatemala,2014,87.47,La Joya,7.3,31733.1,"M.I. COFFEE CO.,LTD.","Agricola Santa Calatina, S.A.",1951.0,San Miguel Dueñas,Sacatepequez,others_process,0,0,1,1,1,1,0,0,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,7,Guatemala,2014,87.22,Las Macadamias – 14,12.1,26281.2,Terarosa Coffee (South Korea),"Las Macadamias, S.A.",2286.0,La Libertad,Huehuetenango,others_process,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,8,Guatemala,2014,87.14,Rosma – 14,11.35,28522.55,"Kean Coffee, Willoughbys Coffee, Augies Coffeehouse, Birdrock Coffee Roasters, Klatch Coffee Roasters","Morales Mérida, Fredy Milton",1829.0,San Pedro Necta,Huehuetenango,others_process,0,1,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,9,Guatemala,2014,87.08,La Maravilla – 14,10.3,27130.2,"Mercanta Ltd on behalf of Ozone Coffee Roasters, Rocket Coffee, Caffè Cataldi, Šviežia Kava, Kaffeespezialitaet, Boot Koffie, Murnauer Kaffeerösterei // Melbourne Coffee Merchants on behalf of Monk Bodhi Dharma, Ministry Grounds, Double Roasters and Market Lane Coffee","Rosales Vásquez, Mauricio",,La Libertad,Huehuetenango,others_process,0,0,0,0,1,0,0,1,1,5,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,10,Guatemala,2014,86.97,Montecristo,12.1,22493.9,"TOA COFFEE Co.,Ltd & ARAB COFFEE Co.,Ltd","Villatoro Gómez, Jorge Heberto",1219.0,La Libertad,Huehuetenango,others_process,0,1,0,0,0,0,0,0,1,3,0,3,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10,11,Guatemala,2014,86.14,El Morito II,7.5,16980.0,Wataru for OGAWA COFFEE,"Monterroso Pineda, José Roberto",2042.0,Mataquescuintla,Jalapa,others_process,0,0,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,12,Guatemala,2014,86.11,Santa Ileana,10.0,23420.0,Kyokuto Fadie Corporation,"Agropecuaria Aguapica, S.A.",1798.0,Pueblo Nuevo Viñas,Santa Rosa,others_process,0,0,0,1,0,0,0,0,1,2,0,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,13,Guatemala,2014,85.72,Pacamaral,7.4,16139.4,"Wataru & Co., Ltd","Inmobiliaria SMA, S.A.",1850.0,Pueblo Nuevo Viñas,Santa Rosa,others_process,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
