,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Honduras,2014,92.15,Mi Esperanza,35.1,46332.0,"M.I. COFFEE CO.,LTD.",Lucinda Vasquez Romero,1573.0,San Elena,La Paz,others_process,1,0,0,0,0,0,0,0,0,2,6,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,Honduras,2014,90.81,Moreno – 14,15.0,33660.0,"GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)",Pedro Moreno,1610.0,Las Vegas,Santa Barbara,others_process,0,1,0,1,0,1,0,1,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,3,Honduras,2014,90.58,Los Pinos,20.1,27858.6,"Maruyama Coffee, Yamada Coffee",Armando Bautista,1300.0,Chinacla,La Paz,others_process,0,0,0,0,0,0,0,0,1,2,3,7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,4,Honduras,2014,89.88,Las Moras,20.4,24235.2,Wataru for NOZY COFFEE,Antonio Dominguez Gonzales,1733.0,Masaguara,Intibuca,others_process,0,0,1,0,0,0,0,1,1,2,0,5,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,5,Honduras,2014,89.38,Pino de Oro – 14,15.2,27086.4,"Time’s Club, Coffee Libre, Proud Mary Coffee, Equator Coffee & teas, TASHIRO COFFEE Co., Ltd., TOA COFFEE Co.,Ltd.",Oscar Edgardo Tinoco,,Concepción Sur,Santa Barbara,others_process,0,1,0,1,0,0,0,0,1,2,0,5,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,Honduras,2014,89.23,Miraflores,10.7,24010.8,Single Origin Roasters,Paulo Roberto Sabillon Fernandez,1500.0,Santa Barbara,Santa Barbara,others_process,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,Honduras,2014,89.15,La Patepluma,11.9,16493.4,"Coffee Factory, NAGAHAMA COFFEE, St.Berry Coffee, KASAI COFFEE, VOILA Coffee",Franklin Adonis Madrid,1600.0,Santa Barbara,Santa Barbara,others_process,0,1,0,1,0,1,0,1,1,3,1,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,Honduras,2014,88.62,La Peña,10.7,20479.8,Kyokuto Fadie Corporation,Yojany Vanessa Meija Ferrera,1650.0,Santa Barbara,Santa Barbara,others_process,1,0,0,0,0,0,0,0,3,1,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,Honduras,2014,88.62,Flor de Café – 14,9.5,17556.0,"ALMACIELO (SOUTH KOREA), CAFE DAZAC, ROASTING HOUSE, EO-NEU-JO-EUN-NAL (ONE FINE DAY COFFEE KOREA)",Claudio Lenin Madrid,1550.0,Santa Barbara,Santa Barbara,others_process,0,0,0,1,0,0,0,0,1,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,Honduras,2014,87.88,Linda Vista,9.3,12276.0,Food Service Ukraine,Edwin Enrique Zavala Armijo,1550.0,Yoro,Yoro,others_process,0,0,0,1,0,0,0,0,0,2,2,3,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,11,Honduras,2014,87.46,Mi Paz,10.3,14275.8,"MOMOS COFFEE, Coffee Libre, BUSAN GROUP",Olvin Esmelin Fernandez Paz,1550.0,Santa Barbara,Santa Barbara,others_process,0,0,0,1,1,0,0,1,1,2,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,Honduras,2014,87.27,La Montañita,9.1,13813.8,"TASHIRO COFFEE Co.,Ltd",Jose Rumaldo Moreno Reyes,1600.0,Las Vegas,Santa Barbara,others_process,0,0,0,0,0,0,0,0,1,3,1,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,Honduras,2014,87.0,La Quebrada,9.1,12012.0,Orsir Coffee (Taiwan),Daniel Moreno,1540.0,Las Vegas,Santa Barbara,others_process,1,1,0,0,1,0,0,0,1,1,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,14,Honduras,2014,86.5,La Colmena – 14,9.35,14193.3,Campos Coffee,Angel Arturo Paz Ramirez,1700.0,Santa Barbara,Santa Barbara,others_process,1,1,0,0,1,0,0,0,2,3,0,6,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,15,Honduras,2014,86.46,El Milagrito,9.2,12144.0,"Wataru & Co., Ltd.",Pedro Erazo,1550.0,Las Vegas,Santa Barbara,others_process,1,0,0,0,0,0,0,1,2,2,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,Honduras,2014,86.27,El Filo – 14,9.4,13648.8,"KAFFA as, Oslo",Miguel Moreno Leiva,1550.0,Las Vegas,Santa Barbara,others_process,1,0,0,0,0,0,1,0,2,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,Honduras,2014,86.15,El Sauce – 14,9.16,12695.76,Kaffebrenneriet as,Esteban Madrid Chavez,1550.0,Santa Barbara,Santa Barbara,others_process,0,1,1,0,0,0,0,0,5,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,Honduras,2014,86.08,El Aguacate – 14,8.6,12487.2,"Wataru & Co., Ltd.",Javier Antonio Santos Bonilla,1650.0,Santiago Puringla,La Paz,others_process,0,0,0,0,0,0,0,0,1,2,0,4,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,19,Honduras,2014,85.92,Cristal – 14,7.8,9266.4,"Wataru & Co., Ltd.",Jose Esteban Madrid Millanueva,1550.0,Santa Barbara,Santa Barbara,others_process,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,Honduras,2014,85.77,Los Agapantos – 14,7.5,9405.0,"Wataru & Co., Ltd.",Rafael de Jesús Chinchilla,1640.0,Valle de Ángeles,FCO Morazán,others_process,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20,21,Honduras,2014,85.58,La Gran Manzana,7.3,10117.8,honuKATOCOFFEE Inc.,Danny Gabril Moreno Leiva,1550.0,Las Vegas,Santa Barbara,others_process,0,1,0,1,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,22,Honduras,2014,85.23,Integral El Cipres,9.4,13028.4,"Wataru & Co., Ltd.",Catalino Vasquez Hernandez,1650.0,Santiago Puringla,La Paz,others_process,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,23,Honduras,2014,85.08,El Cipres,7.2,8553.6,JuBean coffee,Esteban Leiva Enamorado,1400.0,San Francisco de Ojuera,Santa Barbara,others_process,0,0,0,0,0,0,0,2,0,1,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,Honduras,2015,91.19,Los Yoyos,23.3,29218.2,"Maruyama Coffee, Yamada Coffee, Yokoi Coffee, Adachi Coffee, Saza Coffee, Nagahama Coffee, Saza Coffee",Eulogio Martinez,,Santa Bárbara,Santa Bárbara,others_process,0,0,0,0,0,0,0,3,0,1,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,Honduras,2015,90.81,Buena Vista,23.1,32016.6,TERAROSA(HAKSAN Co.Ltd),Hernán Gómez Reyes,1815.0,Masaguara,Intibuca,others_process,0,1,0,0,0,0,0,0,1,2,1,4,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
