,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Perú,2017,92.25,La Flor 2017 – {ORG},100.09,37512.73,"Maruyama Coffee, Campos Coffee, TOA Coffee, Sarutahiko Coffee",Juan Heredia Sanchez,1800.0,Jaén,Cajamarca,washed,0,1,0,1,0,1,0,0,0,2,1,9,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
1,1,Perú,2017,92.25,La Flor 2017 – {ORG},100.1,33102.07,"Time’s Club, Coffee Libre, Tashiro Coffee, Cafe Verde (Peru)",Juan Heredia Sanchez,1800.0,Jaén,Cajamarca,washed,0,1,0,1,0,1,0,0,0,2,1,9,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
2,2,Perú,2017,90.61,El Cerro 2017 – {ORG},51.4,19264.21,"MadCap, George Howell Coffee, Intelligentsia, Single O, Terarosa, Maruyama",Efrain Carhuallocllo Salvador,1900.0,San Ignacio,Cajamarca,washed,0,0,0,0,1,0,0,1,0,2,2,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,2,Perú,2017,90.61,El Cerro 2017 – {ORG},50.3,16633.71,Kyokuto Fadie Corporation,Efrain Carhuallocllo Salvador,1900.0,San Ignacio,Cajamarca,washed,0,0,0,0,1,0,0,1,0,2,2,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,3,Perú,2017,90.48,San Pedro – El Shimir 2017 -…,35.2,13968.42,MATSUMOTO COFFEE,Fredy Bermeo Guevara,1800.0,San Ignacio,Cajamarca,washed,0,0,1,1,0,0,0,0,2,1,0,13,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
5,3,Perú,2017,90.48,San Pedro – El Shimir 2017 -…,35.2,12416.45,Caffe’ Pascucci Torrefazione S.P.A.,Fredy Bermeo Guevara,1800.0,San Ignacio,Cajamarca,washed,0,0,1,1,0,0,0,0,2,1,0,13,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
6,4,Perú,2017,90.41,San Antonio 2017,18.7,7297.11,MOMOS COFFEE,Marco Antonio Montes Damiano,1500.0,Chanchamayo,Junin,washed,0,0,0,0,0,0,0,0,0,2,8,7,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,4,Perú,2017,90.41,San Antonio 2017,19.09,6312.87,"Orsir Coffee Co., Ltd.",Marco Antonio Montes Damiano,1500.0,Chanchamayo,Junin,washed,0,0,0,0,0,0,0,0,0,2,8,7,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,5,Perú,2017,90.11,Las Orquideas 2017 – {ORG},18.2,7342.79,"UCC Ueshima Coffee Co., Ltd.",Tito Huamán Salon,1950.0,Chachapoyas,Amazonas,washed,0,0,0,0,0,0,0,1,0,4,1,9,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9,5,Perú,2017,90.11,Las Orquideas 2017 – {ORG},18.13,7194.53,Ascension Coffee Roasters,Tito Huamán Salon,1950.0,Chachapoyas,Amazonas,washed,0,0,0,0,0,0,0,1,0,4,1,9,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
