,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Rwanda,2008,92.07,Buremera Mig,18.0,52381.83,Solberg & Hansen AS,Uwimana Rose,1.0,Huye,South,others_process,0,0,0,0,0,0,0,0,3,8,3,12,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,Rwanda,2008,90.84,Fakco-Rulindo,16.05,38214.93,"Maruyama Coffee for Mikatajuku Group, Itoya Coffee, Orsir Coffee",Nsengumuremyi Jean,1.0,Rulindo,North,others_process,0,0,0,0,0,0,0,0,1,2,3,11,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,3,Rwanda,2008,89.41,Buremera Mig,8.02,21217.29,"Mercanta – The Coffee Hunters for Origin Coffee Roasting Cc South Africa, Has Bean Coffee UK, Sviezia Kava Lithuania, Cafes El Magnifico Barcelona Spain, James Gourmet UK, La Boheme Café Czech Republic, Twoday Roasters UK and Seven Seeds Melbourne Austra",Nzirorera Lanouard,1.0,Huye,South,others_process,0,0,0,0,0,0,0,0,1,6,2,10,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3,4,Rwanda,2008,89.07,Sdl Minazi Abakundakawa,8.55,18095.54,Bewleys Ltd,Ribarimana Jean Baptiste,1.0,Gakenke,North,others_process,0,0,0,0,0,0,0,0,4,5,2,8,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,5,Rwanda,2008,89.0,SDL Muyongwe,15.0,33730.73,Saza Coffee Co Ltd,Hagumagutuma,1.0,Gakenke,North,others_process,0,0,0,0,0,0,0,1,2,3,1,7,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5,6,Rwanda,2008,88.95,Kabuye/Maraba Ii/Abahuza,12.05,30284.9,"Allegro Coffee Company, Terroir Coffee, Invalsa Coffee",Dusangiyumwami Pascal,1.0,Huye,South,others_process,0,0,0,0,0,0,0,0,3,4,2,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,7,Rwanda,2008,88.36,Bufcoffee Remera,6.4,15238.35,Solberg & Hansen AS,Gakwaya Fillipe,1.0,Nyamagabe,South,others_process,0,0,0,0,0,0,0,0,3,2,3,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,8,Rwanda,2008,88.07,Coopac Kabirizi,9.15,18155.07,The Coffee Company,Mvunabandi Bernard,1.0,Rubavu,Western,others_process,0,0,0,0,0,0,0,0,3,2,2,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,9,Rwanda,2008,87.98,Buremera Mig,6.05,16805.84,"Wataru & Co., Ltd.",Nzirorera Lanouard,1.0,Huye,South,others_process,0,0,0,0,0,0,0,0,3,2,1,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,10,Rwanda,2008,87.09,Horizon Nyamyumba,6.0,15873.28,Black Cat Kaffe og Tehus AS,Siborurema Joseph,1.0,Rubavu,Western,others_process,0,0,0,0,0,0,0,1,4,4,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,11,Rwanda,2008,86.98,Bufcoffee Nyarusiza,6.05,15205.28,"Nippon Coffee Trading Co.,Ltd for Doi Coffee",Munyandainda Deo,1.0,Nyamagabe,South,others_process,0,0,0,0,0,0,0,1,1,2,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,12,Rwanda,2008,86.26,Coopac Nyamwenda,6.2,12301.79,Time’s Club for C-COOP,Munyakazi Anastase,1.0,Rubavu,Western,others_process,0,0,0,0,0,0,0,0,3,2,3,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,13,Rwanda,2008,86.19,Horizon Nyamyumba,5.55,14682.79,"Wataru & Co., Ltd.",Maniraguha Daniel,1.0,Rubavu,Western,others_process,0,0,0,0,0,0,0,0,2,3,1,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,14,Rwanda,2008,85.9,SDL Musasa Coffee,6.0,14285.95,"Wataru & Co., Ltd.",Hakizimana Andre,1.0,Gakenke,North,others_process,0,0,0,0,0,0,0,1,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,15,Rwanda,2008,85.9,Nyabumera Coop-Abaryoshyakawa,7.55,15979.1,Green Mountain Coffee Roasters,Hategika Francois,1.0,Nyamasheke,Western,others_process,0,0,0,0,0,0,0,1,3,1,1,7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15,16,Rwanda,2008,85.86,Murera Mig,5.25,11805.75,"TOA Coffee Co.,Ltd.",Nkurunziza Eugene,1.0,Huye,South,others_process,0,0,0,0,0,0,0,1,2,3,2,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,17,Rwanda,2008,85.76,Horizon Mushonyi,5.55,13948.65,"Nippon Coffee Trading Co.,Ltd",Twizerimana Ismael,1.0,Rutsiro,Western,others_process,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,18,Rwanda,2008,85.55,Bufcoffee Nyarusiza,7.3,17381.24,"The Roasterie, Cravens Coffee, Sweet Maria’s and Café Imports",Nkundiye Innocent,1.0,Nyamagabe,South,others_process,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,19,Rwanda,2008,85.38,Sovu/Maraba III/Abahuzamugambi,8.1,16071.7,"Intelligentsia, Sweet Marias and Union Coffee Roasters",Nyilimana Bernard,1.0,Huye,South,others_process,0,0,0,0,0,0,0,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,20,Rwanda,2008,85.17,Kabuye/Maraba Ii/Abahuza,6.2,18042.63,"Nippon Coffee Trading Co.,Ltd for Doi Coffee",Bitwayiki Vincent,1.0,Huye,South,others_process,0,0,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,21,Rwanda,2008,84.83,SDMLJ,4.35,9206.5,Katocoffee Inc.,Kajuga Tenedole,1.0,Rusizi,Western,others_process,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,22,Rwanda,2008,84.74,Mig Kibumbwe,5.75,12169.52,"Carandai Co., Ltd.",Mihigo Patrice,1.0,Nyamagabe,South,others_process,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,23,Rwanda,2008,84.5,Bufcoffee Nyarusiza,6.35,15119.3,"Wataru & Co., Ltd.",Ruhirwa Pascal,1.0,Nyamagabe,South,others_process,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,24,Rwanda,2008,84.48,Coopac Kirorero,4.2,8889.04,Katocoffee Inc.,Nayikoziki Felecien,1.0,Rubavu,Western,others_process,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,1,Rwanda,2010,90.11,COOPAC Mushonyi,23.61,48407.58,"Hiro Coffee Co.,Ltd.",Uwimana Issa,1750.0,Rutsiro,Western,others_process,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
25,2,Rwanda,2010,90.08,Dukundekawa Musasa Nyanza/…,13.0,28086.89,"Maruyama Coffee for Mikatajuku group, Yokoi Coffee",Twaguramungu J. Damascene,1750.0,Gakenke,Northern,others_process,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,3,Rwanda,2010,89.71,Abakundakawa Minazi/ MISOZI,13.05,27044.17,"UCC Ueshima Coffee Co., Ltd.",Nyiringabo Leomide's,1750.0,Gakenke,Northern,others_process,0,0,0,0,0,0,0,0,2,2,1,3,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
27,4,Rwanda,2010,88.89,Mahembe,10.65,22774.81,"Time’s Club for C-COOP, Tashiro Coffee(Japan), Terarosa, Coffee Libre (South Korea)",Karemangingo Alexis,1800.0,Nyamasheke,Western,others_process,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
28,5,Rwanda,2010,88.87,Kopakama,7.6,22787.0,"Cafe Imports, The Roasterie, Sweet Maria’s, Cartel Coffee Lab, Dallis Bros., Union Hand Roasted, Single Origin Roasters, Mecca, Seven Seeds, Five Senses",Nzabonimpa Damascene,1850.0,Rutsira,Western,others_process,0,0,0,0,0,0,0,0,4,1,0,2,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,6,Rwanda,2010,88.53,Shenga Coffee,8.4,17407.74,"Toa Coffee Co.,Ltd. for Toa Coffee and Arab Coffee",Mutunge Marie,1650.0,Kamonyi,Southern,others_process,0,0,0,0,0,0,0,3,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,7,Rwanda,2010,88.16,Dukundekawa Musasa Ruli-…,8.15,17248.99,Mercanta The Coffee Hunters for Grumpy Mule Distinctive Coffees (UK),Ntagozera Ladislas,1700.0,Gakenke,Northern,others_process,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,8,Rwanda,2010,88.03,Nyabumera,9.55,21685.76,Campos Coffee,Niyonsaba Purisice,1800.0,Nyamasheke,Western,others_process,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
