,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Colombia,2012,90.85,Gallinacera-El Bado,22.1,51286.42,"Ponpon coffee, Tabei Coffee and Maruyama Coffee",Maria Etelvina Diaz,2040.0,Buesaco,Nariño,washed,1,0,1,0,0,0,0,0,2,4,1,5,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,Colombia,2012,90.43,El Carmen,18.6,45926.64,"Kyokuto Fadie, Time’s Club for C-COOP (Japan) and Coffee Libre (S. Korea)",Enrique Dagua Fernandez,1650.0,Caloto,Cauca,washed,0,1,0,0,0,0,0,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3,Colombia,2012,90.08,El Galpon,15.1,35041.85,TERAROSA (Korea),Jairo Gomez Acosta,1889.0,Almaguer,Cauca,washed,0,0,1,0,0,1,0,0,3,1,1,6,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
3,4,Colombia,2012,89.58,La Mina,8.8,20421.74,A Twosome Place at CJ Foodville (Korea),Franco Héctor López,2100.0,Buesaco,Nariño,washed,0,1,0,0,0,0,0,1,4,3,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,5,Colombia,2012,89.38,Monte Frio,8.6,20396.68,Kyokuto Fadie Corporation,Jose Herminzul Ninco Lara,1600.0,Hobo,Huila,washed,0,0,1,1,0,1,0,1,0,1,1,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,6,Colombia,2012,89.15,La Toma,6.9,15932.44,"EL CAFE coffee roasters, Told a Story, Coffee Society, Beansfree, Seo Dongjin’s Coffee Lab (Korea)",Fernando Zemanate Bambague,2000.0,San Sebastian,Cauca,washed,0,0,0,0,0,0,0,0,2,1,2,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,7,Colombia,2012,88.93,Campiña,8.0,20421.74,Kaffebrenneriet as,Henry Efrain Salas Rueda,1800.0,Pasto,Nariño,washed,0,0,0,0,0,1,0,1,0,1,1,5,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
7,8,Colombia,2012,88.7,Chinchal,6.65,15432.34,"Invalsa Coffee® (USA) with Richmond For Specialty Coffee (Korea), Coffee Labs (USA) Rojo’s Roastery (USA) and Haru International (Taiwan)",Carlos Geovany Martinez Yela,1900.0,Samaniego,Nariño,washed,0,1,0,1,1,0,0,0,1,1,0,5,0,1,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
8,9,Colombia,2012,88.18,El Mañana,8.6,21155.07,Campos Coffee,Carlos Trejo Velasco,1950.0,Pasto,Nariño,washed,0,0,0,1,0,1,0,0,2,1,0,4,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,10,Colombia,2012,87.73,Guayabo,5.25,24787.18,Campos Coffee,Amelio Santacruz,1820.0,Buesaco,Nariño,washed,0,1,0,1,0,0,0,0,2,2,1,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
