,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Costa Rica,2014,92.67,La Mesa,41.2,62541.6,"Maruyama Coffee, Sugi Coffee Roasting, Ponpon Coffee, Orsir Coffee (Taiwan)",Luis Enrique Navarro Granados,1825.0,La Bandera de Dota,Tarrazú,washed,1,0,1,0,0,1,0,1,4,3,2,9,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,Costa Rica,2014,90.03,El Alto,12.2,18519.6,"GSC International Co.,Ltd. (KOREA) // Shanghai Borong International Trading Co.,Ltd (CHINA)",Josúe Navarro Porras,1825.0,La Bandera de Dota,Tarrazú,washed,0,0,0,0,1,0,0,0,3,3,2,9,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,3,Costa Rica,2014,89.9,Bajo de Celia,9.0,32967.0,"Kyokuto Fadie Corporation, Tashiro Coffee, Time’s Club, Coffee Libre",Alberto Camacho Morera,1500.0,Sirri,Valle Occidental,natural,0,1,0,0,1,0,0,1,2,4,0,9,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,4,Costa Rica,2014,89.83,El Halcón,11.3,23865.6,"Haru International Corp & Specialty Coffee Inc (Steven Kil), CORE, MQ Coffee-Shanghai",Luis Enrique Navarro Porras,1900.0,La Bandera de Dota,Tarrazú,washed,1,0,1,1,0,1,0,0,1,2,1,9,1,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,5,Costa Rica,2014,89.63,Nuestra Herencia,11.5,26185.5,"Peaberry Limited, Food Service Ukraine",Guiselle Porras Vega,1900.0,La Bandera de Dota,Tarrazú,others_process,1,1,1,0,0,0,0,0,2,1,0,5,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,6,Costa Rica,2014,89.6,El Llano,12.1,18367.8,Campos Coffee,Hector Bonilla Cruz,1850.0,Llano Bonito de León Cortez,Tarrazú,honey,1,0,1,1,0,0,0,0,1,3,2,5,0,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6,7,Costa Rica,2014,88.8,El Diamante,20.1,30511.8,"Hisashi Yamamoto Coffee, Time’s Club, Coffee Libre",Café de Altura de San Ramón,1350.0,San Rafael San Ramón,Valle Occidental,others_process,0,0,0,1,0,0,0,2,3,4,0,2,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7,8,Costa Rica,2014,88.77,Vara Blanca de Dota,8.75,19923.75,Campos Coffee,Marco Chacón Madrigal,1900.0,"Dota, Santa Maria",Tarrazú,others_process,0,1,0,1,0,1,0,1,4,1,1,7,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,9,Costa Rica,2014,88.67,La Granadilla,8.0,18216.0,Kaffebrenneriet as,Luis Ricardo Calderón Madrigal,1800.0,"Dota, Santa Maria",Tarrazú,washed,0,0,1,1,1,1,0,0,1,1,1,5,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,10,Costa Rica,2014,87.6,El Beneficio,7.5,16830.0,"TOA COFFEE Co.,Ltd & ARAB COFFEE Co.,Ltd",Juan Ramón Alvarado,1600.0,San Francisco,Valle Central,others_process,0,0,1,1,1,1,0,0,2,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
