,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,México,2022,93.0,Finca Santa Cruz,92.0,30423.48,"Fisher coffee 啡舍 /青岛李想珈 /东方国际商业（集团）有限公司/CoffeeBuff/SHANGHAI CARMO TRADING CO. ,LTD(珈露梦咖啡) / trunk coffee / T.O精品咖啡 / Low-profile International Green Bean Trade Bargaining Association / +trunk coffee",Cruz Jose Argüello Enriquez,1700.0,,,natural,1,1,0,0,0,0,0,0,3,5,4,19,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,México,2022,93.0,Finca Santa Cruz,90.1,23835.96,"ACCIO BEANS COFFEE, Cut Hand Group (剁手咖啡群) & Encore Coffee（云南谙客咖啡), Kinglo Coffee (轻乐咖), mute roaster (macau), 田珈琲",Cruz Jose Argüello Enriquez,1700.0,,,natural,1,1,0,0,0,0,0,0,3,5,4,19,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,México,2022,91.4,Finca el Izote,60.3,15952.37,Boqueron Coffee 火萨 for M1咖啡奇幻工场 M1 Coffee Dream Factory,Carlos Hugo Loeza Sánchez,1475.0,,,washed,0,0,0,0,0,0,1,2,5,9,2,12,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,2,México,2022,91.4,Finca el Izote,60.6,16031.73,ONYX COFFEE LAB,Carlos Hugo Loeza Sánchez,1475.0,,,washed,0,0,0,0,0,0,1,2,5,9,2,12,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3,México,2022,91.37,El Rio,43.2,11428.56,Orsir Coffee,Gema Magali Posadas Manzano,1200.0,,,washed,0,0,0,0,0,0,0,1,1,6,3,17,1,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,3,México,2022,91.37,El Rio,43.2,11428.56,GONGGAM,Gema Magali Posadas Manzano,1200.0,,,washed,0,0,0,0,0,0,0,1,1,6,3,17,1,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6,4,México,2022,91.13,Geisha,40.7,91522.5,意可坊咖啡 for 啟程拓殖 TerraformCoffee/ Fisher Coffee/ Gee Coffee/ 有容乃大 SmallArmsBigHeart/ 芦田家中岛英男/ Taster’s Coffee/ 丢丢小忙/ 咖乐乐KOLAKOLA COFFEE,Silvia Carolina Herrera Hernandez,1535.0,,,natural,0,0,0,0,0,0,1,1,4,7,2,16,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,5,México,2022,90.37,Finca Sinai,24.1,25503.1,Kyokuto Fadie Corporation,Diego Manuel Woolrich Ramirez,1600.0,,,washed,0,0,0,0,0,0,0,1,4,10,4,13,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,6,México,2022,89.63,Finca Huehuetepan,27.1,12546.49,Decameron coffee,Maria Del Rosario Irais Valdivia Ortiz,1350.0,,,natural,0,0,0,0,0,0,0,2,2,2,1,16,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,7,México,2022,89.53,Cafetal el Equimite,30.2,17976.55,"L’escargot d’or cosmetocafe, Studio Caffeine, Sky Top Coffee, Noble Coffee",Gibran Leonardo Cervantes Covarrubias,1300.0,,,natural,0,0,0,0,1,0,0,1,6,9,4,13,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,8,México,2022,89.43,Palma,19.0,20106.18,GONGGAM,Felix Morales Ixtla,1141.0,,,washed,0,0,0,0,0,0,0,1,3,5,3,13,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
