,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Nicaragua,2012,92.43,Las Golondrinas,22.4,48889.12,"Busan Group – Momos Coffee, In Earth Coffee, Coffee Gongjang, People n Talk",Rodrigo Peralta Paguaga,1600.0,Mozonte,Nueva Segovia,others_process,1,1,0,0,0,0,0,2,2,5,2,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,Nicaragua,2012,90.4,La Divina Providencia,15.0,35714.85,"Maruyama Coffee, Cafe Maple (Japan) and Orsir Coffee (Taiwan)",Misael Sauceda Olivera,1300.0,Dipilto-Las Manos,Nueva Segovia,washed,1,0,0,0,0,0,0,1,1,2,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,Nicaragua,2012,90.2,El Farallón/ El Naranjo,10.0,23809.9,TERAROSA(HAKSAN Co.Ltd),Rómulo Victor Paguaga Lanzas/ Pedro Pablo Paguaga Nuñez,1300.0,Dipilto-La Laguna,Nueva Segovia,others_process,1,0,0,1,1,0,0,0,1,2,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,4,Nicaragua,2012,89.97,La Marcela,8.6,19907.71,Time’s Club for C-COOP. Your Coffee (Japan) Coffee Libre (South Korea),Mario Martin Lovo Sotomayor,1100.0,Macuelizo-Brujil,Nueva Segovia,others_process,1,0,0,0,0,1,0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,5,Nicaragua,2012,89.93,La Carolina,7.7,20370.74,Mayorga Coffee,Andrés Figueroa Lópes,1318.0,Dipilto-Las Nubes,Nueva Segovia,washed,0,1,0,1,1,1,0,1,1,0,1,6,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,Nicaragua,2012,89.67,El Recodo,6.81,16214.54,"Tashiro Coffee Co.,Ltd",Manuel Raúl Gonzáles Gonzáles,1230.0,Macuelizo-Suyatal,Nueva Segovia,washed,0,1,0,0,0,1,0,0,2,4,1,3,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
6,7,Nicaragua,2012,89.57,Santa Elena,6.78,16591.54,Mocoway Specialty Coffee (China),Santos Filomena Grádiz Amaya,1200.0,Dipilto-El Volcán,Nueva Segovia,others_process,1,1,0,0,0,1,0,1,1,2,0,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7,8,Nicaragua,2012,88.83,Ojo De Agua,6.7,16395.77,"ECOM Japan Limited for Bontain Coffee, VOILA Coffee, NOZY COFFEE, Ocami Coffee Roasters, Kasai Coffee",Luis Emilio Valladarez,1600.0,Dipilto-Los Mares,Nueva Segovia,others_process,1,1,0,0,0,0,0,0,4,3,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,9,Nicaragua,2012,88.53,San Francisco/ El Ayote,6.41,16957.98,"Wataru & Co., Ltd.",Fausto Alberto Averruz Ponce/Fausto Alberto Averrauz González,1250.0,Macuelizo-Suyatal,Nueva Segovia,washed,0,0,0,0,0,0,0,0,3,2,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,Nicaragua,2012,88.13,Casa Blanca,7.92,18857.44,Kyokuto Fadie Corporation,Sergio Noé Ortez Ortez,1300.0,Dipilto-Los Planes,Nueva Segovia,others_process,0,0,0,0,0,1,0,2,1,3,1,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,11,Nicaragua,2012,87.69,Linda Vista,6.6,15714.53,"BeanStore, CoffeeSallim, Yun-Gu Lee Roaster, Beon-Ku Jeon Roaster",Francisco González Avilés,1460.0,Dipilto-Las Nubes,Nueva Segovia,others_process,1,0,0,0,0,0,0,0,2,2,1,7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,12,Nicaragua,2012,87.44,"El Naranjo, Dipilto",7.32,17912.99,Wataru for OGAWA COFFEE,Luis Emilio Valladarez,1100.0,Dipilto-El Guácimo,Nueva Segovia,others_process,1,1,0,0,1,0,0,2,1,1,1,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,13,Nicaragua,2012,87.28,Los Jilgueros,6.51,15930.82,"Wataru & Co., Ltd.",Manuel Armando Peralta Paguaga,1250.0,Macuelizo-Brujil,Nueva Segovia,others_process,0,0,0,1,0,0,0,0,1,3,1,10,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,14,Nicaragua,2012,87.22,Las Nubes,6.7,17282.05,"M.I Coffee Corporation, Indie coffee roasting house, Hanjuha’s coffee",Carlos Alberto Bendaña Albir,1500.0,Dipilto,Nueva Segovia,others_process,0,1,0,0,0,0,0,2,2,1,2,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,Nicaragua,2012,86.88,La Esperanza,6.51,15500.24,Orsir Coffee for TiSCA (Taiwan International Specialty Coffee Association),Salatiel De Jeús Zavala Ferrufino,1300.0,Dipilto-Las Manos,Nueva Segovia,others_process,0,0,0,0,0,0,1,2,0,1,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,16,Nicaragua,2012,86.66,Los Granadillos,6.2,15172.21,"Wataru & Co., Ltd.",Francisco Ponce Duarte,1300.0,Macuelizo-Brujil,Nueva Segovia,others_process,0,0,0,1,0,0,0,0,1,5,1,5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,17,Nicaragua,2012,86.63,La Ampliación,7.15,16551.18,Oren’s Daily Roast,Maycon Yader Montenegro López,1400.0,Dipilto-El Volcán,Nueva Segovia,washed,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,Nicaragua,2012,86.16,Buena Vista/ San José,4.9,11666.85,"Nippon Coffee Trading Co.,Ltd",Miguel Ángel Calderón Córdoba/ Santos Roque Martinez Castro,1400.0,San Fernando-El Ural,Nueva Segovia,washed,0,0,0,1,0,0,0,0,2,3,1,9,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,19,Nicaragua,2012,86.09,La Fuente,5.4,12857.35,honuKATOCOFFEE Inc.,Norma Elena Marin Grádiz,1200.0,Dipiplto-El Volcán,Nueva Segovia,others_process,0,0,0,0,0,0,0,1,4,2,0,2,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,20,Nicaragua,2012,85.91,La Picona,6.0,16666.92,"Trabocca, Åre Kafferosteri",Olga Marina González Cuadra,1300.0,Nueva Segovia,"Las Manos, Dipilto, Nueva Segovia",washed,0,1,0,0,1,0,0,1,3,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,Nicaragua,2012,85.88,La Laguna,5.7,13194.65,Silo Coffee Store,Luis Emilio Valladarez,1200.0,Dipilto-La Laguna,Nueva Segovia,others_process,1,0,0,0,1,0,0,0,3,3,1,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,22,Nicaragua,2012,85.63,El Pinabety,6.0,17460.6,D R Wakefield,Porfirio Sauceda Valladarez,1350.0,Dipilto-Las Manos,Nueva Segovia,others_process,0,0,0,0,0,1,1,1,3,2,1,2,2,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
22,23,Nicaragua,2012,85.5,Santa Prisca,6.51,20667.04,Kaffebrenneriet a,Leonel De Jesús Rodriguez Valladarez,1250.0,Dipilto-Buenos Aires,Nueva Segovia,washed,0,0,0,0,0,0,0,2,2,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,Nicaragua,2012,85.47,San José,5.8,13426.13,"Wataru & Co., Ltd.",Erwin Remigio Mierish Buitrago - R.L. Pedro José Solis Martinez,1350.0,Jinotega-Lipululu,Jinotega,others_process,0,1,0,0,0,0,0,1,1,2,3,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,25,Nicaragua,2012,85.34,El Socorro,4.91,17536.02,Atlantic Specialty Coffee,Ageth Enrique Chavarria - R.L. Fátima Ismael Espinoza,1015.0,Jinotega- Mancotal,Jinotega,others_process,1,0,0,1,0,0,0,0,3,2,4,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,1,Nicaragua,2014,90.37,La Dueña,21.2,33453.6,"Maruyama Coffee, Itoya Coffee, Coffee A Go Go, Saza Coffee",Jenny Lourdes Bustamante Moncada,1300.0,Dipilto,Nueva Segovia,others_process,0,0,0,1,1,1,1,0,4,3,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,Nicaragua,2014,90.1,El Naranjo Dipilto,13.1,21890.1,"GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)",Luis Emilio Valladarez,1100.0,Dipilto,Nueva Segovia,others_process,0,1,0,0,0,1,0,1,2,1,2,6,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,3,Nicaragua,2014,89.73,Fila Alta,15.2,19456.0,"Kean Coffee, Klatch Coffee, Bird Rock Coffee",Henry Alexander Marin,1600.0,Mozonte,Nueva Segovia,others_process,0,1,0,0,0,1,0,2,1,4,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,4,Nicaragua,2014,89.03,Ojo de Agua,12.0,19020.0,"Time’s Club, Honey Coffee, Coffee Libre and Proud Mary",Ali Francisco Herrara Rivera,1600.0,Mozonte,Nueva Segovia,others_process,1,0,0,0,0,0,0,0,4,4,2,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,5,Nicaragua,2014,88.73,Los Congos,11.7,20124.0,Terarosa Coffee (S. Korea),José René Paguaga Midense,1700.0,San Fernando,Nueva Segovia,others_process,0,0,1,0,0,1,0,0,0,3,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
